date,/m/0hn9s_0,/m/0hn9s_1,/m/0hn9s_2,/m/0hn9s_3,/m/0hn9s_4,/m/0hn9s_5,/m/0hn9s_6,/m/0hn9s_7,/m/0hn9s_8,/m/0hn9s_9,/m/0hn9s,batch_id
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-02,23.0,0.0,27.0,28.0,22.0,16.0,21.0,0.0,0.0,0.0,19.797687861271676,0
2020-01-03,46.0,0.0,54.0,14.0,22.0,16.0,22.0,0.0,0.0,0.0,25.144508670520228,0
2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-05,0.0,18.0,0.0,0.0,25.0,0.0,0.0,21.0,0.0,0.0,9.248554913294797,0
2020-01-06,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.167630057803468,0
2020-01-07,43.0,0.0,25.0,13.0,21.0,0.0,20.0,0.0,0.0,0.0,17.63005780346821,0
2020-01-08,43.0,14.0,25.0,25.0,21.0,0.0,20.0,0.0,15.0,0.0,23.554913294797686,0
2020-01-09,0.0,16.0,0.0,26.0,21.0,15.0,21.0,0.0,16.0,15.0,18.786127167630056,0
2020-01-10,0.0,0.0,0.0,0.0,22.0,16.0,0.0,0.0,16.0,15.0,9.971098265895954,0
2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-12,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.167630057803468,0
2020-01-13,62.0,14.0,24.0,24.0,39.0,14.0,38.0,17.0,29.0,42.0,43.786127167630056,0
2020-01-14,39.0,27.0,0.0,23.0,19.0,14.0,18.0,16.0,0.0,0.0,22.54335260115607,0
2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-16,0.0,16.0,26.0,26.0,22.0,0.0,0.0,19.0,32.0,15.0,22.54335260115607,0
2020-01-17,0.0,16.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,16.0,7.803468208092485,0
2020-01-18,27.0,19.0,0.0,0.0,0.0,0.0,0.0,22.0,19.0,18.0,15.173410404624278,0
2020-01-19,26.0,18.0,0.0,16.0,25.0,0.0,0.0,0.0,19.0,0.0,15.028901734104046,0
2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
