date,/m/0hn9s_0,/m/0hn9s_1,/m/0hn9s_2,/m/0hn9s_3,/m/0hn9s_4,/m/0hn9s_5,/m/0hn9s_6,/m/0hn9s_7,/m/0hn9s_8,/m/0hn9s_9,/m/0hn9s,batch_id
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-04,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.2121212121212122,0
2020-01-05,8.0,4.0,0.0,0.0,3.0,8.0,4.0,4.0,7.0,0.0,3.8383838383838382,0
2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-07,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0101010101010102,0
2020-01-08,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0101010101010102,0
2020-01-09,0.0,3.0,0.0,0.0,6.0,0.0,3.0,11.0,0.0,0.0,2.323232323232323,0
2020-01-10,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,3.0,0.0,1.5151515151515151,0
2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-12,0.0,4.0,0.0,0.0,3.0,4.0,0.0,4.0,0.0,0.0,1.5151515151515151,0
2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-14,3.0,0.0,3.0,6.0,0.0,3.0,6.0,7.0,6.0,3.0,3.7373737373737375,0
2020-01-15,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30303030303030304,0
2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-17,4.0,3.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.5151515151515151,0
2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-20,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.30303030303030304,0
2020-01-21,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,4.0,1.6161616161616161,0
2020-01-22,0.0,3.0,0.0,0.0,3.0,3.0,0.0,4.0,3.0,7.0,2.323232323232323,0
