date,/m/01cdt5_0,/m/01cdt5_1,/m/01cdt5_2,/m/01cdt5_3,/m/01cdt5_4,/m/01cdt5_5,/m/01cdt5_6,/m/01cdt5_7,/m/01cdt5_8,/m/01cdt5_9,/m/01cdt5,batch_id
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-03,32.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,31.0,13.521545319465082,0
2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-06,0.0,0.0,0.0,0.0,30.0,0.0,40.0,0.0,0.0,34.0,15.453194650817236,0
2020-01-07,62.0,35.0,0.0,0.0,27.0,35.0,36.0,66.0,0.0,29.0,43.09063893016345,0
2020-01-08,31.0,35.0,68.0,58.0,28.0,71.0,36.0,100.0,0.0,30.0,67.90490341753343,0
2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,4.011887072808321,0
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-12,34.0,0.0,0.0,33.0,30.0,0.0,39.0,0.0,0.0,33.0,25.111441307578005,0
2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-14,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,25.0,11.441307578008916,0
2020-01-15,0.0,0.0,0.0,29.0,0.0,34.0,0.0,0.0,0.0,29.0,13.670133729569093,0
2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-17,61.0,0.0,34.0,29.0,27.0,0.0,35.0,66.0,83.0,60.0,58.6924219910847,0
2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-20,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,8.915304606240714,0
2020-01-21,30.0,34.0,33.0,28.0,26.0,34.0,34.0,0.0,0.0,0.0,32.5408618127786,0
2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
