date,/m/01c751_0,/m/01c751_1,/m/01c751_2,/m/01c751_3,/m/01c751_4,/m/01c751_5,/m/01c751_6,/m/01c751_7,/m/01c751_8,/m/01c751_9,/m/01c751,batch_id
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.9544008483563096,0.0
2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-07,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,1.8027571580063628,0.0
2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-10,0.0,5.0,5.0,4.0,4.0,0.0,0.0,0.0,5.0,5.0,2.9692470837751856,0.0
2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-15,0.0,0.0,5.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,1.4846235418875928,0.0
2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-20,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,5.0,1.3785790031813363,0.0
2020-01-21,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,2.2269353128313893,0.0
2020-01-22,4.0,4.0,0.0,4.0,0.0,0.0,5.0,0.0,5.0,0.0,2.332979851537646,0.0
2020-01-23,4.0,4.0,5.0,4.0,4.0,4.0,0.0,5.0,5.0,5.0,4.241781548250265,0.0
2020-01-24,9.0,14.0,27.0,14.0,21.0,18.0,5.0,26.0,10.0,20.0,17.391304347826086,0.0
2020-01-25,28.0,15.0,23.0,15.0,27.0,20.0,18.0,22.0,11.0,11.0,20.148462354188762,0.0
2020-01-26,4.0,5.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,5.0,2.545068928950159,0.0
2020-01-27,12.0,13.0,10.0,12.0,19.0,16.0,19.0,9.0,13.0,9.0,13.997879109225874,0.0
2020-01-28,24.0,30.0,40.0,33.0,19.0,29.0,20.0,28.0,36.0,56.0,33.40402969247084,0.0
2020-01-29,0.0,4.0,5.0,9.0,8.0,4.0,0.0,10.0,9.0,10.0,6.256627783669142,0.0
2020-01-30,16.0,13.0,5.0,18.0,8.0,4.0,5.0,5.0,10.0,5.0,9.43796394485684,0.0
2020-01-31,25.0,5.0,26.0,4.0,4.0,18.0,5.0,10.0,10.0,20.0,13.467656415694591,0.0
2020-02-01,9.0,20.0,6.0,5.0,5.0,10.0,6.0,6.0,16.0,11.0,9.968186638388124,0.0
2020-02-02,18.0,9.0,16.0,0.0,0.0,5.0,16.0,10.0,20.0,10.0,11.02863202545069,0.0
2020-02-03,7.0,0.0,0.0,4.0,3.0,7.0,13.0,4.0,12.0,0.0,5.302226935312832,0.0
2020-02-04,12.0,4.0,5.0,8.0,4.0,4.0,0.0,5.0,5.0,9.0,5.93849416755037,0.0
2020-02-05,8.0,13.0,15.0,9.0,4.0,8.0,5.0,0.0,14.0,5.0,8.589607635206788,0.0
2020-02-06,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4846235418875928,0.0
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,10.0,10.0,0.0,5.0,0.0,0.0,12.0,6.0,0.0,6.0,5.196182396606575,0.0
2020-02-09,9.0,9.0,17.0,9.0,9.0,9.0,11.0,5.0,0.0,0.0,8.271474019088018,0.0
2020-02-10,0.0,4.0,5.0,0.0,7.0,4.0,5.0,5.0,9.0,4.0,4.559915164369035,0.0
2020-02-11,4.0,13.0,14.0,16.0,7.0,20.0,14.0,5.0,13.0,5.0,11.770943796394484,0.0
2020-02-12,4.0,0.0,0.0,4.0,0.0,4.0,5.0,5.0,5.0,5.0,3.3934252386002117,0.0
2020-02-13,8.0,9.0,15.0,4.0,8.0,9.0,5.0,5.0,5.0,10.0,8.271474019088018,0.0
2020-02-14,8.0,0.0,5.0,4.0,4.0,4.0,0.0,10.0,5.0,0.0,4.241781548250265,0.0
2020-02-15,0.0,0.0,0.0,0.0,4.0,5.0,6.0,6.0,0.0,0.0,2.2269353128313893,0.0
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,4.0,0.0,10.0,4.0,8.0,12.0,5.0,9.0,0.0,5.0,6.0445387062566285,0.0
2020-02-18,8.0,4.0,5.0,4.0,4.0,8.0,5.0,0.0,4.0,0.0,4.453870625662779,0.0
2020-02-19,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,5.0,1.9088016967126196,0.0
2020-02-20,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,0.0,2.2269353128313893,0.0
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,8.0,13.0,0.0,9.0,8.0,13.0,10.0,5.0,10.0,15.0,9.650053022269354,0.0
2020-02-24,15.0,12.0,9.0,20.0,18.0,16.0,9.0,23.0,18.0,27.0,17.70943796394486,0.0
2020-02-25,22.0,20.0,42.0,24.0,33.0,36.0,37.0,36.0,35.0,31.0,33.51007423117709,0.0
2020-02-26,23.0,29.0,33.0,36.0,36.0,52.0,33.0,32.0,31.0,36.0,36.16118769883351,0.0
2020-02-27,27.0,42.0,39.0,21.0,26.0,37.0,29.0,33.0,31.0,18.0,32.131495227995764,0.0
2020-02-28,8.0,13.0,10.0,9.0,12.0,0.0,5.0,20.0,0.0,10.0,9.225874867444324,0.0
2020-02-29,22.0,14.0,32.0,23.0,21.0,14.0,33.0,16.0,15.0,10.0,21.208907741251327,0.0
2020-03-01,21.0,18.0,26.0,4.0,20.0,22.0,21.0,25.0,29.0,10.0,20.7847295864263,0.0
2020-03-02,27.0,25.0,57.0,44.0,40.0,24.0,33.0,37.0,35.0,36.0,37.963944856839866,0.0
2020-03-03,34.0,28.0,28.0,12.0,26.0,31.0,23.0,36.0,34.0,40.0,30.96500530222693,0.0
2020-03-04,27.0,17.0,25.0,12.0,8.0,16.0,20.0,19.0,31.0,0.0,18.55779427359491,0.0
2020-03-05,12.0,9.0,20.0,21.0,8.0,4.0,10.0,10.0,18.0,9.0,12.831389183457052,0.0
2020-03-06,12.0,21.0,10.0,17.0,19.0,0.0,20.0,10.0,14.0,23.0,15.482502651113467,0.0
2020-03-07,9.0,28.0,32.0,9.0,17.0,27.0,27.0,26.0,20.0,10.0,21.73913043478261,0.0
2020-03-08,25.0,32.0,27.0,14.0,25.0,27.0,16.0,36.0,30.0,40.0,28.844114528101805,0.0
2020-03-09,15.0,8.0,9.0,16.0,4.0,15.0,14.0,27.0,21.0,26.0,16.43690349946978,0.0
2020-03-10,36.0,32.0,55.0,23.0,42.0,38.0,45.0,57.0,38.0,73.0,46.55355249204665,0.0
2020-03-11,42.0,31.0,27.0,41.0,31.0,34.0,71.0,52.0,45.0,38.0,43.69034994697773,0.0
2020-03-12,32.0,50.0,67.0,34.0,34.0,49.0,45.0,47.0,45.0,47.0,47.72004241781549,0.0
2020-03-13,52.0,73.0,65.0,71.0,73.0,39.0,80.0,86.0,73.0,89.0,74.33722163308589,0.0
2020-03-14,71.0,91.0,100.0,80.0,90.0,80.0,89.0,60.0,78.0,100.0,88.97136797454931,0.0
