date,/m/01cdt5_0,/m/01cdt5_1,/m/01cdt5_2,/m/01cdt5_3,/m/01cdt5_4,/m/01cdt5_5,/m/01cdt5_6,/m/01cdt5_7,/m/01cdt5_8,/m/01cdt5_9,/m/01cdt5,batch_id
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02,13.0,11.0,17.0,12.0,11.0,0.0,12.0,27.0,19.0,12.0,16.60470879801735,0.0
2020-01-03,0.0,0.0,0.0,0.0,10.0,0.0,11.0,13.0,0.0,0.0,4.213135068153656,0.0
2020-01-04,14.0,12.0,36.0,13.0,12.0,12.0,25.0,29.0,21.0,0.0,21.561338289962826,0.0
2020-01-05,27.0,22.0,35.0,38.0,11.0,23.0,25.0,14.0,10.0,0.0,25.40272614622057,0.0
2020-01-06,12.0,10.0,0.0,11.0,10.0,10.0,0.0,13.0,9.0,11.0,10.656753407682775,0.0
2020-01-07,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,9.0,11.0,3.841387856257745,0.0
2020-01-08,12.0,10.0,0.0,0.0,10.0,10.0,11.0,13.0,0.0,0.0,8.178438661710038,0.0
2020-01-09,12.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,4.213135068153656,0.0
2020-01-10,25.0,10.0,49.0,12.0,10.0,0.0,0.0,0.0,10.0,0.0,14.374225526641883,0.0
2020-01-11,13.0,0.0,0.0,13.0,0.0,12.0,13.0,0.0,0.0,13.0,7.930607187112763,0.0
2020-01-12,13.0,11.0,0.0,24.0,11.0,0.0,24.0,28.0,10.0,0.0,14.993804213135068,0.0
2020-01-13,0.0,9.0,14.0,10.0,9.0,0.0,0.0,0.0,8.0,10.0,7.434944237918216,0.0
2020-01-14,0.0,0.0,0.0,10.0,0.0,0.0,10.0,11.0,0.0,0.0,3.841387856257745,0.0
2020-01-15,0.0,0.0,0.0,11.0,10.0,10.0,0.0,12.0,0.0,11.0,6.6914498141263925,0.0
2020-01-16,0.0,10.0,0.0,12.0,11.0,11.0,0.0,13.0,10.0,12.0,9.789343246592317,0.0
2020-01-17,0.0,21.0,0.0,0.0,0.0,0.0,12.0,0.0,19.0,0.0,6.443618339529119,0.0
2020-01-18,14.0,0.0,18.0,0.0,0.0,0.0,13.0,15.0,11.0,0.0,8.79801734820322,0.0
2020-01-19,13.0,11.0,0.0,0.0,22.0,11.0,12.0,42.0,0.0,25.0,16.852540272614622,0.0
2020-01-20,12.0,20.0,47.0,0.0,10.0,20.0,22.0,25.0,0.0,23.0,22.180916976456007,0.0
2020-01-21,0.0,0.0,32.0,23.0,10.0,21.0,0.0,13.0,0.0,12.0,13.754646840148697,0.0
2020-01-22,0.0,10.0,0.0,11.0,10.0,10.0,0.0,0.0,0.0,0.0,5.080545229244113,0.0
2020-01-23,0.0,0.0,16.0,0.0,10.0,0.0,0.0,26.0,10.0,0.0,7.68277571251549,0.0
2020-01-24,13.0,11.0,50.0,24.0,21.0,22.0,12.0,13.0,29.0,36.0,28.62453531598513,0.0
2020-01-25,0.0,23.0,36.0,39.0,47.0,23.0,63.0,73.0,32.0,39.0,46.46840148698885,0.0
