date,/m/02gy9__0,/m/02gy9__1,/m/02gy9__2,/m/02gy9__3,/m/02gy9__4,/m/02gy9__5,/m/02gy9__6,/m/02gy9__7,/m/02gy9__8,/m/02gy9__9,/m/02gy9_,batch_id
2020-01-01,0.0,0.0,0.0,24.0,36.0,35.0,0.0,0.0,27.0,27.0,23.427672955974842,0
2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-03,22.0,0.0,14.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,14.465408805031444,0
2020-01-04,24.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,24.0,12.10691823899371,0
2020-01-05,23.0,0.0,29.0,19.0,31.0,29.0,26.0,47.0,0.0,46.0,39.30817610062893,0
2020-01-06,0.0,38.0,24.0,16.0,0.0,0.0,0.0,20.0,37.0,20.0,24.371069182389938,0
2020-01-07,20.0,19.0,37.0,32.0,25.0,24.0,66.0,40.0,37.0,39.0,53.30188679245283,0
2020-01-08,20.0,59.0,12.0,0.0,0.0,25.0,23.0,20.0,19.0,39.0,34.11949685534591,0
2020-01-09,0.0,20.0,0.0,17.0,26.0,0.0,0.0,0.0,0.0,20.0,13.050314465408807,0
2020-01-10,42.0,83.0,13.0,0.0,54.0,79.0,47.0,64.0,100.0,42.0,82.38993710691824,0
2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-12,24.0,0.0,15.0,0.0,60.0,0.0,26.0,71.0,22.0,23.0,37.893081761006286,0
2020-01-13,18.0,0.0,11.0,15.0,0.0,0.0,20.0,0.0,0.0,18.0,12.893081761006288,0
2020-01-14,0.0,17.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8742138364779874,0
2020-01-15,20.0,20.0,0.0,17.0,25.0,24.0,0.0,0.0,19.0,0.0,19.654088050314463,0
2020-01-16,20.0,20.0,25.0,34.0,26.0,51.0,23.0,41.0,39.0,20.0,47.0125786163522,0
2020-01-17,42.0,21.0,13.0,0.0,54.0,52.0,48.0,42.0,20.0,0.0,45.91194968553459,0
2020-01-18,22.0,22.0,14.0,19.0,28.0,55.0,0.0,22.0,21.0,22.0,35.37735849056604,0
2020-01-19,23.0,22.0,14.0,0.0,0.0,28.0,52.0,46.0,0.0,23.0,32.70440251572327,0
2020-01-20,19.0,19.0,12.0,16.0,25.0,0.0,22.0,20.0,18.0,0.0,23.742138364779873,0
2020-01-21,20.0,20.0,0.0,16.0,0.0,49.0,22.0,0.0,0.0,19.0,22.955974842767294,0
2020-01-22,0.0,58.0,25.0,17.0,76.0,73.0,22.0,20.0,19.0,19.0,51.72955974842767,0
2020-01-23,20.0,0.0,13.0,0.0,53.0,25.0,23.0,40.0,19.0,20.0,33.490566037735846,0
2020-01-24,41.0,40.0,13.0,18.0,26.0,26.0,0.0,0.0,0.0,20.0,28.93081761006289,0
2020-01-25,0.0,91.0,29.0,20.0,30.0,58.0,52.0,47.0,43.0,46.0,65.40880503144653,0
