date,/m/0hn9s_0,/m/0hn9s_1,/m/0hn9s_2,/m/0hn9s_3,/m/0hn9s_4,/m/0hn9s_5,/m/0hn9s_6,/m/0hn9s_7,/m/0hn9s_8,/m/0hn9s_9,/m/0hn9s,batch_id
2020-01-01,0.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0,4.0,0.0,1.8640350877192982,0
2020-01-02,4.0,4.0,8.0,5.0,4.0,0.0,7.0,5.0,8.0,0.0,4.934210526315789,0
2020-01-03,4.0,4.0,0.0,9.0,3.0,8.0,0.0,0.0,7.0,0.0,3.837719298245614,0
2020-01-04,0.0,8.0,4.0,9.0,4.0,4.0,3.0,5.0,8.0,0.0,4.934210526315789,0
2020-01-05,4.0,4.0,0.0,4.0,4.0,4.0,0.0,5.0,0.0,4.0,3.1798245614035086,0
2020-01-06,4.0,0.0,3.0,4.0,0.0,0.0,3.0,4.0,3.0,0.0,2.302631578947368,0
2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-08,0.0,3.0,4.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,1.5350877192982455,0
2020-01-09,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,3.0,3.0,1.9736842105263157,0
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-11,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.3157894736842104,0
2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.8771929824561403,0
2020-01-13,7.0,6.0,6.0,0.0,3.0,3.0,3.0,8.0,0.0,3.0,4.276315789473684,0
2020-01-14,3.0,6.0,3.0,7.0,3.0,3.0,3.0,4.0,3.0,3.0,4.166666666666667,0
2020-01-15,4.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.206140350877193,0
2020-01-16,4.0,3.0,0.0,4.0,0.0,4.0,0.0,0.0,3.0,3.0,2.302631578947368,0
2020-01-17,4.0,0.0,7.0,12.0,0.0,4.0,3.0,0.0,3.0,3.0,3.9473684210526314,0
2020-01-18,5.0,4.0,4.0,9.0,0.0,4.0,0.0,5.0,4.0,12.0,5.1535087719298245,0
2020-01-19,0.0,4.0,4.0,0.0,0.0,4.0,0.0,5.0,4.0,4.0,2.7412280701754383,0
2020-01-20,4.0,7.0,14.0,11.0,6.0,3.0,9.0,0.0,6.0,10.0,7.675438596491228,0
2020-01-21,8.0,13.0,3.0,4.0,6.0,10.0,9.0,20.0,16.0,10.0,10.855263157894736,0
2020-01-22,19.0,10.0,14.0,12.0,3.0,0.0,6.0,8.0,6.0,10.0,9.649122807017545,0
2020-01-23,20.0,28.0,18.0,8.0,6.0,15.0,12.0,30.0,10.0,10.0,17.214912280701753,0
2020-01-24,13.0,16.0,12.0,18.0,18.0,12.0,13.0,14.0,15.0,8.0,15.241228070175438,0
2020-01-25,27.0,32.0,16.0,18.0,22.0,33.0,31.0,35.0,27.0,35.0,30.263157894736842,0
2020-01-26,34.0,15.0,23.0,49.0,28.0,48.0,26.0,61.0,33.0,26.0,37.609649122807014,0
2020-01-27,18.0,10.0,26.0,22.0,12.0,34.0,17.0,12.0,12.0,25.0,20.614035087719298,0
