date,/m/02fbjn
2020-02-01,9
2020-02-02,5
2020-02-03,15
2020-02-04,5
2020-02-05,8
2020-02-06,6
2020-02-07,6
2020-02-08,9
2020-02-09,0
2020-02-10,5
2020-02-11,8
2020-02-12,5
2020-02-13,6
2020-02-14,0
2020-02-15,0
2020-02-16,11
2020-02-17,11
2020-02-18,16
2020-02-19,8
2020-02-20,6
2020-02-21,6
2020-02-22,0
2020-02-23,0
2020-02-24,5
2020-02-25,5
2020-02-26,10
2020-02-27,18
2020-02-28,22
2020-02-29,14
2020-03-01,27
2020-03-02,100
2020-03-03,77
2020-03-04,53
2020-03-05,53
2020-03-06,46
2020-03-07,15
2020-03-08,11
2020-03-09,31
2020-03-10,44
2020-03-11,48
2020-03-12,62
2020-03-13,63
2020-03-14,28
2020-03-15,50
2020-03-16,86
2020-03-17,78
2020-03-18,55
2020-03-19,42
2020-03-20,31
2020-03-21,42
2020-03-22,40
2020-03-23,33
2020-03-24,26
2020-03-25,27
2020-03-26,26
2020-03-27,36
2020-03-28,29
2020-03-29,17
2020-03-30,40
2020-03-31,11
2020-04-01,28
2020-04-02,23
2020-04-03,18
2020-04-04,27
2020-04-05,11
2020-04-06,9
2020-04-07,33
2020-04-08,12
2020-04-09,17
2020-04-10,7
2020-04-11,19
2020-04-12,16
2020-04-13,21
2020-04-14,9
2020-04-15,14
2020-04-16,22
2020-04-17,19
2020-04-18,19
2020-04-19,5
2020-04-20,25
2020-04-21,19
2020-04-22,19
2020-04-23,16
2020-04-24,63
2020-04-25,24
2020-04-26,41
2020-04-27,33
2020-04-28,35
2020-04-29,22
2020-04-30,26
2020-05-01,18
2020-05-02,38
2020-05-03,15
2020-05-04,26
2020-05-05,32
2020-05-06,21
2020-05-07,17
2020-05-08,22
2020-05-09,32
2020-05-10,30
2020-05-11,24
2020-05-12,18
2020-05-13,25
2020-05-14,32
2020-05-15,17
2020-05-16,32
2020-05-17,11
2020-05-18,29
2020-05-19,12
2020-05-20,12
2020-05-21,16
2020-05-22,19
2020-05-23,25
2020-05-24,10
2020-05-25,11
2020-05-26,12
2020-05-27,9
2020-05-28,28
2020-05-29,5
2020-05-30,11
2020-05-31,11
