date,/g/11bwcf511s_0,/g/11bwcf511s,batch_id
2021-02-01,13.0,13.0,1
2021-02-02,0.0,0.0,1
2021-02-03,100.0,100.0,1
2021-02-04,39.0,39.0,1
2021-02-05,0.0,0.0,1
2021-02-06,14.0,14.0,1
2021-02-07,41.0,41.0,1
2021-02-08,0.0,0.0,1
2021-02-09,26.0,26.0,1
2021-02-10,13.0,13.0,1
2021-02-11,0.0,0.0,1
2021-02-12,0.0,0.0,1
2021-02-13,0.0,0.0,1
2021-02-14,0.0,0.0,1
2021-02-15,13.0,13.0,1
2021-02-16,0.0,0.0,1
2021-02-17,13.0,13.0,1
2021-02-18,39.0,39.0,1
2021-02-19,14.0,14.0,1
2021-02-20,16.0,16.0,1
2021-02-21,0.0,0.0,1
2021-02-22,0.0,0.0,1
2021-02-23,13.0,13.0,1
2021-02-24,27.0,27.0,1
2021-02-25,40.0,40.0,1
2021-02-26,13.0,13.0,1
2021-02-27,29.0,29.0,1
2021-02-28,14.0,14.0,1
2021-03-01,26.0,26.0,1
2021-03-02,13.0,13.0,1
2021-03-03,27.0,27.0,1
2021-03-04,13.0,13.0,1
2021-03-05,0.0,0.0,1
2021-03-06,0.0,0.0,1
2021-03-07,14.0,14.0,1
2021-03-08,13.0,13.0,1
2021-03-09,25.0,25.0,1
2021-03-10,26.0,26.0,1
2021-03-11,0.0,0.0,1
2021-03-12,26.0,26.0,1
2021-03-13,0.0,0.0,1
2021-03-14,0.0,0.0,1
2021-03-15,10.0,10.0,1
2021-03-16,11.0,11.0,1
2021-03-17,13.0,13.0,1
2021-03-18,26.0,26.0,1
2021-03-19,27.0,27.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,26.0,26.0,1
2021-03-23,26.0,26.0,1
2021-03-24,13.0,13.0,1
2021-03-25,13.0,13.0,1
2021-03-26,0.0,0.0,1
2021-03-27,43.0,43.0,1
2021-03-28,0.0,0.0,1
2021-03-29,0.0,0.0,1
2021-03-30,14.0,14.0,1
2021-03-31,29.0,29.0,1
2021-04-01,41.0,41.0,1
2021-04-02,0.0,0.0,1
2021-04-03,0.0,0.0,1
2021-04-04,15.0,15.0,1
2021-04-05,0.0,0.0,1
2021-04-06,12.0,12.0,1
2021-04-07,13.0,13.0,1
2021-04-08,26.0,26.0,1
2021-04-09,13.0,13.0,1
2021-04-10,0.0,0.0,1
2021-04-11,14.0,14.0,1
2021-04-12,12.0,12.0,1
2021-04-13,13.0,13.0,1
2021-04-14,0.0,0.0,1
2021-04-15,0.0,0.0,1
2021-04-16,0.0,0.0,1
2021-04-17,0.0,0.0,1
2021-04-18,0.0,0.0,1
2021-04-19,25.0,25.0,1
2021-04-20,13.0,13.0,1
2021-04-21,13.0,13.0,1
2021-04-22,13.0,13.0,1
2021-04-23,28.0,28.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,0.0,0.0,1
2021-04-27,13.0,13.0,1
2021-04-28,13.0,13.0,1
2021-04-29,25.0,25.0,1
2021-04-30,13.0,13.0,1
2021-05-01,0.0,0.0,1
2021-05-02,0.0,0.0,1
2021-05-03,13.0,13.0,1
2021-05-04,24.0,24.0,1
2021-05-05,12.0,12.0,1
2021-05-06,25.0,25.0,1
2021-05-07,13.0,13.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,13.0,13.0,1
2021-05-11,12.0,12.0,1
2021-05-12,0.0,0.0,1
2021-05-13,14.0,14.0,1
2021-05-14,14.0,14.0,1
