date,/g/11bc5tddyk_0,/g/11bc5tddyk,batch_id
2021-02-01,38.0,38.0,1
2021-02-02,45.0,45.0,1
2021-02-03,38.0,38.0,1
2021-02-04,32.0,32.0,1
2021-02-05,39.0,39.0,1
2021-02-06,25.0,25.0,1
2021-02-07,17.0,17.0,1
2021-02-08,23.0,23.0,1
2021-02-09,54.0,54.0,1
2021-02-10,23.0,23.0,1
2021-02-11,55.0,55.0,1
2021-02-12,8.0,8.0,1
2021-02-13,18.0,18.0,1
2021-02-14,0.0,0.0,1
2021-02-15,23.0,23.0,1
2021-02-16,48.0,48.0,1
2021-02-17,23.0,23.0,1
2021-02-18,16.0,16.0,1
2021-02-19,25.0,25.0,1
2021-02-20,9.0,9.0,1
2021-02-21,0.0,0.0,1
2021-02-22,22.0,22.0,1
2021-02-23,24.0,24.0,1
2021-02-24,24.0,24.0,1
2021-02-25,8.0,8.0,1
2021-02-26,16.0,16.0,1
2021-02-27,0.0,0.0,1
2021-02-28,9.0,9.0,1
2021-03-01,23.0,23.0,1
2021-03-02,16.0,16.0,1
2021-03-03,48.0,48.0,1
2021-03-04,15.0,15.0,1
2021-03-05,41.0,41.0,1
2021-03-06,0.0,0.0,1
2021-03-07,17.0,17.0,1
2021-03-08,23.0,23.0,1
2021-03-09,23.0,23.0,1
2021-03-10,54.0,54.0,1
2021-03-11,47.0,47.0,1
2021-03-12,16.0,16.0,1
2021-03-13,17.0,17.0,1
2021-03-14,16.0,16.0,1
2021-03-15,36.0,36.0,1
2021-03-16,53.0,53.0,1
2021-03-17,100.0,100.0,1
2021-03-18,47.0,47.0,1
2021-03-19,57.0,57.0,1
2021-03-20,9.0,9.0,1
2021-03-21,8.0,8.0,1
2021-03-22,54.0,54.0,1
2021-03-23,31.0,31.0,1
2021-03-24,31.0,31.0,1
2021-03-25,32.0,32.0,1
2021-03-26,33.0,33.0,1
2021-03-27,9.0,9.0,1
2021-03-28,0.0,0.0,1
2021-03-29,32.0,32.0,1
2021-03-30,34.0,34.0,1
2021-03-31,26.0,26.0,1
2021-04-01,25.0,25.0,1
2021-04-02,17.0,17.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,8.0,8.0,1
2021-04-06,22.0,22.0,1
2021-04-07,23.0,23.0,1
2021-04-08,8.0,8.0,1
2021-04-09,16.0,16.0,1
2021-04-10,8.0,8.0,1
2021-04-11,0.0,0.0,1
2021-04-12,23.0,23.0,1
2021-04-13,24.0,24.0,1
2021-04-14,8.0,8.0,1
2021-04-15,24.0,24.0,1
2021-04-16,25.0,25.0,1
2021-04-17,9.0,9.0,1
2021-04-18,0.0,0.0,1
2021-04-19,0.0,0.0,1
2021-04-20,8.0,8.0,1
2021-04-21,56.0,56.0,1
2021-04-22,89.0,89.0,1
2021-04-23,59.0,59.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,23.0,23.0,1
2021-04-27,24.0,24.0,1
2021-04-28,8.0,8.0,1
2021-04-29,23.0,23.0,1
2021-04-30,39.0,39.0,1
2021-05-01,17.0,17.0,1
2021-05-02,9.0,9.0,1
2021-05-03,30.0,30.0,1
2021-05-04,14.0,14.0,1
2021-05-05,44.0,44.0,1
2021-05-06,23.0,23.0,1
2021-05-07,24.0,24.0,1
2021-05-08,9.0,9.0,1
2021-05-09,9.0,9.0,1
2021-05-10,23.0,23.0,1
2021-05-11,37.0,37.0,1
2021-05-12,16.0,16.0,1
2021-05-13,16.0,16.0,1
2021-05-14,8.0,8.0,1
