date,/m/0187rh_0,/m/0187rh,batch_id
2021-02-01,21.0,21.0,1
2021-02-02,10.0,10.0,1
2021-02-03,10.0,10.0,1
2021-02-04,11.0,11.0,1
2021-02-05,11.0,11.0,1
2021-02-06,0.0,0.0,1
2021-02-07,0.0,0.0,1
2021-02-08,0.0,0.0,1
2021-02-09,21.0,21.0,1
2021-02-10,52.0,52.0,1
2021-02-11,0.0,0.0,1
2021-02-12,11.0,11.0,1
2021-02-13,12.0,12.0,1
2021-02-14,12.0,12.0,1
2021-02-15,31.0,31.0,1
2021-02-16,0.0,0.0,1
2021-02-17,0.0,0.0,1
2021-02-18,0.0,0.0,1
2021-02-19,0.0,0.0,1
2021-02-20,13.0,13.0,1
2021-02-21,13.0,13.0,1
2021-02-22,0.0,0.0,1
2021-02-23,0.0,0.0,1
2021-02-24,11.0,11.0,1
2021-02-25,22.0,22.0,1
2021-02-26,11.0,11.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,11.0,11.0,1
2021-03-02,0.0,0.0,1
2021-03-03,11.0,11.0,1
2021-03-04,10.0,10.0,1
2021-03-05,11.0,11.0,1
2021-03-06,37.0,37.0,1
2021-03-07,0.0,0.0,1
2021-03-08,11.0,11.0,1
2021-03-09,21.0,21.0,1
2021-03-10,11.0,11.0,1
2021-03-11,64.0,64.0,1
2021-03-12,11.0,11.0,1
2021-03-13,23.0,23.0,1
2021-03-14,11.0,11.0,1
2021-03-15,49.0,49.0,1
2021-03-16,100.0,100.0,1
2021-03-17,73.0,73.0,1
2021-03-18,32.0,32.0,1
2021-03-19,11.0,11.0,1
2021-03-20,0.0,0.0,1
2021-03-21,23.0,23.0,1
2021-03-22,21.0,21.0,1
2021-03-23,11.0,11.0,1
2021-03-24,31.0,31.0,1
2021-03-25,11.0,11.0,1
2021-03-26,22.0,22.0,1
2021-03-27,0.0,0.0,1
2021-03-28,25.0,25.0,1
2021-03-29,11.0,11.0,1
2021-03-30,0.0,0.0,1
2021-03-31,12.0,12.0,1
2021-04-01,11.0,11.0,1
2021-04-02,34.0,34.0,1
2021-04-03,12.0,12.0,1
2021-04-04,12.0,12.0,1
2021-04-05,11.0,11.0,1
2021-04-06,10.0,10.0,1
2021-04-07,0.0,0.0,1
2021-04-08,0.0,0.0,1
2021-04-09,33.0,33.0,1
2021-04-10,11.0,11.0,1
2021-04-11,0.0,0.0,1
2021-04-12,31.0,31.0,1
2021-04-13,11.0,11.0,1
2021-04-14,32.0,32.0,1
2021-04-15,32.0,32.0,1
2021-04-16,11.0,11.0,1
2021-04-17,12.0,12.0,1
2021-04-18,25.0,25.0,1
2021-04-19,31.0,31.0,1
2021-04-20,21.0,21.0,1
2021-04-21,33.0,33.0,1
2021-04-22,11.0,11.0,1
2021-04-23,11.0,11.0,1
2021-04-24,25.0,25.0,1
2021-04-25,0.0,0.0,1
2021-04-26,21.0,21.0,1
2021-04-27,33.0,33.0,1
2021-04-28,0.0,0.0,1
2021-04-29,10.0,10.0,1
2021-04-30,21.0,21.0,1
2021-05-01,35.0,35.0,1
2021-05-02,12.0,12.0,1
2021-05-03,41.0,41.0,1
2021-05-04,30.0,30.0,1
2021-05-05,60.0,60.0,1
2021-05-06,21.0,21.0,1
2021-05-07,32.0,32.0,1
2021-05-08,35.0,35.0,1
2021-05-09,13.0,13.0,1
2021-05-10,31.0,31.0,1
2021-05-11,41.0,41.0,1
2021-05-12,11.0,11.0,1
2021-05-13,22.0,22.0,1
2021-05-14,11.0,11.0,1
