date,/g/11f_g4xnk3_0,/g/11f_g4xnk3,batch_id
2021-02-01,0.0,0.0,1
2021-02-02,32.0,32.0,1
2021-02-03,0.0,0.0,1
2021-02-04,0.0,0.0,1
2021-02-05,66.0,66.0,1
2021-02-06,35.0,35.0,1
2021-02-07,0.0,0.0,1
2021-02-08,64.0,64.0,1
2021-02-09,0.0,0.0,1
2021-02-10,0.0,0.0,1
2021-02-11,33.0,33.0,1
2021-02-12,33.0,33.0,1
2021-02-13,0.0,0.0,1
2021-02-14,0.0,0.0,1
2021-02-15,32.0,32.0,1
2021-02-16,100.0,100.0,1
2021-02-17,33.0,33.0,1
2021-02-18,0.0,0.0,1
2021-02-19,35.0,35.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,0.0,0.0,1
2021-02-23,0.0,0.0,1
2021-02-24,34.0,34.0,1
2021-02-25,67.0,67.0,1
2021-02-26,67.0,67.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,65.0,65.0,1
2021-03-02,67.0,67.0,1
2021-03-03,34.0,34.0,1
2021-03-04,95.0,95.0,1
2021-03-05,34.0,34.0,1
2021-03-06,0.0,0.0,1
2021-03-07,36.0,36.0,1
2021-03-08,33.0,33.0,1
2021-03-09,0.0,0.0,1
2021-03-10,65.0,65.0,1
2021-03-11,33.0,33.0,1
2021-03-12,0.0,0.0,1
2021-03-13,0.0,0.0,1
2021-03-14,0.0,0.0,1
2021-03-15,25.0,25.0,1
2021-03-16,56.0,56.0,1
2021-03-17,32.0,32.0,1
2021-03-18,33.0,33.0,1
2021-03-19,0.0,0.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,0.0,0.0,1
2021-03-23,32.0,32.0,1
2021-03-24,0.0,0.0,1
2021-03-25,33.0,33.0,1
2021-03-26,0.0,0.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,0.0,0.0,1
2021-03-30,0.0,0.0,1
2021-03-31,0.0,0.0,1
2021-04-01,0.0,0.0,1
2021-04-02,0.0,0.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,0.0,0.0,1
2021-04-06,31.0,31.0,1
2021-04-07,0.0,0.0,1
2021-04-08,33.0,33.0,1
2021-04-09,0.0,0.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,0.0,0.0,1
2021-04-13,0.0,0.0,1
2021-04-14,0.0,0.0,1
2021-04-15,0.0,0.0,1
2021-04-16,0.0,0.0,1
2021-04-17,0.0,0.0,1
2021-04-18,0.0,0.0,1
2021-04-19,32.0,32.0,1
2021-04-20,0.0,0.0,1
2021-04-21,67.0,67.0,1
2021-04-22,68.0,68.0,1
2021-04-23,35.0,35.0,1
2021-04-24,39.0,39.0,1
2021-04-25,0.0,0.0,1
2021-04-26,97.0,97.0,1
2021-04-27,34.0,34.0,1
2021-04-28,67.0,67.0,1
2021-04-29,0.0,0.0,1
2021-04-30,33.0,33.0,1
2021-05-01,0.0,0.0,1
2021-05-02,0.0,0.0,1
2021-05-03,95.0,95.0,1
2021-05-04,91.0,91.0,1
2021-05-05,93.0,93.0,1
2021-05-06,64.0,64.0,1
2021-05-07,33.0,33.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,0.0,0.0,1
2021-05-11,0.0,0.0,1
2021-05-12,0.0,0.0,1
2021-05-13,34.0,34.0,1
2021-05-14,0.0,0.0,1
