date,/m/03m_f1_0,/m/03m_f1,batch_id
2021-02-01,19.0,19.0,1
2021-02-02,19.0,19.0,1
2021-02-03,19.0,19.0,1
2021-02-04,20.0,20.0,1
2021-02-05,19.0,19.0,1
2021-02-06,21.0,21.0,1
2021-02-07,21.0,21.0,1
2021-02-08,19.0,19.0,1
2021-02-09,19.0,19.0,1
2021-02-10,0.0,0.0,1
2021-02-11,0.0,0.0,1
2021-02-12,0.0,0.0,1
2021-02-13,66.0,66.0,1
2021-02-14,44.0,44.0,1
2021-02-15,0.0,0.0,1
2021-02-16,0.0,0.0,1
2021-02-17,19.0,19.0,1
2021-02-18,0.0,0.0,1
2021-02-19,41.0,41.0,1
2021-02-20,23.0,23.0,1
2021-02-21,23.0,23.0,1
2021-02-22,18.0,18.0,1
2021-02-23,40.0,40.0,1
2021-02-24,80.0,80.0,1
2021-02-25,40.0,40.0,1
2021-02-26,20.0,20.0,1
2021-02-27,44.0,44.0,1
2021-02-28,21.0,21.0,1
2021-03-01,57.0,57.0,1
2021-03-02,0.0,0.0,1
2021-03-03,20.0,20.0,1
2021-03-04,38.0,38.0,1
2021-03-05,20.0,20.0,1
2021-03-06,44.0,44.0,1
2021-03-07,21.0,21.0,1
2021-03-08,19.0,19.0,1
2021-03-09,19.0,19.0,1
2021-03-10,19.0,19.0,1
2021-03-11,0.0,0.0,1
2021-03-12,0.0,0.0,1
2021-03-13,0.0,0.0,1
2021-03-14,41.0,41.0,1
2021-03-15,15.0,15.0,1
2021-03-16,50.0,50.0,1
2021-03-17,19.0,19.0,1
2021-03-18,39.0,39.0,1
2021-03-19,20.0,20.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,38.0,38.0,1
2021-03-23,19.0,19.0,1
2021-03-24,38.0,38.0,1
2021-03-25,59.0,59.0,1
2021-03-26,0.0,0.0,1
2021-03-27,21.0,21.0,1
2021-03-28,23.0,23.0,1
2021-03-29,80.0,80.0,1
2021-03-30,0.0,0.0,1
2021-03-31,0.0,0.0,1
2021-04-01,20.0,20.0,1
2021-04-02,21.0,21.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,40.0,40.0,1
2021-04-06,18.0,18.0,1
2021-04-07,57.0,57.0,1
2021-04-08,39.0,39.0,1
2021-04-09,0.0,0.0,1
2021-04-10,20.0,20.0,1
2021-04-11,0.0,0.0,1
2021-04-12,0.0,0.0,1
2021-04-13,0.0,0.0,1
2021-04-14,39.0,39.0,1
2021-04-15,20.0,20.0,1
2021-04-16,41.0,41.0,1
2021-04-17,0.0,0.0,1
2021-04-18,0.0,0.0,1
2021-04-19,0.0,0.0,1
2021-04-20,39.0,39.0,1
2021-04-21,59.0,59.0,1
2021-04-22,100.0,100.0,1
2021-04-23,42.0,42.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,0.0,0.0,1
2021-04-27,40.0,40.0,1
2021-04-28,59.0,59.0,1
2021-04-29,19.0,19.0,1
2021-04-30,19.0,19.0,1
2021-05-01,43.0,43.0,1
2021-05-02,21.0,21.0,1
2021-05-03,19.0,19.0,1
2021-05-04,36.0,36.0,1
2021-05-05,18.0,18.0,1
2021-05-06,0.0,0.0,1
2021-05-07,59.0,59.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,57.0,57.0,1
2021-05-11,56.0,56.0,1
2021-05-12,0.0,0.0,1
2021-05-13,0.0,0.0,1
2021-05-14,0.0,0.0,1
