date,/m/0y64z
2020-02-01,10
2020-02-02,7
2020-02-03,12
2020-02-04,21
2020-02-05,29
2020-02-06,15
2020-02-07,15
2020-02-08,18
2020-02-09,20
2020-02-10,22
2020-02-11,16
2020-02-12,9
2020-02-13,17
2020-02-14,25
2020-02-15,13
2020-02-16,16
2020-02-17,16
2020-02-18,23
2020-02-19,27
2020-02-20,19
2020-02-21,22
2020-02-22,23
2020-02-23,12
2020-02-24,34
2020-02-25,18
2020-02-26,22
2020-02-27,17
2020-02-28,30
2020-02-29,37
2020-03-01,35
2020-03-02,26
2020-03-03,30
2020-03-04,43
2020-03-05,32
2020-03-06,23
2020-03-07,38
2020-03-08,32
2020-03-09,38
2020-03-10,33
2020-03-11,39
2020-03-12,73
2020-03-13,56
2020-03-14,91
2020-03-15,100
2020-03-16,82
2020-03-17,59
2020-03-18,67
2020-03-19,64
2020-03-20,73
2020-03-21,70
2020-03-22,86
2020-03-23,68
2020-03-24,55
2020-03-25,74
2020-03-26,68
2020-03-27,58
2020-03-28,76
2020-03-29,71
2020-03-30,58
2020-03-31,56
2020-04-01,58
2020-04-02,76
2020-04-03,64
2020-04-04,55
2020-04-05,80
2020-04-06,56
2020-04-07,53
2020-04-08,42
2020-04-09,55
2020-04-10,51
2020-04-11,72
2020-04-12,57
2020-04-13,66
2020-04-14,59
2020-04-15,39
2020-04-16,63
2020-04-17,35
2020-04-18,43
2020-04-19,46
2020-04-20,50
2020-04-21,32
2020-04-22,33
2020-04-23,34
2020-04-24,24
2020-04-25,54
2020-04-26,47
2020-04-27,39
2020-04-28,41
2020-04-29,34
2020-04-30,28
2020-05-01,47
2020-05-02,30
2020-05-03,38
2020-05-04,22
2020-05-05,33
2020-05-06,30
2020-05-07,23
2020-05-08,19
2020-05-09,39
2020-05-10,32
2020-05-11,28
2020-05-12,31
2020-05-13,36
2020-05-14,30
2020-05-15,31
2020-05-16,32
2020-05-17,27
2020-05-18,18
2020-05-19,18
2020-05-20,33
2020-05-21,37
2020-05-22,20
2020-05-23,29
2020-05-24,32
2020-05-25,33
2020-05-26,14
2020-05-27,26
2020-05-28,33
2020-05-29,30
2020-05-30,23
2020-05-31,38
