date,/g/11bc6g4qbm_0,/g/11bc6g4qbm,batch_id
2021-02-01,36.0,36.0,1
2021-02-02,36.0,36.0,1
2021-02-03,0.0,0.0,1
2021-02-04,25.0,25.0,1
2021-02-05,12.0,12.0,1
2021-02-06,13.0,13.0,1
2021-02-07,13.0,13.0,1
2021-02-08,47.0,47.0,1
2021-02-09,36.0,36.0,1
2021-02-10,24.0,24.0,1
2021-02-11,0.0,0.0,1
2021-02-12,25.0,25.0,1
2021-02-13,14.0,14.0,1
2021-02-14,0.0,0.0,1
2021-02-15,0.0,0.0,1
2021-02-16,37.0,37.0,1
2021-02-17,61.0,61.0,1
2021-02-18,24.0,24.0,1
2021-02-19,0.0,0.0,1
2021-02-20,0.0,0.0,1
2021-02-21,30.0,30.0,1
2021-02-22,81.0,81.0,1
2021-02-23,100.0,100.0,1
2021-02-24,75.0,75.0,1
2021-02-25,75.0,75.0,1
2021-02-26,50.0,50.0,1
2021-02-27,14.0,14.0,1
2021-02-28,0.0,0.0,1
2021-03-01,24.0,24.0,1
2021-03-02,37.0,37.0,1
2021-03-03,38.0,38.0,1
2021-03-04,24.0,24.0,1
2021-03-05,38.0,38.0,1
2021-03-06,0.0,0.0,1
2021-03-07,0.0,0.0,1
2021-03-08,36.0,36.0,1
2021-03-09,24.0,24.0,1
2021-03-10,0.0,0.0,1
2021-03-11,37.0,37.0,1
2021-03-12,12.0,12.0,1
2021-03-13,13.0,13.0,1
2021-03-14,0.0,0.0,1
2021-03-15,9.0,9.0,1
2021-03-16,10.0,10.0,1
2021-03-17,36.0,36.0,1
2021-03-18,49.0,49.0,1
2021-03-19,13.0,13.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,12.0,12.0,1
2021-03-23,0.0,0.0,1
2021-03-24,12.0,12.0,1
2021-03-25,12.0,12.0,1
2021-03-26,26.0,26.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,25.0,25.0,1
2021-03-30,39.0,39.0,1
2021-03-31,41.0,41.0,1
2021-04-01,13.0,13.0,1
2021-04-02,0.0,0.0,1
2021-04-03,57.0,57.0,1
2021-04-04,0.0,0.0,1
2021-04-05,13.0,13.0,1
2021-04-06,12.0,12.0,1
2021-04-07,0.0,0.0,1
2021-04-08,0.0,0.0,1
2021-04-09,38.0,38.0,1
2021-04-10,13.0,13.0,1
2021-04-11,0.0,0.0,1
2021-04-12,0.0,0.0,1
2021-04-13,12.0,12.0,1
2021-04-14,49.0,49.0,1
2021-04-15,12.0,12.0,1
2021-04-16,26.0,26.0,1
2021-04-17,0.0,0.0,1
2021-04-18,0.0,0.0,1
2021-04-19,24.0,24.0,1
2021-04-20,25.0,25.0,1
2021-04-21,12.0,12.0,1
2021-04-22,13.0,13.0,1
2021-04-23,13.0,13.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,73.0,73.0,1
2021-04-27,50.0,50.0,1
2021-04-28,12.0,12.0,1
2021-04-29,12.0,12.0,1
2021-04-30,12.0,12.0,1
2021-05-01,0.0,0.0,1
2021-05-02,0.0,0.0,1
2021-05-03,47.0,47.0,1
2021-05-04,34.0,34.0,1
2021-05-05,23.0,23.0,1
2021-05-06,24.0,24.0,1
2021-05-07,37.0,37.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,0.0,0.0,1
2021-05-11,23.0,23.0,1
2021-05-12,37.0,37.0,1
2021-05-13,26.0,26.0,1
2021-05-14,0.0,0.0,1
