date,/g/11b7rhc_lr_0,/g/11b7rhc_lr,batch_id
2021-02-01,0.0,0.0,1
2021-02-02,0.0,0.0,1
2021-02-03,0.0,0.0,1
2021-02-04,17.0,17.0,1
2021-02-05,0.0,0.0,1
2021-02-06,0.0,0.0,1
2021-02-07,0.0,0.0,1
2021-02-08,0.0,0.0,1
2021-02-09,0.0,0.0,1
2021-02-10,0.0,0.0,1
2021-02-11,0.0,0.0,1
2021-02-12,34.0,34.0,1
2021-02-13,0.0,0.0,1
2021-02-14,0.0,0.0,1
2021-02-15,16.0,16.0,1
2021-02-16,0.0,0.0,1
2021-02-17,0.0,0.0,1
2021-02-18,0.0,0.0,1
2021-02-19,18.0,18.0,1
2021-02-20,0.0,0.0,1
2021-02-21,20.0,20.0,1
2021-02-22,0.0,0.0,1
2021-02-23,0.0,0.0,1
2021-02-24,17.0,17.0,1
2021-02-25,0.0,0.0,1
2021-02-26,0.0,0.0,1
2021-02-27,0.0,0.0,1
2021-02-28,18.0,18.0,1
2021-03-01,0.0,0.0,1
2021-03-02,0.0,0.0,1
2021-03-03,17.0,17.0,1
2021-03-04,16.0,16.0,1
2021-03-05,35.0,35.0,1
2021-03-06,19.0,19.0,1
2021-03-07,37.0,37.0,1
2021-03-08,0.0,0.0,1
2021-03-09,16.0,16.0,1
2021-03-10,17.0,17.0,1
2021-03-11,100.0,100.0,1
2021-03-12,0.0,0.0,1
2021-03-13,18.0,18.0,1
2021-03-14,35.0,35.0,1
2021-03-15,52.0,52.0,1
2021-03-16,29.0,29.0,1
2021-03-17,0.0,0.0,1
2021-03-18,33.0,33.0,1
2021-03-19,35.0,35.0,1
2021-03-20,58.0,58.0,1
2021-03-21,0.0,0.0,1
2021-03-22,33.0,33.0,1
2021-03-23,33.0,33.0,1
2021-03-24,33.0,33.0,1
2021-03-25,17.0,17.0,1
2021-03-26,18.0,18.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,0.0,0.0,1
2021-03-30,0.0,0.0,1
2021-03-31,37.0,37.0,1
2021-04-01,18.0,18.0,1
2021-04-02,36.0,36.0,1
2021-04-03,19.0,19.0,1
2021-04-04,20.0,20.0,1
2021-04-05,0.0,0.0,1
2021-04-06,48.0,48.0,1
2021-04-07,0.0,0.0,1
2021-04-08,34.0,34.0,1
2021-04-09,35.0,35.0,1
2021-04-10,17.0,17.0,1
2021-04-11,18.0,18.0,1
2021-04-12,16.0,16.0,1
2021-04-13,0.0,0.0,1
2021-04-14,67.0,67.0,1
2021-04-15,17.0,17.0,1
2021-04-16,18.0,18.0,1
2021-04-17,0.0,0.0,1
2021-04-18,0.0,0.0,1
2021-04-19,49.0,49.0,1
2021-04-20,34.0,34.0,1
2021-04-21,68.0,68.0,1
2021-04-22,17.0,17.0,1
2021-04-23,0.0,0.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,33.0,33.0,1
2021-04-27,0.0,0.0,1
2021-04-28,0.0,0.0,1
2021-04-29,0.0,0.0,1
2021-04-30,17.0,17.0,1
2021-05-01,37.0,37.0,1
2021-05-02,0.0,0.0,1
2021-05-03,65.0,65.0,1
2021-05-04,31.0,31.0,1
2021-05-05,48.0,48.0,1
2021-05-06,33.0,33.0,1
2021-05-07,34.0,34.0,1
2021-05-08,19.0,19.0,1
2021-05-09,20.0,20.0,1
2021-05-10,33.0,33.0,1
2021-05-11,16.0,16.0,1
2021-05-12,17.0,17.0,1
2021-05-13,18.0,18.0,1
2021-05-14,90.0,90.0,1
