date,/m/010678wf_0,/m/010678wf,batch_id
2021-02-01,41.0,41.0,1
2021-02-02,14.0,14.0,1
2021-02-03,0.0,0.0,1
2021-02-04,0.0,0.0,1
2021-02-05,28.0,28.0,1
2021-02-06,0.0,0.0,1
2021-02-07,0.0,0.0,1
2021-02-08,14.0,14.0,1
2021-02-09,0.0,0.0,1
2021-02-10,14.0,14.0,1
2021-02-11,0.0,0.0,1
2021-02-12,0.0,0.0,1
2021-02-13,0.0,0.0,1
2021-02-14,16.0,16.0,1
2021-02-15,0.0,0.0,1
2021-02-16,0.0,0.0,1
2021-02-17,28.0,28.0,1
2021-02-18,0.0,0.0,1
2021-02-19,0.0,0.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,13.0,13.0,1
2021-02-23,0.0,0.0,1
2021-02-24,43.0,43.0,1
2021-02-25,43.0,43.0,1
2021-02-26,14.0,14.0,1
2021-02-27,16.0,16.0,1
2021-02-28,62.0,62.0,1
2021-03-01,69.0,69.0,1
2021-03-02,14.0,14.0,1
2021-03-03,29.0,29.0,1
2021-03-04,27.0,27.0,1
2021-03-05,0.0,0.0,1
2021-03-06,0.0,0.0,1
2021-03-07,15.0,15.0,1
2021-03-08,0.0,0.0,1
2021-03-09,14.0,14.0,1
2021-03-10,14.0,14.0,1
2021-03-11,42.0,42.0,1
2021-03-12,43.0,43.0,1
2021-03-13,15.0,15.0,1
2021-03-14,44.0,44.0,1
2021-03-15,22.0,22.0,1
2021-03-16,24.0,24.0,1
2021-03-17,69.0,69.0,1
2021-03-18,28.0,28.0,1
2021-03-19,0.0,0.0,1
2021-03-20,16.0,16.0,1
2021-03-21,0.0,0.0,1
2021-03-22,41.0,41.0,1
2021-03-23,0.0,0.0,1
2021-03-24,14.0,14.0,1
2021-03-25,43.0,43.0,1
2021-03-26,15.0,15.0,1
2021-03-27,31.0,31.0,1
2021-03-28,16.0,16.0,1
2021-03-29,15.0,15.0,1
2021-03-30,15.0,15.0,1
2021-03-31,31.0,31.0,1
2021-04-01,74.0,74.0,1
2021-04-02,45.0,45.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,29.0,29.0,1
2021-04-06,27.0,27.0,1
2021-04-07,0.0,0.0,1
2021-04-08,71.0,71.0,1
2021-04-09,87.0,87.0,1
2021-04-10,14.0,14.0,1
2021-04-11,30.0,30.0,1
2021-04-12,40.0,40.0,1
2021-04-13,100.0,100.0,1
2021-04-14,56.0,56.0,1
2021-04-15,28.0,28.0,1
2021-04-16,0.0,0.0,1
2021-04-17,16.0,16.0,1
2021-04-18,16.0,16.0,1
2021-04-19,27.0,27.0,1
2021-04-20,14.0,14.0,1
2021-04-21,14.0,14.0,1
2021-04-22,14.0,14.0,1
2021-04-23,15.0,15.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,42.0,42.0,1
2021-04-27,0.0,0.0,1
2021-04-28,28.0,28.0,1
2021-04-29,0.0,0.0,1
2021-04-30,28.0,28.0,1
2021-05-01,31.0,31.0,1
2021-05-02,31.0,31.0,1
2021-05-03,14.0,14.0,1
2021-05-04,26.0,26.0,1
2021-05-05,13.0,13.0,1
2021-05-06,27.0,27.0,1
2021-05-07,43.0,43.0,1
2021-05-08,47.0,47.0,1
2021-05-09,50.0,50.0,1
2021-05-10,27.0,27.0,1
2021-05-11,54.0,54.0,1
2021-05-12,14.0,14.0,1
2021-05-13,44.0,44.0,1
2021-05-14,45.0,45.0,1
