date,/m/01byzl_0,/m/01byzl,batch_id
2021-02-01,22.0,22.0,1
2021-02-02,22.0,22.0,1
2021-02-03,0.0,0.0,1
2021-02-04,0.0,0.0,1
2021-02-05,23.0,23.0,1
2021-02-06,72.0,72.0,1
2021-02-07,24.0,24.0,1
2021-02-08,44.0,44.0,1
2021-02-09,45.0,45.0,1
2021-02-10,44.0,44.0,1
2021-02-11,0.0,0.0,1
2021-02-12,69.0,69.0,1
2021-02-13,26.0,26.0,1
2021-02-14,0.0,0.0,1
2021-02-15,66.0,66.0,1
2021-02-16,0.0,0.0,1
2021-02-17,45.0,45.0,1
2021-02-18,23.0,23.0,1
2021-02-19,0.0,0.0,1
2021-02-20,27.0,27.0,1
2021-02-21,0.0,0.0,1
2021-02-22,0.0,0.0,1
2021-02-23,23.0,23.0,1
2021-02-24,0.0,0.0,1
2021-02-25,46.0,46.0,1
2021-02-26,23.0,23.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,0.0,0.0,1
2021-03-02,0.0,0.0,1
2021-03-03,0.0,0.0,1
2021-03-04,0.0,0.0,1
2021-03-05,47.0,47.0,1
2021-03-06,26.0,26.0,1
2021-03-07,25.0,25.0,1
2021-03-08,22.0,22.0,1
2021-03-09,0.0,0.0,1
2021-03-10,0.0,0.0,1
2021-03-11,0.0,0.0,1
2021-03-12,69.0,69.0,1
2021-03-13,24.0,24.0,1
2021-03-14,0.0,0.0,1
2021-03-15,17.0,17.0,1
2021-03-16,19.0,19.0,1
2021-03-17,22.0,22.0,1
2021-03-18,0.0,0.0,1
2021-03-19,24.0,24.0,1
2021-03-20,26.0,26.0,1
2021-03-21,0.0,0.0,1
2021-03-22,45.0,45.0,1
2021-03-23,0.0,0.0,1
2021-03-24,22.0,22.0,1
2021-03-25,0.0,0.0,1
2021-03-26,24.0,24.0,1
2021-03-27,50.0,50.0,1
2021-03-28,0.0,0.0,1
2021-03-29,47.0,47.0,1
2021-03-30,0.0,0.0,1
2021-03-31,100.0,100.0,1
2021-04-01,24.0,24.0,1
2021-04-02,0.0,0.0,1
2021-04-03,78.0,78.0,1
2021-04-04,53.0,53.0,1
2021-04-05,0.0,0.0,1
2021-04-06,43.0,43.0,1
2021-04-07,0.0,0.0,1
2021-04-08,23.0,23.0,1
2021-04-09,70.0,70.0,1
2021-04-10,23.0,23.0,1
2021-04-11,24.0,24.0,1
2021-04-12,44.0,44.0,1
2021-04-13,69.0,69.0,1
2021-04-14,0.0,0.0,1
2021-04-15,23.0,23.0,1
2021-04-16,24.0,24.0,1
2021-04-17,78.0,78.0,1
2021-04-18,52.0,52.0,1
2021-04-19,44.0,44.0,1
2021-04-20,0.0,0.0,1
2021-04-21,46.0,46.0,1
2021-04-22,70.0,70.0,1
2021-04-23,97.0,97.0,1
2021-04-24,54.0,54.0,1
2021-04-25,26.0,26.0,1
2021-04-26,0.0,0.0,1
2021-04-27,0.0,0.0,1
2021-04-28,23.0,23.0,1
2021-04-29,44.0,44.0,1
2021-04-30,45.0,45.0,1
2021-05-01,0.0,0.0,1
2021-05-02,25.0,25.0,1
2021-05-03,22.0,22.0,1
2021-05-04,0.0,0.0,1
2021-05-05,86.0,86.0,1
2021-05-06,0.0,0.0,1
2021-05-07,23.0,23.0,1
2021-05-08,75.0,75.0,1
2021-05-09,0.0,0.0,1
2021-05-10,22.0,22.0,1
2021-05-11,43.0,43.0,1
2021-05-12,23.0,23.0,1
2021-05-13,24.0,24.0,1
2021-05-14,0.0,0.0,1
