date,/m/02pn_8__0,/m/02pn_8_,batch_id
2021-02-01,54.0,54.0,1
2021-02-02,54.0,54.0,1
2021-02-03,67.0,67.0,1
2021-02-04,71.0,71.0,1
2021-02-05,28.0,28.0,1
2021-02-06,0.0,0.0,1
2021-02-07,15.0,15.0,1
2021-02-08,13.0,13.0,1
2021-02-09,14.0,14.0,1
2021-02-10,81.0,81.0,1
2021-02-11,28.0,28.0,1
2021-02-12,14.0,14.0,1
2021-02-13,0.0,0.0,1
2021-02-14,16.0,16.0,1
2021-02-15,13.0,13.0,1
2021-02-16,42.0,42.0,1
2021-02-17,98.0,98.0,1
2021-02-18,42.0,42.0,1
2021-02-19,44.0,44.0,1
2021-02-20,17.0,17.0,1
2021-02-21,0.0,0.0,1
2021-02-22,39.0,39.0,1
2021-02-23,85.0,85.0,1
2021-02-24,100.0,100.0,1
2021-02-25,14.0,14.0,1
2021-02-26,100.0,100.0,1
2021-02-27,32.0,32.0,1
2021-02-28,15.0,15.0,1
2021-03-01,69.0,69.0,1
2021-03-02,99.0,99.0,1
2021-03-03,57.0,57.0,1
2021-03-04,81.0,81.0,1
2021-03-05,87.0,87.0,1
2021-03-06,32.0,32.0,1
2021-03-07,0.0,0.0,1
2021-03-08,41.0,41.0,1
2021-03-09,68.0,68.0,1
2021-03-10,41.0,41.0,1
2021-03-11,41.0,41.0,1
2021-03-12,57.0,57.0,1
2021-03-13,0.0,0.0,1
2021-03-14,0.0,0.0,1
2021-03-15,43.0,43.0,1
2021-03-16,36.0,36.0,1
2021-03-17,68.0,68.0,1
2021-03-18,83.0,83.0,1
2021-03-19,58.0,58.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,55.0,55.0,1
2021-03-23,27.0,27.0,1
2021-03-24,55.0,55.0,1
2021-03-25,28.0,28.0,1
2021-03-26,15.0,15.0,1
2021-03-27,15.0,15.0,1
2021-03-28,16.0,16.0,1
2021-03-29,43.0,43.0,1
2021-03-30,60.0,60.0,1
2021-03-31,31.0,31.0,1
2021-04-01,59.0,59.0,1
2021-04-02,0.0,0.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,14.0,14.0,1
2021-04-06,40.0,40.0,1
2021-04-07,14.0,14.0,1
2021-04-08,28.0,28.0,1
2021-04-09,43.0,43.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,40.0,40.0,1
2021-04-13,43.0,43.0,1
2021-04-14,42.0,42.0,1
2021-04-15,28.0,28.0,1
2021-04-16,44.0,44.0,1
2021-04-17,0.0,0.0,1
2021-04-18,16.0,16.0,1
2021-04-19,27.0,27.0,1
2021-04-20,14.0,14.0,1
2021-04-21,0.0,0.0,1
2021-04-22,0.0,0.0,1
2021-04-23,60.0,60.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,69.0,69.0,1
2021-04-27,29.0,29.0,1
2021-04-28,42.0,42.0,1
2021-04-29,68.0,68.0,1
2021-04-30,14.0,14.0,1
2021-05-01,0.0,0.0,1
2021-05-02,0.0,0.0,1
2021-05-03,27.0,27.0,1
2021-05-04,51.0,51.0,1
2021-05-05,66.0,66.0,1
2021-05-06,68.0,68.0,1
2021-05-07,28.0,28.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,27.0,27.0,1
2021-05-11,53.0,53.0,1
2021-05-12,56.0,56.0,1
2021-05-13,73.0,73.0,1
2021-05-14,45.0,45.0,1
