date,/m/062t2
2020-02-01,67
2020-02-02,85
2020-02-03,97
2020-02-04,65
2020-02-05,91
2020-02-06,78
2020-02-07,54
2020-02-08,86
2020-02-09,57
2020-02-10,74
2020-02-11,62
2020-02-12,78
2020-02-13,48
2020-02-14,63
2020-02-15,70
2020-02-16,84
2020-02-17,84
2020-02-18,78
2020-02-19,52
2020-02-20,84
2020-02-21,69
2020-02-22,68
2020-02-23,52
2020-02-24,63
2020-02-25,96
2020-02-26,75
2020-02-27,60
2020-02-28,84
2020-02-29,67
2020-03-01,93
2020-03-02,70
2020-03-03,36
2020-03-04,63
2020-03-05,66
2020-03-06,79
2020-03-07,53
2020-03-08,69
2020-03-09,68
2020-03-10,66
2020-03-11,70
2020-03-12,44
2020-03-13,57
2020-03-14,41
2020-03-15,71
2020-03-16,40
2020-03-17,57
2020-03-18,74
2020-03-19,57
2020-03-20,78
2020-03-21,48
2020-03-22,49
2020-03-23,72
2020-03-24,73
2020-03-25,52
2020-03-26,57
2020-03-27,69
2020-03-28,57
2020-03-29,90
2020-03-30,74
2020-03-31,62
2020-04-01,62
2020-04-02,63
2020-04-03,65
2020-04-04,66
2020-04-05,90
2020-04-06,72
2020-04-07,50
2020-04-08,85
2020-04-09,47
2020-04-10,52
2020-04-11,65
2020-04-12,64
2020-04-13,69
2020-04-14,59
2020-04-15,67
2020-04-16,67
2020-04-17,65
2020-04-18,75
2020-04-19,76
2020-04-20,75
2020-04-21,80
2020-04-22,49
2020-04-23,56
2020-04-24,49
2020-04-25,77
2020-04-26,60
2020-04-27,52
2020-04-28,54
2020-04-29,48
2020-04-30,68
2020-05-01,77
2020-05-02,71
2020-05-03,76
2020-05-04,84
2020-05-05,72
2020-05-06,64
2020-05-07,60
2020-05-08,49
2020-05-09,85
2020-05-10,57
2020-05-11,61
2020-05-12,75
2020-05-13,63
2020-05-14,73
2020-05-15,58
2020-05-16,73
2020-05-17,72
2020-05-18,39
2020-05-19,57
2020-05-20,56
2020-05-21,67
2020-05-22,36
2020-05-23,54
2020-05-24,63
2020-05-25,78
2020-05-26,71
2020-05-27,59
2020-05-28,73
2020-05-29,57
2020-05-30,60
2020-05-31,70
2020-06-01,85
2020-06-02,56
2020-06-03,51
2020-06-04,64
2020-06-05,54
2020-06-06,83
2020-06-07,58
2020-06-08,74
2020-06-09,66
2020-06-10,82
2020-06-11,59
2020-06-12,73
2020-06-13,81
2020-06-14,72
2020-06-15,62
2020-06-16,58
2020-06-17,86
2020-06-18,58
2020-06-19,69
2020-06-20,57
2020-06-21,61
2020-06-22,62
2020-06-23,53
2020-06-24,53
2020-06-25,64
2020-06-26,35
2020-06-27,70
2020-06-28,84
2020-06-29,58
2020-06-30,51
2020-07-01,83
2020-07-02,53
2020-07-03,47
2020-07-04,61
2020-07-05,57
2020-07-06,87
2020-07-07,79
2020-07-08,40
2020-07-09,63
2020-07-10,51
2020-07-11,76
2020-07-12,56
2020-07-13,65
2020-07-14,64
2020-07-15,56
2020-07-16,48
2020-07-17,56
2020-07-18,65
2020-07-19,37
2020-07-20,100
2020-07-21,55
2020-07-22,76
2020-07-23,47
2020-07-24,49
2020-07-25,69
2020-07-26,85
2020-07-27,75
2020-07-28,69
2020-07-29,74
2020-07-30,76
2020-07-31,64
2020-08-01,57
2020-08-02,80
2020-08-03,86
2020-08-04,57
2020-08-05,52
2020-08-06,72
2020-08-07,57
2020-08-08,53
2020-08-09,69
2020-08-10,43
2020-08-11,69
2020-08-12,64
2020-08-13,67
2020-08-14,84
2020-08-15,49
2020-08-16,98
2020-08-17,89
2020-08-18,57
2020-08-19,69
2020-08-20,58
2020-08-21,57
2020-08-22,84
2020-08-23,78
2020-08-24,67
2020-08-25,74
2020-08-26,82
2020-08-27,61
2020-08-28,54
2020-08-29,53
2020-08-30,77
2020-08-31,100
2020-09-01,60
2020-09-02,56
2020-09-03,57
2020-09-04,47
2020-09-05,80
2020-09-06,64
2020-09-07,59
2020-09-08,67
2020-09-09,75
2020-09-10,78
2020-09-11,65
2020-09-12,91
2020-09-13,85
2020-09-14,68
2020-09-15,80
2020-09-16,83
2020-09-17,64
2020-09-18,56
2020-09-19,65
2020-09-20,70
2020-09-21,86
2020-09-22,39
2020-09-23,56
2020-09-24,60
2020-09-25,44
2020-09-26,87
2020-09-27,68
2020-09-28,77
2020-09-29,95
