date,/m/01195hyq_0,/m/01195hyq,batch_id
2021-02-01,0.0,0.0,1
2021-02-02,11.0,11.0,1
2021-02-03,11.0,11.0,1
2021-02-04,47.0,47.0,1
2021-02-05,12.0,12.0,1
2021-02-06,0.0,0.0,1
2021-02-07,25.0,25.0,1
2021-02-08,33.0,33.0,1
2021-02-09,11.0,11.0,1
2021-02-10,22.0,22.0,1
2021-02-11,23.0,23.0,1
2021-02-12,12.0,12.0,1
2021-02-13,26.0,26.0,1
2021-02-14,26.0,26.0,1
2021-02-15,22.0,22.0,1
2021-02-16,23.0,23.0,1
2021-02-17,23.0,23.0,1
2021-02-18,0.0,0.0,1
2021-02-19,12.0,12.0,1
2021-02-20,14.0,14.0,1
2021-02-21,0.0,0.0,1
2021-02-22,33.0,33.0,1
2021-02-23,35.0,35.0,1
2021-02-24,36.0,36.0,1
2021-02-25,35.0,35.0,1
2021-02-26,24.0,24.0,1
2021-02-27,26.0,26.0,1
2021-02-28,25.0,25.0,1
2021-03-01,23.0,23.0,1
2021-03-02,35.0,35.0,1
2021-03-03,24.0,24.0,1
2021-03-04,0.0,0.0,1
2021-03-05,0.0,0.0,1
2021-03-06,40.0,40.0,1
2021-03-07,25.0,25.0,1
2021-03-08,23.0,23.0,1
2021-03-09,11.0,11.0,1
2021-03-10,11.0,11.0,1
2021-03-11,23.0,23.0,1
2021-03-12,12.0,12.0,1
2021-03-13,0.0,0.0,1
2021-03-14,12.0,12.0,1
2021-03-15,9.0,9.0,1
2021-03-16,10.0,10.0,1
2021-03-17,23.0,23.0,1
2021-03-18,23.0,23.0,1
2021-03-19,0.0,0.0,1
2021-03-20,54.0,54.0,1
2021-03-21,100.0,100.0,1
2021-03-22,34.0,34.0,1
2021-03-23,23.0,23.0,1
2021-03-24,34.0,34.0,1
2021-03-25,35.0,35.0,1
2021-03-26,12.0,12.0,1
2021-03-27,25.0,25.0,1
2021-03-28,41.0,41.0,1
2021-03-29,0.0,0.0,1
2021-03-30,12.0,12.0,1
2021-03-31,38.0,38.0,1
2021-04-01,12.0,12.0,1
2021-04-02,25.0,25.0,1
2021-04-03,13.0,13.0,1
2021-04-04,27.0,27.0,1
2021-04-05,47.0,47.0,1
2021-04-06,55.0,55.0,1
2021-04-07,0.0,0.0,1
2021-04-08,47.0,47.0,1
2021-04-09,0.0,0.0,1
2021-04-10,35.0,35.0,1
2021-04-11,25.0,25.0,1
2021-04-12,33.0,33.0,1
2021-04-13,0.0,0.0,1
2021-04-14,11.0,11.0,1
2021-04-15,35.0,35.0,1
2021-04-16,0.0,0.0,1
2021-04-17,27.0,27.0,1
2021-04-18,40.0,40.0,1
2021-04-19,34.0,34.0,1
2021-04-20,58.0,58.0,1
2021-04-21,47.0,47.0,1
2021-04-22,36.0,36.0,1
2021-04-23,12.0,12.0,1
2021-04-24,41.0,41.0,1
2021-04-25,0.0,0.0,1
2021-04-26,34.0,34.0,1
2021-04-27,12.0,12.0,1
2021-04-28,23.0,23.0,1
2021-04-29,0.0,0.0,1
2021-04-30,34.0,34.0,1
2021-05-01,13.0,13.0,1
2021-05-02,13.0,13.0,1
2021-05-03,11.0,11.0,1
2021-05-04,32.0,32.0,1
2021-05-05,11.0,11.0,1
2021-05-06,11.0,11.0,1
2021-05-07,12.0,12.0,1
2021-05-08,26.0,26.0,1
2021-05-09,41.0,41.0,1
2021-05-10,23.0,23.0,1
2021-05-11,11.0,11.0,1
2021-05-12,0.0,0.0,1
2021-05-13,24.0,24.0,1
2021-05-14,0.0,0.0,1
