date,/m/0c01msq_0,/m/0c01msq,batch_id
2021-02-01,13.0,13.0,1
2021-02-02,13.0,13.0,1
2021-02-03,26.0,26.0,1
2021-02-04,0.0,0.0,1
2021-02-05,0.0,0.0,1
2021-02-06,14.0,14.0,1
2021-02-07,28.0,28.0,1
2021-02-08,0.0,0.0,1
2021-02-09,0.0,0.0,1
2021-02-10,0.0,0.0,1
2021-02-11,13.0,13.0,1
2021-02-12,0.0,0.0,1
2021-02-13,15.0,15.0,1
2021-02-14,15.0,15.0,1
2021-02-15,0.0,0.0,1
2021-02-16,14.0,14.0,1
2021-02-17,0.0,0.0,1
2021-02-18,40.0,40.0,1
2021-02-19,28.0,28.0,1
2021-02-20,16.0,16.0,1
2021-02-21,32.0,32.0,1
2021-02-22,25.0,25.0,1
2021-02-23,55.0,55.0,1
2021-02-24,55.0,55.0,1
2021-02-25,41.0,41.0,1
2021-02-26,14.0,14.0,1
2021-02-27,0.0,0.0,1
2021-02-28,15.0,15.0,1
2021-03-01,26.0,26.0,1
2021-03-02,27.0,27.0,1
2021-03-03,69.0,69.0,1
2021-03-04,13.0,13.0,1
2021-03-05,14.0,14.0,1
2021-03-06,15.0,15.0,1
2021-03-07,29.0,29.0,1
2021-03-08,80.0,80.0,1
2021-03-09,13.0,13.0,1
2021-03-10,27.0,27.0,1
2021-03-11,40.0,40.0,1
2021-03-12,27.0,27.0,1
2021-03-13,14.0,14.0,1
2021-03-14,14.0,14.0,1
2021-03-15,21.0,21.0,1
2021-03-16,0.0,0.0,1
2021-03-17,13.0,13.0,1
2021-03-18,0.0,0.0,1
2021-03-19,14.0,14.0,1
2021-03-20,31.0,31.0,1
2021-03-21,14.0,14.0,1
2021-03-22,26.0,26.0,1
2021-03-23,0.0,0.0,1
2021-03-24,13.0,13.0,1
2021-03-25,14.0,14.0,1
2021-03-26,0.0,0.0,1
2021-03-27,29.0,29.0,1
2021-03-28,16.0,16.0,1
2021-03-29,55.0,55.0,1
2021-03-30,86.0,86.0,1
2021-03-31,59.0,59.0,1
2021-04-01,56.0,56.0,1
2021-04-02,100.0,100.0,1
2021-04-03,31.0,31.0,1
2021-04-04,16.0,16.0,1
2021-04-05,0.0,0.0,1
2021-04-06,76.0,76.0,1
2021-04-07,26.0,26.0,1
2021-04-08,0.0,0.0,1
2021-04-09,69.0,69.0,1
2021-04-10,27.0,27.0,1
2021-04-11,14.0,14.0,1
2021-04-12,13.0,13.0,1
2021-04-13,0.0,0.0,1
2021-04-14,13.0,13.0,1
2021-04-15,0.0,0.0,1
2021-04-16,14.0,14.0,1
2021-04-17,46.0,46.0,1
2021-04-18,31.0,31.0,1
2021-04-19,13.0,13.0,1
2021-04-20,0.0,0.0,1
2021-04-21,54.0,54.0,1
2021-04-22,55.0,55.0,1
2021-04-23,43.0,43.0,1
2021-04-24,32.0,32.0,1
2021-04-25,0.0,0.0,1
2021-04-26,13.0,13.0,1
2021-04-27,27.0,27.0,1
2021-04-28,54.0,54.0,1
2021-04-29,52.0,52.0,1
2021-04-30,27.0,27.0,1
2021-05-01,15.0,15.0,1
2021-05-02,44.0,44.0,1
2021-05-03,13.0,13.0,1
2021-05-04,37.0,37.0,1
2021-05-05,13.0,13.0,1
2021-05-06,0.0,0.0,1
2021-05-07,14.0,14.0,1
2021-05-08,30.0,30.0,1
2021-05-09,32.0,32.0,1
2021-05-10,26.0,26.0,1
2021-05-11,38.0,38.0,1
2021-05-12,53.0,53.0,1
2021-05-13,42.0,42.0,1
2021-05-14,43.0,43.0,1
