date,/m/061s4
2020-02-01,0
2020-02-02,8
2020-02-03,0
2020-02-04,4
2020-02-05,4
2020-02-06,8
2020-02-07,4
2020-02-08,0
2020-02-09,4
2020-02-10,0
2020-02-11,4
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,4
2020-02-16,0
2020-02-17,0
2020-02-18,4
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,14
2020-02-23,29
2020-02-24,72
2020-02-25,56
2020-02-26,10
2020-02-27,9
2020-02-28,13
2020-02-29,6
2020-03-01,11
2020-03-02,9
2020-03-03,4
2020-03-04,4
2020-03-05,6
2020-03-06,7
2020-03-07,21
2020-03-08,7
2020-03-09,14
2020-03-10,12
2020-03-11,100
2020-03-12,98
2020-03-13,66
2020-03-14,52
2020-03-15,44
2020-03-16,47
2020-03-17,49
2020-03-18,28
2020-03-19,21
2020-03-20,23
2020-03-21,27
2020-03-22,26
2020-03-23,20
2020-03-24,25
2020-03-25,20
2020-03-26,22
2020-03-27,18
2020-03-28,23
2020-03-29,22
2020-03-30,9
2020-03-31,25
2020-04-01,24
2020-04-02,17
2020-04-03,12
2020-04-04,17
2020-04-05,12
2020-04-06,10
2020-04-07,11
2020-04-08,17
2020-04-09,10
2020-04-10,19
2020-04-11,24
2020-04-12,13
2020-04-13,16
2020-04-14,8
2020-04-15,16
2020-04-16,17
2020-04-17,3
2020-04-18,18
2020-04-19,3
2020-04-20,12
2020-04-21,6
2020-04-22,10
2020-04-23,16
2020-04-24,24
2020-04-25,11
2020-04-26,11
2020-04-27,10
2020-04-28,15
2020-04-29,8
2020-04-30,9
2020-05-01,9
2020-05-02,6
2020-05-03,10
2020-05-04,15
2020-05-05,14
2020-05-06,16
2020-05-07,8
2020-05-08,7
2020-05-09,15
2020-05-10,14
2020-05-11,10
2020-05-12,9
2020-05-13,9
2020-05-14,6
2020-05-15,10
2020-05-16,7
2020-05-17,10
2020-05-18,8
2020-05-19,7
2020-05-20,3
2020-05-21,6
2020-05-22,3
2020-05-23,7
2020-05-24,3
2020-05-25,10
2020-05-26,7
2020-05-27,3
2020-05-28,10
2020-05-29,7
2020-05-30,7
2020-05-31,4
