date,/m/09l8g
2020-02-01,49
2020-02-02,58
2020-02-03,48
2020-02-04,23
2020-02-05,36
2020-02-06,24
2020-02-07,58
2020-02-08,100
2020-02-09,30
2020-02-10,30
2020-02-11,46
2020-02-12,38
2020-02-13,71
2020-02-14,58
2020-02-15,84
2020-02-16,76
2020-02-17,30
2020-02-18,53
2020-02-19,84
2020-02-20,59
2020-02-21,50
2020-02-22,51
2020-02-23,48
2020-02-24,67
2020-02-25,45
2020-02-26,86
2020-02-27,33
2020-02-28,39
2020-02-29,36
2020-03-01,34
2020-03-02,29
2020-03-03,81
2020-03-04,45
2020-03-05,80
2020-03-06,69
2020-03-07,91
2020-03-08,54
2020-03-09,22
2020-03-10,51
2020-03-11,21
2020-03-12,21
2020-03-13,23
2020-03-14,0
2020-03-15,55
2020-03-16,51
2020-03-17,32
2020-03-18,36
2020-03-19,35
2020-03-20,54
2020-03-21,52
2020-03-22,57
2020-03-23,57
2020-03-24,55
2020-03-25,35
2020-03-26,34
2020-03-27,38
2020-03-28,77
2020-03-29,42
2020-03-30,29
2020-03-31,45
2020-04-01,46
2020-04-02,64
2020-04-03,39
2020-04-04,23
2020-04-05,60
2020-04-06,26
2020-04-07,27
2020-04-08,62
2020-04-09,21
2020-04-10,52
2020-04-11,69
2020-04-12,45
2020-04-13,73
2020-04-14,39
2020-04-15,54
2020-04-16,62
2020-04-17,41
2020-04-18,51
2020-04-19,42
2020-04-20,19
2020-04-21,54
2020-04-22,68
2020-04-23,53
2020-04-24,40
2020-04-25,59
2020-04-26,31
2020-04-27,20
2020-04-28,37
2020-04-29,25
2020-04-30,49
2020-05-01,32
2020-05-02,53
2020-05-03,42
2020-05-04,64
2020-05-05,24
2020-05-06,80
2020-05-07,35
2020-05-08,56
2020-05-09,38
2020-05-10,42
2020-05-11,83
2020-05-12,39
2020-05-13,65
2020-05-14,50
2020-05-15,35
2020-05-16,69
2020-05-17,39
2020-05-18,47
2020-05-19,27
2020-05-20,56
2020-05-21,69
2020-05-22,20
2020-05-23,56
2020-05-24,35
2020-05-25,65
2020-05-26,34
2020-05-27,71
2020-05-28,40
2020-05-29,21
2020-05-30,77
2020-05-31,55
