date,/m/02q08p0
2020-02-01,33
2020-02-02,56
2020-02-03,60
2020-02-04,37
2020-02-05,41
2020-02-06,68
2020-02-07,69
2020-02-08,40
2020-02-09,50
2020-02-10,50
2020-02-11,46
2020-02-12,63
2020-02-13,56
2020-02-14,65
2020-02-15,34
2020-02-16,18
2020-02-17,60
2020-02-18,42
2020-02-19,63
2020-02-20,53
2020-02-21,56
2020-02-22,50
2020-02-23,63
2020-02-24,39
2020-02-25,44
2020-02-26,54
2020-02-27,49
2020-02-28,55
2020-02-29,38
2020-03-01,54
2020-03-02,61
2020-03-03,36
2020-03-04,36
2020-03-05,36
2020-03-06,37
2020-03-07,46
2020-03-08,33
2020-03-09,55
2020-03-10,55
2020-03-11,57
2020-03-12,45
2020-03-13,37
2020-03-14,69
2020-03-15,41
2020-03-16,36
2020-03-17,47
2020-03-18,40
2020-03-19,51
2020-03-20,72
2020-03-21,53
2020-03-22,49
2020-03-23,57
2020-03-24,71
2020-03-25,72
2020-03-26,57
2020-03-27,50
2020-03-28,47
2020-03-29,54
2020-03-30,76
2020-03-31,73
2020-04-01,65
2020-04-02,64
2020-04-03,46
2020-04-04,51
2020-04-05,58
2020-04-06,71
2020-04-07,62
2020-04-08,89
2020-04-09,61
2020-04-10,53
2020-04-11,98
2020-04-12,60
2020-04-13,64
2020-04-14,49
2020-04-15,51
2020-04-16,60
2020-04-17,66
2020-04-18,74
2020-04-19,69
2020-04-20,69
2020-04-21,74
2020-04-22,46
2020-04-23,64
2020-04-24,66
2020-04-25,50
2020-04-26,78
2020-04-27,77
2020-04-28,71
2020-04-29,88
2020-04-30,53
2020-05-01,59
2020-05-02,66
2020-05-03,67
2020-05-04,84
2020-05-05,48
2020-05-06,61
2020-05-07,99
2020-05-08,67
2020-05-09,66
2020-05-10,96
2020-05-11,51
2020-05-12,59
2020-05-13,76
2020-05-14,71
2020-05-15,66
2020-05-16,79
2020-05-17,67
2020-05-18,92
2020-05-19,46
2020-05-20,61
2020-05-21,70
2020-05-22,100
2020-05-23,50
2020-05-24,64
2020-05-25,75
2020-05-26,56
2020-05-27,56
2020-05-28,56
2020-05-29,59
2020-05-30,67
2020-05-31,53
