date,/g/11csq8q1v0_0,/g/11csq8q1v0,batch_id
2021-02-01,14.0,14.0,1
2021-02-02,41.0,41.0,1
2021-02-03,0.0,0.0,1
2021-02-04,100.0,100.0,1
2021-02-05,71.0,71.0,1
2021-02-06,0.0,0.0,1
2021-02-07,0.0,0.0,1
2021-02-08,27.0,27.0,1
2021-02-09,28.0,28.0,1
2021-02-10,55.0,55.0,1
2021-02-11,56.0,56.0,1
2021-02-12,0.0,0.0,1
2021-02-13,0.0,0.0,1
2021-02-14,0.0,0.0,1
2021-02-15,14.0,14.0,1
2021-02-16,29.0,29.0,1
2021-02-17,14.0,14.0,1
2021-02-18,28.0,28.0,1
2021-02-19,45.0,45.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,13.0,13.0,1
2021-02-23,14.0,14.0,1
2021-02-24,14.0,14.0,1
2021-02-25,29.0,29.0,1
2021-02-26,14.0,14.0,1
2021-02-27,32.0,32.0,1
2021-02-28,0.0,0.0,1
2021-03-01,42.0,42.0,1
2021-03-02,14.0,14.0,1
2021-03-03,29.0,29.0,1
2021-03-04,0.0,0.0,1
2021-03-05,15.0,15.0,1
2021-03-06,16.0,16.0,1
2021-03-07,0.0,0.0,1
2021-03-08,42.0,42.0,1
2021-03-09,41.0,41.0,1
2021-03-10,42.0,42.0,1
2021-03-11,28.0,28.0,1
2021-03-12,29.0,29.0,1
2021-03-13,15.0,15.0,1
2021-03-14,0.0,0.0,1
2021-03-15,33.0,33.0,1
2021-03-16,48.0,48.0,1
2021-03-17,14.0,14.0,1
2021-03-18,0.0,0.0,1
2021-03-19,44.0,44.0,1
2021-03-20,16.0,16.0,1
2021-03-21,15.0,15.0,1
2021-03-22,56.0,56.0,1
2021-03-23,0.0,0.0,1
2021-03-24,14.0,14.0,1
2021-03-25,14.0,14.0,1
2021-03-26,29.0,29.0,1
2021-03-27,15.0,15.0,1
2021-03-28,0.0,0.0,1
2021-03-29,44.0,44.0,1
2021-03-30,30.0,30.0,1
2021-03-31,16.0,16.0,1
2021-04-01,30.0,30.0,1
2021-04-02,0.0,0.0,1
2021-04-03,16.0,16.0,1
2021-04-04,0.0,0.0,1
2021-04-05,15.0,15.0,1
2021-04-06,0.0,0.0,1
2021-04-07,0.0,0.0,1
2021-04-08,28.0,28.0,1
2021-04-09,44.0,44.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,41.0,41.0,1
2021-04-13,0.0,0.0,1
2021-04-14,28.0,28.0,1
2021-04-15,14.0,14.0,1
2021-04-16,30.0,30.0,1
2021-04-17,33.0,33.0,1
2021-04-18,0.0,0.0,1
2021-04-19,0.0,0.0,1
2021-04-20,42.0,42.0,1
2021-04-21,43.0,43.0,1
2021-04-22,15.0,15.0,1
2021-04-23,15.0,15.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,28.0,28.0,1
2021-04-27,29.0,29.0,1
2021-04-28,0.0,0.0,1
2021-04-29,28.0,28.0,1
2021-04-30,28.0,28.0,1
2021-05-01,0.0,0.0,1
2021-05-02,0.0,0.0,1
2021-05-03,14.0,14.0,1
2021-05-04,26.0,26.0,1
2021-05-05,40.0,40.0,1
2021-05-06,69.0,69.0,1
2021-05-07,71.0,71.0,1
2021-05-08,0.0,0.0,1
2021-05-09,17.0,17.0,1
2021-05-10,28.0,28.0,1
2021-05-11,27.0,27.0,1
2021-05-12,14.0,14.0,1
2021-05-13,30.0,30.0,1
2021-05-14,30.0,30.0,1
