date,/m/06nm1
2020-02-01,42
2020-02-02,66
2020-02-03,48
2020-02-04,56
2020-02-05,52
2020-02-06,56
2020-02-07,63
2020-02-08,45
2020-02-09,48
2020-02-10,42
2020-02-11,49
2020-02-12,33
2020-02-13,39
2020-02-14,51
2020-02-15,56
2020-02-16,51
2020-02-17,74
2020-02-18,52
2020-02-19,52
2020-02-20,62
2020-02-21,49
2020-02-22,26
2020-02-23,65
2020-02-24,30
2020-02-25,45
2020-02-26,68
2020-02-27,48
2020-02-28,78
2020-02-29,41
2020-03-01,74
2020-03-02,73
2020-03-03,45
2020-03-04,62
2020-03-05,43
2020-03-06,41
2020-03-07,58
2020-03-08,53
2020-03-09,60
2020-03-10,74
2020-03-11,71
2020-03-12,56
2020-03-13,66
2020-03-14,80
2020-03-15,92
2020-03-16,46
2020-03-17,83
2020-03-18,45
2020-03-19,60
2020-03-20,84
2020-03-21,68
2020-03-22,75
2020-03-23,51
2020-03-24,77
2020-03-25,70
2020-03-26,84
2020-03-27,100
2020-03-28,81
2020-03-29,91
2020-03-30,60
2020-03-31,52
2020-04-01,62
2020-04-02,65
2020-04-03,77
2020-04-04,55
2020-04-05,58
2020-04-06,52
2020-04-07,81
2020-04-08,59
2020-04-09,44
2020-04-10,64
2020-04-11,95
2020-04-12,62
2020-04-13,33
2020-04-14,53
2020-04-15,49
2020-04-16,70
2020-04-17,56
2020-04-18,71
2020-04-19,54
2020-04-20,63
2020-04-21,55
2020-04-22,63
2020-04-23,50
2020-04-24,42
2020-04-25,52
2020-04-26,64
2020-04-27,70
2020-04-28,52
2020-04-29,62
2020-04-30,73
2020-05-01,71
2020-05-02,53
2020-05-03,47
2020-05-04,50
2020-05-05,60
2020-05-06,65
2020-05-07,63
2020-05-08,81
2020-05-09,62
2020-05-10,56
2020-05-11,80
2020-05-12,57
2020-05-13,54
2020-05-14,48
2020-05-15,68
2020-05-16,58
2020-05-17,78
2020-05-18,62
2020-05-19,36
2020-05-20,46
2020-05-21,36
2020-05-22,52
2020-05-23,48
2020-05-24,48
2020-05-25,47
2020-05-26,58
2020-05-27,42
2020-05-28,36
2020-05-29,44
2020-05-30,53
2020-05-31,52
