date,/m/0k335
2020-02-01,42
2020-02-02,48
2020-02-03,28
2020-02-04,40
2020-02-05,32
2020-02-06,50
2020-02-07,26
2020-02-08,51
2020-02-09,23
2020-02-10,68
2020-02-11,24
2020-02-12,35
2020-02-13,48
2020-02-14,42
2020-02-15,52
2020-02-16,24
2020-02-17,35
2020-02-18,47
2020-02-19,0
2020-02-20,24
2020-02-21,51
2020-02-22,60
2020-02-23,37
2020-02-24,31
2020-02-25,0
2020-02-26,55
2020-02-27,33
2020-02-28,24
2020-02-29,73
2020-03-01,55
2020-03-02,90
2020-03-03,70
2020-03-04,35
2020-03-05,31
2020-03-06,71
2020-03-07,26
2020-03-08,59
2020-03-09,68
2020-03-10,45
2020-03-11,44
2020-03-12,44
2020-03-13,64
2020-03-14,37
2020-03-15,49
2020-03-16,21
2020-03-17,32
2020-03-18,22
2020-03-19,76
2020-03-20,21
2020-03-21,23
2020-03-22,0
2020-03-23,39
2020-03-24,31
2020-03-25,21
2020-03-26,42
2020-03-27,20
2020-03-28,46
2020-03-29,44
2020-03-30,39
2020-03-31,59
2020-04-01,20
2020-04-02,40
2020-04-03,27
2020-04-04,82
2020-04-05,99
2020-04-06,27
2020-04-07,94
2020-04-08,32
2020-04-09,100
2020-04-10,65
2020-04-11,87
2020-04-12,35
2020-04-13,41
2020-04-14,40
2020-04-15,49
2020-04-16,42
2020-04-17,28
2020-04-18,42
2020-04-19,42
2020-04-20,53
2020-04-21,34
2020-04-22,74
2020-04-23,48
2020-04-24,41
2020-04-25,84
2020-04-26,36
2020-04-27,76
2020-04-28,67
2020-04-29,39
2020-04-30,44
2020-05-01,26
2020-05-02,55
2020-05-03,76
2020-05-04,62
2020-05-05,74
2020-05-06,54
2020-05-07,28
2020-05-08,65
2020-05-09,85
2020-05-10,44
2020-05-11,38
2020-05-12,20
2020-05-13,20
2020-05-14,61
2020-05-15,28
2020-05-16,71
2020-05-17,41
2020-05-18,97
2020-05-19,56
2020-05-20,43
2020-05-21,39
2020-05-22,30
2020-05-23,75
2020-05-24,57
2020-05-25,27
2020-05-26,52
2020-05-27,41
2020-05-28,62
2020-05-29,76
2020-05-30,47
2020-05-31,96
