date,/m/01fhyk
2020-02-01,0
2020-02-02,0
2020-02-03,58
2020-02-04,33
2020-02-05,33
2020-02-06,34
2020-02-07,36
2020-02-08,35
2020-02-09,31
2020-02-10,31
2020-02-11,33
2020-02-12,32
2020-02-13,0
2020-02-14,34
2020-02-15,72
2020-02-16,32
2020-02-17,96
2020-02-18,42
2020-02-19,32
2020-02-20,100
2020-02-21,35
2020-02-22,0
2020-02-23,34
2020-02-24,32
2020-02-25,32
2020-02-26,31
2020-02-27,61
2020-02-28,67
2020-02-29,67
2020-03-01,32
2020-03-02,41
2020-03-03,32
2020-03-04,32
2020-03-05,0
2020-03-06,32
2020-03-07,35
2020-03-08,0
2020-03-09,31
2020-03-10,62
2020-03-11,62
2020-03-12,50
2020-03-13,49
2020-03-14,66
2020-03-15,34
2020-03-16,44
2020-03-17,60
2020-03-18,60
2020-03-19,60
2020-03-20,85
2020-03-21,32
2020-03-22,32
2020-03-23,27
2020-03-24,29
2020-03-25,30
2020-03-26,39
2020-03-27,27
2020-03-28,47
2020-03-29,44
2020-03-30,27
2020-03-31,27
2020-04-01,42
2020-04-02,27
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,28
2020-04-07,29
2020-04-08,0
2020-04-09,0
2020-04-10,30
2020-04-11,49
2020-04-12,0
2020-04-13,28
2020-04-14,41
2020-04-15,29
2020-04-16,29
2020-04-17,59
2020-04-18,0
2020-04-19,89
2020-04-20,27
2020-04-21,56
2020-04-22,0
2020-04-23,28
2020-04-24,0
2020-04-25,31
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,26
2020-05-01,27
2020-05-02,28
2020-05-03,30
2020-05-04,25
2020-05-05,26
2020-05-06,56
2020-05-07,0
2020-05-08,29
2020-05-09,64
2020-05-10,61
2020-05-11,52
2020-05-12,56
2020-05-13,28
2020-05-14,28
2020-05-15,29
2020-05-16,0
2020-05-17,0
2020-05-18,28
2020-05-19,29
2020-05-20,0
2020-05-21,32
2020-05-22,28
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,29
2020-05-27,29
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,33
2020-06-01,30
2020-06-02,36
2020-06-03,50
2020-06-04,0
2020-06-05,24
2020-06-06,0
2020-06-07,29
2020-06-08,49
2020-06-09,0
2020-06-10,27
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,31
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,56
2020-06-19,0
2020-06-20,68
2020-06-21,0
2020-06-22,0
2020-06-23,30
2020-06-24,0
2020-06-25,0
2020-06-26,0
2020-06-27,0
2020-06-28,30
2020-06-29,28
2020-06-30,28
2020-07-01,28
2020-07-02,0
2020-07-03,0
2020-07-04,34
2020-07-05,0
2020-07-06,0
2020-07-07,30
2020-07-08,58
2020-07-09,0
2020-07-10,32
2020-07-11,0
2020-07-12,37
2020-07-13,0
2020-07-14,30
2020-07-15,0
2020-07-16,60
2020-07-17,33
2020-07-18,78
2020-07-19,0
2020-07-20,0
2020-07-21,36
2020-07-22,0
2020-07-23,0
2020-07-24,0
2020-07-25,0
2020-07-26,34
2020-07-27,31
2020-07-28,0
2020-07-29,0
2020-07-30,33
2020-07-31,0
2020-08-01,0
2020-08-02,33
2020-08-03,29
2020-08-04,0
2020-08-05,31
2020-08-06,47
2020-08-07,33
2020-08-08,35
2020-08-09,33
2020-08-10,30
2020-08-11,29
2020-08-12,0
2020-08-13,59
2020-08-14,29
2020-08-15,31
2020-08-16,47
2020-08-17,57
2020-08-18,29
2020-08-19,0
2020-08-20,61
2020-08-21,30
2020-08-22,0
2020-08-23,0
2020-08-24,28
2020-08-25,29
2020-08-26,0
2020-08-27,0
2020-08-28,46
2020-08-29,66
2020-08-30,0
2020-08-31,0
2020-09-01,0
2020-09-02,0
2020-09-03,0
2020-09-04,31
2020-09-05,0
2020-09-06,0
2020-09-07,31
2020-09-08,30
2020-09-09,0
2020-09-10,32
2020-09-11,0
2020-09-12,35
2020-09-13,0
2020-09-14,31
2020-09-15,31
2020-09-16,0
2020-09-17,31
2020-09-18,32
2020-09-19,34
2020-09-20,66
2020-09-21,30
2020-09-22,31
2020-09-23,29
2020-09-24,0
2020-09-25,32
2020-09-26,32
2020-09-27,0
2020-09-28,30
2020-09-29,31
