date,/m/0dq9p
2020-02-01,32
2020-02-02,46
2020-02-03,24
2020-02-04,37
2020-02-05,37
2020-02-06,38
2020-02-07,29
2020-02-08,20
2020-02-09,17
2020-02-10,18
2020-02-11,18
2020-02-12,18
2020-02-13,37
2020-02-14,58
2020-02-15,40
2020-02-16,27
2020-02-17,42
2020-02-18,45
2020-02-19,36
2020-02-20,19
2020-02-21,29
2020-02-22,33
2020-02-23,38
2020-02-24,24
2020-02-25,53
2020-02-26,22
2020-02-27,34
2020-02-28,27
2020-02-29,29
2020-03-01,84
2020-03-02,46
2020-03-03,66
2020-03-04,36
2020-03-05,45
2020-03-06,54
2020-03-07,39
2020-03-08,63
2020-03-09,35
2020-03-10,58
2020-03-11,34
2020-03-12,61
2020-03-13,98
2020-03-14,56
2020-03-15,68
2020-03-16,76
2020-03-17,44
2020-03-18,62
2020-03-19,50
2020-03-20,100
2020-03-21,44
2020-03-22,60
2020-03-23,59
2020-03-24,21
2020-03-25,49
2020-03-26,59
2020-03-27,45
2020-03-28,17
2020-03-29,28
2020-03-30,30
2020-03-31,35
2020-04-01,41
2020-04-02,23
2020-04-03,41
2020-04-04,18
2020-04-05,19
2020-04-06,23
2020-04-07,32
2020-04-08,22
2020-04-09,33
2020-04-10,50
2020-04-11,18
2020-04-12,35
2020-04-13,31
2020-04-14,15
2020-04-15,24
2020-04-16,0
2020-04-17,0
2020-04-18,24
2020-04-19,16
2020-04-20,30
2020-04-21,16
2020-04-22,16
2020-04-23,16
2020-04-24,21
2020-04-25,0
2020-04-26,18
2020-04-27,16
2020-04-28,15
2020-04-29,0
2020-04-30,14
2020-05-01,31
2020-05-02,31
2020-05-03,25
2020-05-04,42
2020-05-05,28
2020-05-06,15
2020-05-07,24
2020-05-08,17
2020-05-09,27
2020-05-10,17
2020-05-11,29
2020-05-12,15
2020-05-13,15
2020-05-14,16
2020-05-15,16
2020-05-16,0
2020-05-17,19
2020-05-18,16
2020-05-19,0
2020-05-20,16
2020-05-21,36
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,15
2020-05-26,16
2020-05-27,16
2020-05-28,16
2020-05-29,0
2020-05-30,18
2020-05-31,19
