date,/g/11bc6q_lhk_0,/g/11bc6q_lhk,batch_id
2021-02-01,19.0,19.0,1
2021-02-02,38.0,38.0,1
2021-02-03,0.0,0.0,1
2021-02-04,39.0,39.0,1
2021-02-05,0.0,0.0,1
2021-02-06,21.0,21.0,1
2021-02-07,21.0,21.0,1
2021-02-08,38.0,38.0,1
2021-02-09,19.0,19.0,1
2021-02-10,19.0,19.0,1
2021-02-11,19.0,19.0,1
2021-02-12,20.0,20.0,1
2021-02-13,44.0,44.0,1
2021-02-14,22.0,22.0,1
2021-02-15,75.0,75.0,1
2021-02-16,79.0,79.0,1
2021-02-17,58.0,58.0,1
2021-02-18,19.0,19.0,1
2021-02-19,20.0,20.0,1
2021-02-20,47.0,47.0,1
2021-02-21,0.0,0.0,1
2021-02-22,0.0,0.0,1
2021-02-23,0.0,0.0,1
2021-02-24,0.0,0.0,1
2021-02-25,79.0,79.0,1
2021-02-26,20.0,20.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,38.0,38.0,1
2021-03-02,20.0,20.0,1
2021-03-03,40.0,40.0,1
2021-03-04,19.0,19.0,1
2021-03-05,60.0,60.0,1
2021-03-06,22.0,22.0,1
2021-03-07,0.0,0.0,1
2021-03-08,19.0,19.0,1
2021-03-09,57.0,57.0,1
2021-03-10,77.0,77.0,1
2021-03-11,19.0,19.0,1
2021-03-12,39.0,39.0,1
2021-03-13,21.0,21.0,1
2021-03-14,61.0,61.0,1
2021-03-15,45.0,45.0,1
2021-03-16,50.0,50.0,1
2021-03-17,38.0,38.0,1
2021-03-18,39.0,39.0,1
2021-03-19,61.0,61.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,19.0,19.0,1
2021-03-23,38.0,38.0,1
2021-03-24,38.0,38.0,1
2021-03-25,39.0,39.0,1
2021-03-26,41.0,41.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,0.0,0.0,1
2021-03-30,42.0,42.0,1
2021-03-31,0.0,0.0,1
2021-04-01,41.0,41.0,1
2021-04-02,41.0,41.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,0.0,0.0,1
2021-04-06,18.0,18.0,1
2021-04-07,57.0,57.0,1
2021-04-08,78.0,78.0,1
2021-04-09,20.0,20.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,56.0,56.0,1
2021-04-13,40.0,40.0,1
2021-04-14,58.0,58.0,1
2021-04-15,59.0,59.0,1
2021-04-16,41.0,41.0,1
2021-04-17,45.0,45.0,1
2021-04-18,22.0,22.0,1
2021-04-19,38.0,38.0,1
2021-04-20,78.0,78.0,1
2021-04-21,79.0,79.0,1
2021-04-22,100.0,100.0,1
2021-04-23,42.0,42.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,19.0,19.0,1
2021-04-27,60.0,60.0,1
2021-04-28,39.0,39.0,1
2021-04-29,38.0,38.0,1
2021-04-30,19.0,19.0,1
2021-05-01,21.0,21.0,1
2021-05-02,0.0,0.0,1
2021-05-03,56.0,56.0,1
2021-05-04,18.0,18.0,1
2021-05-05,18.0,18.0,1
2021-05-06,76.0,76.0,1
2021-05-07,39.0,39.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,38.0,38.0,1
2021-05-11,93.0,93.0,1
2021-05-12,39.0,39.0,1
2021-05-13,61.0,61.0,1
2021-05-14,83.0,83.0,1
