date,/m/01195hyq
2020-02-01,33
2020-02-02,23
2020-02-03,0
2020-02-04,15
2020-02-05,0
2020-02-06,0
2020-02-07,17
2020-02-08,17
2020-02-09,14
2020-02-10,59
2020-02-11,0
2020-02-12,15
2020-02-13,16
2020-02-14,0
2020-02-15,17
2020-02-16,15
2020-02-17,23
2020-02-18,15
2020-02-19,0
2020-02-20,16
2020-02-21,16
2020-02-22,0
2020-02-23,16
2020-02-24,15
2020-02-25,44
2020-02-26,21
2020-02-27,28
2020-02-28,31
2020-02-29,32
2020-03-01,30
2020-03-02,14
2020-03-03,67
2020-03-04,37
2020-03-05,37
2020-03-06,30
2020-03-07,17
2020-03-08,30
2020-03-09,15
2020-03-10,29
2020-03-11,21
2020-03-12,63
2020-03-13,100
2020-03-14,94
2020-03-15,70
2020-03-16,55
2020-03-17,69
2020-03-18,49
2020-03-19,14
2020-03-20,20
2020-03-21,59
2020-03-22,23
2020-03-23,75
2020-03-24,54
2020-03-25,62
2020-03-26,54
2020-03-27,38
2020-03-28,66
2020-03-29,42
2020-03-30,19
2020-03-31,19
2020-04-01,26
2020-04-02,57
2020-04-03,38
2020-04-04,38
2020-04-05,32
2020-04-06,59
2020-04-07,40
2020-04-08,14
2020-04-09,69
2020-04-10,21
2020-04-11,31
2020-04-12,30
2020-04-13,26
2020-04-14,38
2020-04-15,27
2020-04-16,27
2020-04-17,14
2020-04-18,27
2020-04-19,41
2020-04-20,19
2020-04-21,26
2020-04-22,27
2020-04-23,13
2020-04-24,46
2020-04-25,15
2020-04-26,39
2020-04-27,41
2020-04-28,24
2020-04-29,13
2020-04-30,24
2020-05-01,13
2020-05-02,13
2020-05-03,14
2020-05-04,36
2020-05-05,36
2020-05-06,0
2020-05-07,27
2020-05-08,28
2020-05-09,30
2020-05-10,14
2020-05-11,36
2020-05-12,51
2020-05-13,13
2020-05-14,20
2020-05-15,21
2020-05-16,0
2020-05-17,16
2020-05-18,13
2020-05-19,13
2020-05-20,14
2020-05-21,15
2020-05-22,13
2020-05-23,14
2020-05-24,14
2020-05-25,0
2020-05-26,0
2020-05-27,13
2020-05-28,40
2020-05-29,14
2020-05-30,0
2020-05-31,23
