date,/m/02h661t
2020-02-01,19
2020-02-02,24
2020-02-03,67
2020-02-04,68
2020-02-05,89
2020-02-06,52
2020-02-07,62
2020-02-08,34
2020-02-09,28
2020-02-10,88
2020-02-11,70
2020-02-12,72
2020-02-13,87
2020-02-14,63
2020-02-15,41
2020-02-16,18
2020-02-17,78
2020-02-18,70
2020-02-19,90
2020-02-20,46
2020-02-21,63
2020-02-22,22
2020-02-23,29
2020-02-24,69
2020-02-25,71
2020-02-26,62
2020-02-27,65
2020-02-28,48
2020-02-29,39
2020-03-01,12
2020-03-02,86
2020-03-03,55
2020-03-04,52
2020-03-05,64
2020-03-06,51
2020-03-07,43
2020-03-08,25
2020-03-09,81
2020-03-10,75
2020-03-11,65
2020-03-12,58
2020-03-13,54
2020-03-14,24
2020-03-15,38
2020-03-16,78
2020-03-17,63
2020-03-18,42
2020-03-19,29
2020-03-20,38
2020-03-21,29
2020-03-22,20
2020-03-23,48
2020-03-24,19
2020-03-25,39
2020-03-26,21
2020-03-27,26
2020-03-28,11
2020-03-29,24
2020-03-30,31
2020-03-31,36
2020-04-01,20
2020-04-02,33
2020-04-03,27
2020-04-04,21
2020-04-05,25
2020-04-06,54
2020-04-07,23
2020-04-08,47
2020-04-09,36
2020-04-10,38
2020-04-11,18
2020-04-12,12
2020-04-13,21
2020-04-14,53
2020-04-15,38
2020-04-16,43
2020-04-17,32
2020-04-18,33
2020-04-19,30
2020-04-20,41
2020-04-21,37
2020-04-22,41
2020-04-23,17
2020-04-24,27
2020-04-25,29
2020-04-26,24
2020-04-27,55
2020-04-28,43
2020-04-29,26
2020-04-30,48
2020-05-01,25
2020-05-02,29
2020-05-03,45
2020-05-04,84
2020-05-05,59
2020-05-06,55
2020-05-07,41
2020-05-08,43
2020-05-09,41
2020-05-10,29
2020-05-11,69
2020-05-12,63
2020-05-13,74
2020-05-14,68
2020-05-15,64
2020-05-16,22
2020-05-17,39
2020-05-18,92
2020-05-19,58
2020-05-20,50
2020-05-21,22
2020-05-22,34
2020-05-23,30
2020-05-24,32
2020-05-25,100
2020-05-26,61
2020-05-27,69
2020-05-28,71
2020-05-29,58
2020-05-30,44
2020-05-31,22
