date,/g/120jqwgb_0,/g/120jqwgb,batch_id
2021-02-01,20.0,20.0,1
2021-02-02,79.0,79.0,1
2021-02-03,20.0,20.0,1
2021-02-04,21.0,21.0,1
2021-02-05,0.0,0.0,1
2021-02-06,22.0,22.0,1
2021-02-07,0.0,0.0,1
2021-02-08,20.0,20.0,1
2021-02-09,81.0,81.0,1
2021-02-10,40.0,40.0,1
2021-02-11,82.0,82.0,1
2021-02-12,21.0,21.0,1
2021-02-13,46.0,46.0,1
2021-02-14,23.0,23.0,1
2021-02-15,20.0,20.0,1
2021-02-16,21.0,21.0,1
2021-02-17,0.0,0.0,1
2021-02-18,61.0,61.0,1
2021-02-19,0.0,0.0,1
2021-02-20,49.0,49.0,1
2021-02-21,0.0,0.0,1
2021-02-22,0.0,0.0,1
2021-02-23,84.0,84.0,1
2021-02-24,0.0,0.0,1
2021-02-25,63.0,63.0,1
2021-02-26,21.0,21.0,1
2021-02-27,70.0,70.0,1
2021-02-28,23.0,23.0,1
2021-03-01,0.0,0.0,1
2021-03-02,42.0,42.0,1
2021-03-03,0.0,0.0,1
2021-03-04,20.0,20.0,1
2021-03-05,64.0,64.0,1
2021-03-06,0.0,0.0,1
2021-03-07,0.0,0.0,1
2021-03-08,20.0,20.0,1
2021-03-09,60.0,60.0,1
2021-03-10,20.0,20.0,1
2021-03-11,41.0,41.0,1
2021-03-12,63.0,63.0,1
2021-03-13,0.0,0.0,1
2021-03-14,86.0,86.0,1
2021-03-15,47.0,47.0,1
2021-03-16,52.0,52.0,1
2021-03-17,20.0,20.0,1
2021-03-18,82.0,82.0,1
2021-03-19,0.0,0.0,1
2021-03-20,24.0,24.0,1
2021-03-21,67.0,67.0,1
2021-03-22,0.0,0.0,1
2021-03-23,81.0,81.0,1
2021-03-24,20.0,20.0,1
2021-03-25,84.0,84.0,1
2021-03-26,0.0,0.0,1
2021-03-27,90.0,90.0,1
2021-03-28,0.0,0.0,1
2021-03-29,21.0,21.0,1
2021-03-30,44.0,44.0,1
2021-03-31,0.0,0.0,1
2021-04-01,22.0,22.0,1
2021-04-02,44.0,44.0,1
2021-04-03,0.0,0.0,1
2021-04-04,24.0,24.0,1
2021-04-05,63.0,63.0,1
2021-04-06,78.0,78.0,1
2021-04-07,100.0,100.0,1
2021-04-08,41.0,41.0,1
2021-04-09,0.0,0.0,1
2021-04-10,21.0,21.0,1
2021-04-11,0.0,0.0,1
2021-04-12,0.0,0.0,1
2021-04-13,21.0,21.0,1
2021-04-14,82.0,82.0,1
2021-04-15,21.0,21.0,1
2021-04-16,0.0,0.0,1
2021-04-17,47.0,47.0,1
2021-04-18,0.0,0.0,1
2021-04-19,20.0,20.0,1
2021-04-20,21.0,21.0,1
2021-04-21,21.0,21.0,1
2021-04-22,63.0,63.0,1
2021-04-23,22.0,22.0,1
2021-04-24,24.0,24.0,1
2021-04-25,47.0,47.0,1
2021-04-26,41.0,41.0,1
2021-04-27,21.0,21.0,1
2021-04-28,0.0,0.0,1
2021-04-29,20.0,20.0,1
2021-04-30,20.0,20.0,1
2021-05-01,23.0,23.0,1
2021-05-02,45.0,45.0,1
2021-05-03,79.0,79.0,1
2021-05-04,19.0,19.0,1
2021-05-05,78.0,78.0,1
2021-05-06,20.0,20.0,1
2021-05-07,0.0,0.0,1
2021-05-08,0.0,0.0,1
2021-05-09,49.0,49.0,1
2021-05-10,40.0,40.0,1
2021-05-11,39.0,39.0,1
2021-05-12,20.0,20.0,1
2021-05-13,0.0,0.0,1
2021-05-14,22.0,22.0,1
