date,/m/0d9cbr_0,/m/0d9cbr,batch_id
2021-02-01,18.0,18.0,1
2021-02-02,36.0,36.0,1
2021-02-03,0.0,0.0,1
2021-02-04,19.0,19.0,1
2021-02-05,37.0,37.0,1
2021-02-06,98.0,98.0,1
2021-02-07,20.0,20.0,1
2021-02-08,18.0,18.0,1
2021-02-09,37.0,37.0,1
2021-02-10,18.0,18.0,1
2021-02-11,0.0,0.0,1
2021-02-12,19.0,19.0,1
2021-02-13,42.0,42.0,1
2021-02-14,42.0,42.0,1
2021-02-15,36.0,36.0,1
2021-02-16,38.0,38.0,1
2021-02-17,37.0,37.0,1
2021-02-18,18.0,18.0,1
2021-02-19,39.0,39.0,1
2021-02-20,0.0,0.0,1
2021-02-21,22.0,22.0,1
2021-02-22,0.0,0.0,1
2021-02-23,0.0,0.0,1
2021-02-24,38.0,38.0,1
2021-02-25,19.0,19.0,1
2021-02-26,19.0,19.0,1
2021-02-27,42.0,42.0,1
2021-02-28,0.0,0.0,1
2021-03-01,37.0,37.0,1
2021-03-02,56.0,56.0,1
2021-03-03,57.0,57.0,1
2021-03-04,72.0,72.0,1
2021-03-05,96.0,96.0,1
2021-03-06,42.0,42.0,1
2021-03-07,41.0,41.0,1
2021-03-08,37.0,37.0,1
2021-03-09,18.0,18.0,1
2021-03-10,73.0,73.0,1
2021-03-11,18.0,18.0,1
2021-03-12,19.0,19.0,1
2021-03-13,39.0,39.0,1
2021-03-14,39.0,39.0,1
2021-03-15,100.0,100.0,1
2021-03-16,16.0,16.0,1
2021-03-17,36.0,36.0,1
2021-03-18,74.0,74.0,1
2021-03-19,39.0,39.0,1
2021-03-20,43.0,43.0,1
2021-03-21,40.0,40.0,1
2021-03-22,18.0,18.0,1
2021-03-23,36.0,36.0,1
2021-03-24,18.0,18.0,1
2021-03-25,0.0,0.0,1
2021-03-26,19.0,19.0,1
2021-03-27,20.0,20.0,1
2021-03-28,22.0,22.0,1
2021-03-29,19.0,19.0,1
2021-03-30,60.0,60.0,1
2021-03-31,41.0,41.0,1
2021-04-01,19.0,19.0,1
2021-04-02,59.0,59.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,0.0,0.0,1
2021-04-06,0.0,0.0,1
2021-04-07,54.0,54.0,1
2021-04-08,37.0,37.0,1
2021-04-09,0.0,0.0,1
2021-04-10,19.0,19.0,1
2021-04-11,0.0,0.0,1
2021-04-12,18.0,18.0,1
2021-04-13,38.0,38.0,1
2021-04-14,18.0,18.0,1
2021-04-15,19.0,19.0,1
2021-04-16,39.0,39.0,1
2021-04-17,0.0,0.0,1
2021-04-18,64.0,64.0,1
2021-04-19,90.0,90.0,1
2021-04-20,56.0,56.0,1
2021-04-21,19.0,19.0,1
2021-04-22,19.0,19.0,1
2021-04-23,40.0,40.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,55.0,55.0,1
2021-04-27,38.0,38.0,1
2021-04-28,0.0,0.0,1
2021-04-29,0.0,0.0,1
2021-04-30,18.0,18.0,1
2021-05-01,20.0,20.0,1
2021-05-02,40.0,40.0,1
2021-05-03,36.0,36.0,1
2021-05-04,68.0,68.0,1
2021-05-05,0.0,0.0,1
2021-05-06,54.0,54.0,1
2021-05-07,19.0,19.0,1
2021-05-08,41.0,41.0,1
2021-05-09,0.0,0.0,1
2021-05-10,90.0,90.0,1
2021-05-11,18.0,18.0,1
2021-05-12,18.0,18.0,1
2021-05-13,19.0,19.0,1
2021-05-14,0.0,0.0,1
