date,/m/0dzd8
2020-02-01,63
2020-02-02,47
2020-02-03,32
2020-02-04,44
2020-02-05,36
2020-02-06,100
2020-02-07,38
2020-02-08,38
2020-02-09,39
2020-02-10,45
2020-02-11,36
2020-02-12,70
2020-02-13,30
2020-02-14,47
2020-02-15,29
2020-02-16,53
2020-02-17,40
2020-02-18,44
2020-02-19,17
2020-02-20,36
2020-02-21,38
2020-02-22,32
2020-02-23,54
2020-02-24,40
2020-02-25,46
2020-02-26,44
2020-02-27,50
2020-02-28,0
2020-02-29,37
2020-03-01,41
2020-03-02,22
2020-03-03,26
2020-03-04,26
2020-03-05,35
2020-03-06,47
2020-03-07,44
2020-03-08,53
2020-03-09,34
2020-03-10,42
2020-03-11,44
2020-03-12,38
2020-03-13,59
2020-03-14,30
2020-03-15,42
2020-03-16,37
2020-03-17,32
2020-03-18,16
2020-03-19,38
2020-03-20,56
2020-03-21,28
2020-03-22,44
2020-03-23,43
2020-03-24,37
2020-03-25,21
2020-03-26,47
2020-03-27,44
2020-03-28,39
2020-03-29,16
2020-03-30,44
2020-03-31,39
2020-04-01,38
2020-04-02,29
2020-04-03,30
2020-04-04,41
2020-04-05,50
2020-04-06,35
2020-04-07,41
2020-04-08,47
2020-04-09,32
2020-04-10,59
2020-04-11,47
2020-04-12,41
2020-04-13,35
2020-04-14,65
2020-04-15,62
2020-04-16,42
2020-04-17,40
2020-04-18,31
2020-04-19,68
2020-04-20,49
2020-04-21,41
2020-04-22,16
2020-04-23,61
2020-04-24,46
2020-04-25,85
2020-04-26,54
2020-04-27,39
2020-04-28,38
2020-04-29,34
2020-04-30,41
2020-05-01,35
2020-05-02,71
2020-05-03,43
2020-05-04,46
2020-05-05,41
2020-05-06,66
2020-05-07,58
2020-05-08,59
2020-05-09,23
2020-05-10,32
2020-05-11,66
2020-05-12,30
2020-05-13,50
2020-05-14,15
2020-05-15,48
2020-05-16,53
2020-05-17,24
2020-05-18,47
2020-05-19,39
2020-05-20,64
2020-05-21,26
2020-05-22,40
2020-05-23,32
2020-05-24,32
2020-05-25,52
2020-05-26,63
2020-05-27,26
2020-05-28,41
2020-05-29,75
2020-05-30,24
2020-05-31,18
2020-06-01,38
2020-06-02,37
2020-06-03,32
2020-06-04,22
2020-06-05,31
2020-06-06,26
2020-06-07,32
2020-06-08,40
2020-06-09,41
2020-06-10,29
2020-06-11,45
2020-06-12,41
2020-06-13,41
2020-06-14,17
2020-06-15,29
2020-06-16,29
2020-06-17,43
2020-06-18,20
2020-06-19,80
2020-06-20,61
2020-06-21,53
2020-06-22,38
2020-06-23,49
2020-06-24,33
2020-06-25,42
2020-06-26,33
2020-06-27,44
2020-06-28,54
2020-06-29,53
2020-06-30,26
2020-07-01,30
2020-07-02,26
2020-07-03,39
2020-07-04,36
2020-07-05,56
2020-07-06,63
2020-07-07,66
2020-07-08,63
2020-07-09,40
2020-07-10,52
2020-07-11,47
2020-07-12,0
2020-07-13,57
2020-07-14,33
2020-07-15,44
2020-07-16,33
2020-07-17,73
2020-07-18,49
2020-07-19,61
2020-07-20,35
2020-07-21,39
2020-07-22,24
2020-07-23,27
2020-07-24,24
2020-07-25,45
2020-07-26,18
2020-07-27,17
2020-07-28,25
2020-07-29,17
2020-07-30,54
2020-07-31,18
2020-08-01,18
2020-08-02,29
2020-08-03,32
2020-08-04,57
2020-08-05,56
2020-08-06,63
2020-08-07,41
2020-08-08,37
2020-08-09,36
2020-08-10,32
2020-08-11,37
2020-08-12,23
2020-08-13,37
2020-08-14,38
2020-08-15,39
2020-08-16,34
2020-08-17,52
2020-08-18,47
2020-08-19,32
2020-08-20,32
2020-08-21,25
2020-08-22,45
2020-08-23,38
2020-08-24,62
2020-08-25,37
2020-08-26,24
2020-08-27,45
2020-08-28,55
2020-08-29,36
2020-08-30,45
2020-08-31,31
2020-09-01,38
2020-09-02,17
2020-09-03,22
2020-09-04,40
2020-09-05,35
2020-09-06,55
2020-09-07,34
2020-09-08,49
2020-09-09,49
2020-09-10,46
2020-09-11,36
2020-09-12,57
2020-09-13,75
2020-09-14,25
2020-09-15,34
2020-09-16,27
2020-09-17,42
2020-09-18,29
2020-09-19,37
2020-09-20,29
2020-09-21,49
2020-09-22,24
2020-09-23,24
2020-09-24,33
2020-09-25,35
2020-09-26,27
2020-09-27,61
2020-09-28,24
2020-09-29,34
2020-09-30,33
