date,/m/05mk8__0,/m/05mk8_,batch_id
2021-02-01,31.0,31.0,1
2021-02-02,15.0,15.0,1
2021-02-03,0.0,0.0,1
2021-02-04,32.0,32.0,1
2021-02-05,0.0,0.0,1
2021-02-06,0.0,0.0,1
2021-02-07,0.0,0.0,1
2021-02-08,15.0,15.0,1
2021-02-09,31.0,31.0,1
2021-02-10,62.0,62.0,1
2021-02-11,16.0,16.0,1
2021-02-12,16.0,16.0,1
2021-02-13,0.0,0.0,1
2021-02-14,18.0,18.0,1
2021-02-15,15.0,15.0,1
2021-02-16,16.0,16.0,1
2021-02-17,32.0,32.0,1
2021-02-18,95.0,95.0,1
2021-02-19,50.0,50.0,1
2021-02-20,19.0,19.0,1
2021-02-21,0.0,0.0,1
2021-02-22,60.0,60.0,1
2021-02-23,49.0,49.0,1
2021-02-24,0.0,0.0,1
2021-02-25,33.0,33.0,1
2021-02-26,49.0,49.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,47.0,47.0,1
2021-03-02,0.0,0.0,1
2021-03-03,0.0,0.0,1
2021-03-04,31.0,31.0,1
2021-03-05,0.0,0.0,1
2021-03-06,0.0,0.0,1
2021-03-07,0.0,0.0,1
2021-03-08,16.0,16.0,1
2021-03-09,62.0,62.0,1
2021-03-10,63.0,63.0,1
2021-03-11,0.0,0.0,1
2021-03-12,32.0,32.0,1
2021-03-13,17.0,17.0,1
2021-03-14,0.0,0.0,1
2021-03-15,25.0,25.0,1
2021-03-16,27.0,27.0,1
2021-03-17,0.0,0.0,1
2021-03-18,0.0,0.0,1
2021-03-19,17.0,17.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,16.0,16.0,1
2021-03-23,16.0,16.0,1
2021-03-24,31.0,31.0,1
2021-03-25,16.0,16.0,1
2021-03-26,100.0,100.0,1
2021-03-27,52.0,52.0,1
2021-03-28,19.0,19.0,1
2021-03-29,49.0,49.0,1
2021-03-30,17.0,17.0,1
2021-03-31,0.0,0.0,1
2021-04-01,17.0,17.0,1
2021-04-02,0.0,0.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,16.0,16.0,1
2021-04-06,45.0,45.0,1
2021-04-07,47.0,47.0,1
2021-04-08,0.0,0.0,1
2021-04-09,33.0,33.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,0.0,0.0,1
2021-04-13,16.0,16.0,1
2021-04-14,32.0,32.0,1
2021-04-15,0.0,0.0,1
2021-04-16,0.0,0.0,1
2021-04-17,0.0,0.0,1
2021-04-18,0.0,0.0,1
2021-04-19,31.0,31.0,1
2021-04-20,32.0,32.0,1
2021-04-21,32.0,32.0,1
2021-04-22,33.0,33.0,1
2021-04-23,17.0,17.0,1
2021-04-24,19.0,19.0,1
2021-04-25,0.0,0.0,1
2021-04-26,0.0,0.0,1
2021-04-27,0.0,0.0,1
2021-04-28,16.0,16.0,1
2021-04-29,31.0,31.0,1
2021-04-30,16.0,16.0,1
2021-05-01,0.0,0.0,1
2021-05-02,17.0,17.0,1
2021-05-03,15.0,15.0,1
2021-05-04,15.0,15.0,1
2021-05-05,0.0,0.0,1
2021-05-06,31.0,31.0,1
2021-05-07,16.0,16.0,1
2021-05-08,35.0,35.0,1
2021-05-09,19.0,19.0,1
2021-05-10,0.0,0.0,1
2021-05-11,0.0,0.0,1
2021-05-12,0.0,0.0,1
2021-05-13,17.0,17.0,1
2021-05-14,17.0,17.0,1
