date,/g/11c2k_t47r_0,/g/11c2k_t47r,batch_id
2021-02-01,0.0,0.0,1
2021-02-02,32.0,32.0,1
2021-02-03,75.0,75.0,1
2021-02-04,45.0,45.0,1
2021-02-05,22.0,22.0,1
2021-02-06,12.0,12.0,1
2021-02-07,0.0,0.0,1
2021-02-08,32.0,32.0,1
2021-02-09,22.0,22.0,1
2021-02-10,11.0,11.0,1
2021-02-11,0.0,0.0,1
2021-02-12,45.0,45.0,1
2021-02-13,25.0,25.0,1
2021-02-14,13.0,13.0,1
2021-02-15,43.0,43.0,1
2021-02-16,23.0,23.0,1
2021-02-17,100.0,100.0,1
2021-02-18,11.0,11.0,1
2021-02-19,23.0,23.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,63.0,63.0,1
2021-02-23,23.0,23.0,1
2021-02-24,23.0,23.0,1
2021-02-25,0.0,0.0,1
2021-02-26,57.0,57.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,44.0,44.0,1
2021-03-02,56.0,56.0,1
2021-03-03,91.0,91.0,1
2021-03-04,54.0,54.0,1
2021-03-05,46.0,46.0,1
2021-03-06,25.0,25.0,1
2021-03-07,0.0,0.0,1
2021-03-08,33.0,33.0,1
2021-03-09,54.0,54.0,1
2021-03-10,33.0,33.0,1
2021-03-11,33.0,33.0,1
2021-03-12,34.0,34.0,1
2021-03-13,12.0,12.0,1
2021-03-14,12.0,12.0,1
2021-03-15,86.0,86.0,1
2021-03-16,47.0,47.0,1
2021-03-17,11.0,11.0,1
2021-03-18,55.0,55.0,1
2021-03-19,23.0,23.0,1
2021-03-20,13.0,13.0,1
2021-03-21,0.0,0.0,1
2021-03-22,11.0,11.0,1
2021-03-23,44.0,44.0,1
2021-03-24,11.0,11.0,1
2021-03-25,45.0,45.0,1
2021-03-26,35.0,35.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,11.0,11.0,1
2021-03-30,24.0,24.0,1
2021-03-31,49.0,49.0,1
2021-04-01,35.0,35.0,1
2021-04-02,24.0,24.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,23.0,23.0,1
2021-04-06,21.0,21.0,1
2021-04-07,22.0,22.0,1
2021-04-08,56.0,56.0,1
2021-04-09,46.0,46.0,1
2021-04-10,0.0,0.0,1
2021-04-11,12.0,12.0,1
2021-04-12,32.0,32.0,1
2021-04-13,34.0,34.0,1
2021-04-14,11.0,11.0,1
2021-04-15,34.0,34.0,1
2021-04-16,47.0,47.0,1
2021-04-17,0.0,0.0,1
2021-04-18,0.0,0.0,1
2021-04-19,32.0,32.0,1
2021-04-20,11.0,11.0,1
2021-04-21,23.0,23.0,1
2021-04-22,23.0,23.0,1
2021-04-23,12.0,12.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,11.0,11.0,1
2021-04-27,0.0,0.0,1
2021-04-28,79.0,79.0,1
2021-04-29,0.0,0.0,1
2021-04-30,66.0,66.0,1
2021-05-01,0.0,0.0,1
2021-05-02,0.0,0.0,1
2021-05-03,21.0,21.0,1
2021-05-04,31.0,31.0,1
2021-05-05,52.0,52.0,1
2021-05-06,22.0,22.0,1
2021-05-07,34.0,34.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,43.0,43.0,1
2021-05-11,0.0,0.0,1
2021-05-12,22.0,22.0,1
2021-05-13,0.0,0.0,1
2021-05-14,12.0,12.0,1
