date,/m/0bwpfs_0,/m/0bwpfs,batch_id
2021-02-01,53.0,53.0,1
2021-02-02,84.0,84.0,1
2021-02-03,52.0,52.0,1
2021-02-04,44.0,44.0,1
2021-02-05,87.0,87.0,1
2021-02-06,11.0,11.0,1
2021-02-07,12.0,12.0,1
2021-02-08,42.0,42.0,1
2021-02-09,43.0,43.0,1
2021-02-10,53.0,53.0,1
2021-02-11,65.0,65.0,1
2021-02-12,11.0,11.0,1
2021-02-13,12.0,12.0,1
2021-02-14,0.0,0.0,1
2021-02-15,32.0,32.0,1
2021-02-16,44.0,44.0,1
2021-02-17,54.0,54.0,1
2021-02-18,65.0,65.0,1
2021-02-19,46.0,46.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,31.0,31.0,1
2021-02-23,22.0,22.0,1
2021-02-24,22.0,22.0,1
2021-02-25,100.0,100.0,1
2021-02-26,33.0,33.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,86.0,86.0,1
2021-03-02,44.0,44.0,1
2021-03-03,33.0,33.0,1
2021-03-04,53.0,53.0,1
2021-03-05,34.0,34.0,1
2021-03-06,0.0,0.0,1
2021-03-07,12.0,12.0,1
2021-03-08,43.0,43.0,1
2021-03-09,63.0,63.0,1
2021-03-10,54.0,54.0,1
2021-03-11,43.0,43.0,1
2021-03-12,55.0,55.0,1
2021-03-13,23.0,23.0,1
2021-03-14,0.0,0.0,1
2021-03-15,84.0,84.0,1
2021-03-16,74.0,74.0,1
2021-03-17,43.0,43.0,1
2021-03-18,43.0,43.0,1
2021-03-19,34.0,34.0,1
2021-03-20,13.0,13.0,1
2021-03-21,12.0,12.0,1
2021-03-22,32.0,32.0,1
2021-03-23,21.0,21.0,1
2021-03-24,11.0,11.0,1
2021-03-25,0.0,0.0,1
2021-03-26,0.0,0.0,1
2021-03-27,12.0,12.0,1
2021-03-28,0.0,0.0,1
2021-03-29,90.0,90.0,1
2021-03-30,23.0,23.0,1
2021-03-31,36.0,36.0,1
2021-04-01,34.0,34.0,1
2021-04-02,23.0,23.0,1
2021-04-03,13.0,13.0,1
2021-04-04,13.0,13.0,1
2021-04-05,34.0,34.0,1
2021-04-06,31.0,31.0,1
2021-04-07,32.0,32.0,1
2021-04-08,33.0,33.0,1
2021-04-09,45.0,45.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,31.0,31.0,1
2021-04-13,33.0,33.0,1
2021-04-14,43.0,43.0,1
2021-04-15,44.0,44.0,1
2021-04-16,46.0,46.0,1
2021-04-17,13.0,13.0,1
2021-04-18,0.0,0.0,1
2021-04-19,42.0,42.0,1
2021-04-20,22.0,22.0,1
2021-04-21,55.0,55.0,1
2021-04-22,22.0,22.0,1
2021-04-23,47.0,47.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,43.0,43.0,1
2021-04-27,11.0,11.0,1
2021-04-28,33.0,33.0,1
2021-04-29,64.0,64.0,1
2021-04-30,32.0,32.0,1
2021-05-01,0.0,0.0,1
2021-05-02,0.0,0.0,1
2021-05-03,42.0,42.0,1
2021-05-04,0.0,0.0,1
2021-05-05,41.0,41.0,1
2021-05-06,11.0,11.0,1
2021-05-07,44.0,44.0,1
2021-05-08,12.0,12.0,1
2021-05-09,0.0,0.0,1
2021-05-10,21.0,21.0,1
2021-05-11,21.0,21.0,1
2021-05-12,65.0,65.0,1
2021-05-13,57.0,57.0,1
2021-05-14,35.0,35.0,1
