date,/m/016fb8_0,/m/016fb8,batch_id
2021-02-01,15.0,15.0,1
2021-02-02,45.0,45.0,1
2021-02-03,15.0,15.0,1
2021-02-04,16.0,16.0,1
2021-02-05,47.0,47.0,1
2021-02-06,0.0,0.0,1
2021-02-07,0.0,0.0,1
2021-02-08,30.0,30.0,1
2021-02-09,31.0,31.0,1
2021-02-10,60.0,60.0,1
2021-02-11,15.0,15.0,1
2021-02-12,0.0,0.0,1
2021-02-13,0.0,0.0,1
2021-02-14,0.0,0.0,1
2021-02-15,15.0,15.0,1
2021-02-16,47.0,47.0,1
2021-02-17,47.0,47.0,1
2021-02-18,15.0,15.0,1
2021-02-19,49.0,49.0,1
2021-02-20,19.0,19.0,1
2021-02-21,37.0,37.0,1
2021-02-22,29.0,29.0,1
2021-02-23,16.0,16.0,1
2021-02-24,79.0,79.0,1
2021-02-25,48.0,48.0,1
2021-02-26,32.0,32.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,31.0,31.0,1
2021-03-02,32.0,32.0,1
2021-03-03,32.0,32.0,1
2021-03-04,60.0,60.0,1
2021-03-05,16.0,16.0,1
2021-03-06,35.0,35.0,1
2021-03-07,0.0,0.0,1
2021-03-08,0.0,0.0,1
2021-03-09,45.0,45.0,1
2021-03-10,61.0,61.0,1
2021-03-11,46.0,46.0,1
2021-03-12,47.0,47.0,1
2021-03-13,16.0,16.0,1
2021-03-14,0.0,0.0,1
2021-03-15,12.0,12.0,1
2021-03-16,66.0,66.0,1
2021-03-17,46.0,46.0,1
2021-03-18,0.0,0.0,1
2021-03-19,16.0,16.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,31.0,31.0,1
2021-03-23,15.0,15.0,1
2021-03-24,46.0,46.0,1
2021-03-25,32.0,32.0,1
2021-03-26,81.0,81.0,1
2021-03-27,34.0,34.0,1
2021-03-28,0.0,0.0,1
2021-03-29,0.0,0.0,1
2021-03-30,33.0,33.0,1
2021-03-31,17.0,17.0,1
2021-04-01,49.0,49.0,1
2021-04-02,17.0,17.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,16.0,16.0,1
2021-04-06,88.0,88.0,1
2021-04-07,45.0,45.0,1
2021-04-08,47.0,47.0,1
2021-04-09,0.0,0.0,1
2021-04-10,32.0,32.0,1
2021-04-11,17.0,17.0,1
2021-04-12,45.0,45.0,1
2021-04-13,47.0,47.0,1
2021-04-14,46.0,46.0,1
2021-04-15,47.0,47.0,1
2021-04-16,16.0,16.0,1
2021-04-17,36.0,36.0,1
2021-04-18,54.0,54.0,1
2021-04-19,60.0,60.0,1
2021-04-20,62.0,62.0,1
2021-04-21,32.0,32.0,1
2021-04-22,80.0,80.0,1
2021-04-23,100.0,100.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,77.0,77.0,1
2021-04-27,48.0,48.0,1
2021-04-28,47.0,47.0,1
2021-04-29,30.0,30.0,1
2021-04-30,15.0,15.0,1
2021-05-01,34.0,34.0,1
2021-05-02,0.0,0.0,1
2021-05-03,45.0,45.0,1
2021-05-04,0.0,0.0,1
2021-05-05,15.0,15.0,1
2021-05-06,30.0,30.0,1
2021-05-07,47.0,47.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,0.0,0.0,1
2021-05-11,74.0,74.0,1
2021-05-12,46.0,46.0,1
2021-05-13,65.0,65.0,1
2021-05-14,83.0,83.0,1
