date,/m/018_rt_0,/m/018_rt,batch_id
2021-02-01,0.0,0.0,1
2021-02-02,10.0,10.0,1
2021-02-03,10.0,10.0,1
2021-02-04,0.0,0.0,1
2021-02-05,10.0,10.0,1
2021-02-06,21.0,21.0,1
2021-02-07,11.0,11.0,1
2021-02-08,0.0,0.0,1
2021-02-09,0.0,0.0,1
2021-02-10,10.0,10.0,1
2021-02-11,10.0,10.0,1
2021-02-12,0.0,0.0,1
2021-02-13,11.0,11.0,1
2021-02-14,0.0,0.0,1
2021-02-15,29.0,29.0,1
2021-02-16,10.0,10.0,1
2021-02-17,10.0,10.0,1
2021-02-18,30.0,30.0,1
2021-02-19,11.0,11.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,28.0,28.0,1
2021-02-23,0.0,0.0,1
2021-02-24,21.0,21.0,1
2021-02-25,10.0,10.0,1
2021-02-26,0.0,0.0,1
2021-02-27,11.0,11.0,1
2021-02-28,0.0,0.0,1
2021-03-01,0.0,0.0,1
2021-03-02,10.0,10.0,1
2021-03-03,21.0,21.0,1
2021-03-04,0.0,0.0,1
2021-03-05,0.0,0.0,1
2021-03-06,0.0,0.0,1
2021-03-07,11.0,11.0,1
2021-03-08,20.0,20.0,1
2021-03-09,10.0,10.0,1
2021-03-10,10.0,10.0,1
2021-03-11,100.0,100.0,1
2021-03-12,20.0,20.0,1
2021-03-13,86.0,86.0,1
2021-03-14,32.0,32.0,1
2021-03-15,78.0,78.0,1
2021-03-16,86.0,86.0,1
2021-03-17,69.0,69.0,1
2021-03-18,30.0,30.0,1
2021-03-19,0.0,0.0,1
2021-03-20,12.0,12.0,1
2021-03-21,11.0,11.0,1
2021-03-22,0.0,0.0,1
2021-03-23,40.0,40.0,1
2021-03-24,0.0,0.0,1
2021-03-25,0.0,0.0,1
2021-03-26,0.0,0.0,1
2021-03-27,0.0,0.0,1
2021-03-28,12.0,12.0,1
2021-03-29,21.0,21.0,1
2021-03-30,22.0,22.0,1
2021-03-31,0.0,0.0,1
2021-04-01,11.0,11.0,1
2021-04-02,22.0,22.0,1
2021-04-03,12.0,12.0,1
2021-04-04,12.0,12.0,1
2021-04-05,10.0,10.0,1
2021-04-06,86.0,86.0,1
2021-04-07,59.0,59.0,1
2021-04-08,41.0,41.0,1
2021-04-09,41.0,41.0,1
2021-04-10,0.0,0.0,1
2021-04-11,43.0,43.0,1
2021-04-12,0.0,0.0,1
2021-04-13,72.0,72.0,1
2021-04-14,40.0,40.0,1
2021-04-15,31.0,31.0,1
2021-04-16,21.0,21.0,1
2021-04-17,23.0,23.0,1
2021-04-18,46.0,46.0,1
2021-04-19,20.0,20.0,1
2021-04-20,10.0,10.0,1
2021-04-21,10.0,10.0,1
2021-04-22,21.0,21.0,1
2021-04-23,33.0,33.0,1
2021-04-24,48.0,48.0,1
2021-04-25,0.0,0.0,1
2021-04-26,20.0,20.0,1
2021-04-27,21.0,21.0,1
2021-04-28,20.0,20.0,1
2021-04-29,20.0,20.0,1
2021-04-30,10.0,10.0,1
2021-05-01,11.0,11.0,1
2021-05-02,44.0,44.0,1
2021-05-03,39.0,39.0,1
2021-05-04,19.0,19.0,1
2021-05-05,10.0,10.0,1
2021-05-06,10.0,10.0,1
2021-05-07,51.0,51.0,1
2021-05-08,11.0,11.0,1
2021-05-09,0.0,0.0,1
2021-05-10,0.0,0.0,1
2021-05-11,10.0,10.0,1
2021-05-12,0.0,0.0,1
2021-05-13,0.0,0.0,1
2021-05-14,43.0,43.0,1
