date,/g/11j8_7q6wl_0,/g/11j8_7q6wl,batch_id
2021-02-01,100.0,100.0,1
2021-02-02,84.0,84.0,1
2021-02-03,61.0,61.0,1
2021-02-04,40.0,40.0,1
2021-02-05,8.0,8.0,1
2021-02-06,8.0,8.0,1
2021-02-07,8.0,8.0,1
2021-02-08,8.0,8.0,1
2021-02-09,31.0,31.0,1
2021-02-10,8.0,8.0,1
2021-02-11,8.0,8.0,1
2021-02-12,8.0,8.0,1
2021-02-13,9.0,9.0,1
2021-02-14,0.0,0.0,1
2021-02-15,0.0,0.0,1
2021-02-16,8.0,8.0,1
2021-02-17,0.0,0.0,1
2021-02-18,0.0,0.0,1
2021-02-19,0.0,0.0,1
2021-02-20,10.0,10.0,1
2021-02-21,0.0,0.0,1
2021-02-22,15.0,15.0,1
2021-02-23,8.0,8.0,1
2021-02-24,16.0,16.0,1
2021-02-25,16.0,16.0,1
2021-02-26,0.0,0.0,1
2021-02-27,9.0,9.0,1
2021-02-28,9.0,9.0,1
2021-03-01,8.0,8.0,1
2021-03-02,16.0,16.0,1
2021-03-03,16.0,16.0,1
2021-03-04,15.0,15.0,1
2021-03-05,16.0,16.0,1
2021-03-06,0.0,0.0,1
2021-03-07,0.0,0.0,1
2021-03-08,0.0,0.0,1
2021-03-09,15.0,15.0,1
2021-03-10,16.0,16.0,1
2021-03-11,16.0,16.0,1
2021-03-12,0.0,0.0,1
2021-03-13,0.0,0.0,1
2021-03-14,0.0,0.0,1
2021-03-15,0.0,0.0,1
2021-03-16,7.0,7.0,1
2021-03-17,0.0,0.0,1
2021-03-18,0.0,0.0,1
2021-03-19,0.0,0.0,1
2021-03-20,0.0,0.0,1
2021-03-21,9.0,9.0,1
2021-03-22,0.0,0.0,1
2021-03-23,0.0,0.0,1
2021-03-24,0.0,0.0,1
2021-03-25,8.0,8.0,1
2021-03-26,0.0,0.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,0.0,0.0,1
2021-03-30,9.0,9.0,1
2021-03-31,18.0,18.0,1
2021-04-01,0.0,0.0,1
2021-04-02,0.0,0.0,1
2021-04-03,9.0,9.0,1
2021-04-04,9.0,9.0,1
2021-04-05,0.0,0.0,1
2021-04-06,8.0,8.0,1
2021-04-07,8.0,8.0,1
2021-04-08,0.0,0.0,1
2021-04-09,8.0,8.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,0.0,0.0,1
2021-04-13,0.0,0.0,1
2021-04-14,0.0,0.0,1
2021-04-15,0.0,0.0,1
2021-04-16,0.0,0.0,1
2021-04-17,0.0,0.0,1
2021-04-18,9.0,9.0,1
2021-04-19,0.0,0.0,1
2021-04-20,8.0,8.0,1
2021-04-21,0.0,0.0,1
2021-04-22,8.0,8.0,1
2021-04-23,0.0,0.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,0.0,0.0,1
2021-04-27,0.0,0.0,1
2021-04-28,0.0,0.0,1
2021-04-29,0.0,0.0,1
2021-04-30,0.0,0.0,1
2021-05-01,9.0,9.0,1
2021-05-02,9.0,9.0,1
2021-05-03,0.0,0.0,1
2021-05-04,0.0,0.0,1
2021-05-05,0.0,0.0,1
2021-05-06,8.0,8.0,1
2021-05-07,0.0,0.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,0.0,0.0,1
2021-05-11,0.0,0.0,1
2021-05-12,0.0,0.0,1
2021-05-13,0.0,0.0,1
2021-05-14,0.0,0.0,1
