date,/m/0zmxk9t_0,/m/0zmxk9t,batch_id
2021-02-01,28.0,28.0,1
2021-02-02,7.0,7.0,1
2021-02-03,8.0,8.0,1
2021-02-04,44.0,44.0,1
2021-02-05,17.0,17.0,1
2021-02-06,23.0,23.0,1
2021-02-07,41.0,41.0,1
2021-02-08,19.0,19.0,1
2021-02-09,21.0,21.0,1
2021-02-10,22.0,22.0,1
2021-02-11,20.0,20.0,1
2021-02-12,13.0,13.0,1
2021-02-13,5.0,5.0,1
2021-02-14,8.0,8.0,1
2021-02-15,10.0,10.0,1
2021-02-16,12.0,12.0,1
2021-02-17,14.0,14.0,1
2021-02-18,9.0,9.0,1
2021-02-19,11.0,11.0,1
2021-02-20,5.0,5.0,1
2021-02-21,2.0,2.0,1
2021-02-22,8.0,8.0,1
2021-02-23,9.0,9.0,1
2021-02-24,3.0,3.0,1
2021-02-25,1.0,1.0,1
2021-02-26,7.0,7.0,1
2021-02-27,2.0,2.0,1
2021-02-28,2.0,2.0,1
2021-03-01,4.0,4.0,1
2021-03-02,3.0,3.0,1
2021-03-03,3.0,3.0,1
2021-03-04,1.0,1.0,1
2021-03-05,3.0,3.0,1
2021-03-06,0.0,0.0,1
2021-03-07,3.0,3.0,1
2021-03-08,3.0,3.0,1
2021-03-09,4.0,4.0,1
2021-03-10,1.0,1.0,1
2021-03-11,4.0,4.0,1
2021-03-12,0.0,0.0,1
2021-03-13,3.0,3.0,1
2021-03-14,3.0,3.0,1
2021-03-15,3.0,3.0,1
2021-03-16,1.0,1.0,1
2021-03-17,1.0,1.0,1
2021-03-18,3.0,3.0,1
2021-03-19,0.0,0.0,1
2021-03-20,0.0,0.0,1
2021-03-21,2.0,2.0,1
2021-03-22,1.0,1.0,1
2021-03-23,1.0,1.0,1
2021-03-24,1.0,1.0,1
2021-03-25,1.0,1.0,1
2021-03-26,3.0,3.0,1
2021-03-27,0.0,0.0,1
2021-03-28,5.0,5.0,1
2021-03-29,0.0,0.0,1
2021-03-30,2.0,2.0,1
2021-03-31,0.0,0.0,1
2021-04-01,0.0,0.0,1
2021-04-02,2.0,2.0,1
2021-04-03,2.0,2.0,1
2021-04-04,8.0,8.0,1
2021-04-05,1.0,1.0,1
2021-04-06,4.0,4.0,1
2021-04-07,6.0,6.0,1
2021-04-08,3.0,3.0,1
2021-04-09,4.0,4.0,1
2021-04-10,4.0,4.0,1
2021-04-11,12.0,12.0,1
2021-04-12,1.0,1.0,1
2021-04-13,6.0,6.0,1
2021-04-14,30.0,30.0,1
2021-04-15,14.0,14.0,1
2021-04-16,100.0,100.0,1
2021-04-17,43.0,43.0,1
2021-04-18,31.0,31.0,1
2021-04-19,36.0,36.0,1
2021-04-20,44.0,44.0,1
2021-04-21,33.0,33.0,1
2021-04-22,27.0,27.0,1
2021-04-23,17.0,17.0,1
2021-04-24,10.0,10.0,1
2021-04-25,18.0,18.0,1
2021-04-26,13.0,13.0,1
2021-04-27,9.0,9.0,1
2021-04-28,17.0,17.0,1
2021-04-29,11.0,11.0,1
2021-04-30,13.0,13.0,1
2021-05-01,27.0,27.0,1
2021-05-02,16.0,16.0,1
2021-05-03,14.0,14.0,1
2021-05-04,54.0,54.0,1
2021-05-05,73.0,73.0,1
2021-05-06,41.0,41.0,1
2021-05-07,38.0,38.0,1
2021-05-08,44.0,44.0,1
2021-05-09,81.0,81.0,1
2021-05-10,52.0,52.0,1
2021-05-11,27.0,27.0,1
2021-05-12,21.0,21.0,1
2021-05-13,38.0,38.0,1
2021-05-14,51.0,51.0,1
