date,/g/120qkl6l_0,/g/120qkl6l,batch_id
2021-02-01,40.0,40.0,1
2021-02-02,20.0,20.0,1
2021-02-03,0.0,0.0,1
2021-02-04,0.0,0.0,1
2021-02-05,0.0,0.0,1
2021-02-06,0.0,0.0,1
2021-02-07,0.0,0.0,1
2021-02-08,20.0,20.0,1
2021-02-09,41.0,41.0,1
2021-02-10,40.0,40.0,1
2021-02-11,21.0,21.0,1
2021-02-12,21.0,21.0,1
2021-02-13,0.0,0.0,1
2021-02-14,23.0,23.0,1
2021-02-15,0.0,0.0,1
2021-02-16,0.0,0.0,1
2021-02-17,0.0,0.0,1
2021-02-18,20.0,20.0,1
2021-02-19,0.0,0.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,19.0,19.0,1
2021-02-23,21.0,21.0,1
2021-02-24,0.0,0.0,1
2021-02-25,42.0,42.0,1
2021-02-26,0.0,0.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,20.0,20.0,1
2021-03-02,0.0,0.0,1
2021-03-03,63.0,63.0,1
2021-03-04,40.0,40.0,1
2021-03-05,21.0,21.0,1
2021-03-06,24.0,24.0,1
2021-03-07,0.0,0.0,1
2021-03-08,20.0,20.0,1
2021-03-09,100.0,100.0,1
2021-03-10,0.0,0.0,1
2021-03-11,41.0,41.0,1
2021-03-12,0.0,0.0,1
2021-03-13,0.0,0.0,1
2021-03-14,21.0,21.0,1
2021-03-15,63.0,63.0,1
2021-03-16,35.0,35.0,1
2021-03-17,20.0,20.0,1
2021-03-18,82.0,82.0,1
2021-03-19,64.0,64.0,1
2021-03-20,24.0,24.0,1
2021-03-21,67.0,67.0,1
2021-03-22,0.0,0.0,1
2021-03-23,41.0,41.0,1
2021-03-24,40.0,40.0,1
2021-03-25,21.0,21.0,1
2021-03-26,0.0,0.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,43.0,43.0,1
2021-03-30,66.0,66.0,1
2021-03-31,68.0,68.0,1
2021-04-01,0.0,0.0,1
2021-04-02,22.0,22.0,1
2021-04-03,0.0,0.0,1
2021-04-04,24.0,24.0,1
2021-04-05,0.0,0.0,1
2021-04-06,39.0,39.0,1
2021-04-07,60.0,60.0,1
2021-04-08,62.0,62.0,1
2021-04-09,21.0,21.0,1
2021-04-10,21.0,21.0,1
2021-04-11,0.0,0.0,1
2021-04-12,0.0,0.0,1
2021-04-13,21.0,21.0,1
2021-04-14,20.0,20.0,1
2021-04-15,42.0,42.0,1
2021-04-16,43.0,43.0,1
2021-04-17,0.0,0.0,1
2021-04-18,47.0,47.0,1
2021-04-19,60.0,60.0,1
2021-04-20,21.0,21.0,1
2021-04-21,0.0,0.0,1
2021-04-22,42.0,42.0,1
2021-04-23,0.0,0.0,1
2021-04-24,49.0,49.0,1
2021-04-25,70.0,70.0,1
2021-04-26,41.0,41.0,1
2021-04-27,0.0,0.0,1
2021-04-28,0.0,0.0,1
2021-04-29,20.0,20.0,1
2021-04-30,0.0,0.0,1
2021-05-01,23.0,23.0,1
2021-05-02,67.0,67.0,1
2021-05-03,79.0,79.0,1
2021-05-04,76.0,76.0,1
2021-05-05,58.0,58.0,1
2021-05-06,81.0,81.0,1
2021-05-07,63.0,63.0,1
2021-05-08,0.0,0.0,1
2021-05-09,24.0,24.0,1
2021-05-10,0.0,0.0,1
2021-05-11,39.0,39.0,1
2021-05-12,62.0,62.0,1
2021-05-13,22.0,22.0,1
2021-05-14,66.0,66.0,1
