date,/g/11b6b2fv3c_0,/g/11b6b2fv3c,batch_id
2021-02-01,12.0,12.0,1
2021-02-02,24.0,24.0,1
2021-02-03,12.0,12.0,1
2021-02-04,13.0,13.0,1
2021-02-05,25.0,25.0,1
2021-02-06,0.0,0.0,1
2021-02-07,0.0,0.0,1
2021-02-08,0.0,0.0,1
2021-02-09,25.0,25.0,1
2021-02-10,24.0,24.0,1
2021-02-11,38.0,38.0,1
2021-02-12,0.0,0.0,1
2021-02-13,0.0,0.0,1
2021-02-14,0.0,0.0,1
2021-02-15,37.0,37.0,1
2021-02-16,0.0,0.0,1
2021-02-17,0.0,0.0,1
2021-02-18,38.0,38.0,1
2021-02-19,27.0,27.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,12.0,12.0,1
2021-02-23,90.0,90.0,1
2021-02-24,13.0,13.0,1
2021-02-25,13.0,13.0,1
2021-02-26,39.0,39.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,12.0,12.0,1
2021-03-02,51.0,51.0,1
2021-03-03,26.0,26.0,1
2021-03-04,61.0,61.0,1
2021-03-05,13.0,13.0,1
2021-03-06,0.0,0.0,1
2021-03-07,42.0,42.0,1
2021-03-08,37.0,37.0,1
2021-03-09,12.0,12.0,1
2021-03-10,12.0,12.0,1
2021-03-11,100.0,100.0,1
2021-03-12,13.0,13.0,1
2021-03-13,0.0,0.0,1
2021-03-14,0.0,0.0,1
2021-03-15,10.0,10.0,1
2021-03-16,21.0,21.0,1
2021-03-17,12.0,12.0,1
2021-03-18,13.0,13.0,1
2021-03-19,39.0,39.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,12.0,12.0,1
2021-03-23,12.0,12.0,1
2021-03-24,12.0,12.0,1
2021-03-25,13.0,13.0,1
2021-03-26,13.0,13.0,1
2021-03-27,14.0,14.0,1
2021-03-28,0.0,0.0,1
2021-03-29,0.0,0.0,1
2021-03-30,14.0,14.0,1
2021-03-31,28.0,28.0,1
2021-04-01,40.0,40.0,1
2021-04-02,0.0,0.0,1
2021-04-03,0.0,0.0,1
2021-04-04,15.0,15.0,1
2021-04-05,13.0,13.0,1
2021-04-06,24.0,24.0,1
2021-04-07,12.0,12.0,1
2021-04-08,76.0,76.0,1
2021-04-09,39.0,39.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,48.0,48.0,1
2021-04-13,39.0,39.0,1
2021-04-14,25.0,25.0,1
2021-04-15,13.0,13.0,1
2021-04-16,13.0,13.0,1
2021-04-17,0.0,0.0,1
2021-04-18,15.0,15.0,1
2021-04-19,24.0,24.0,1
2021-04-20,0.0,0.0,1
2021-04-21,13.0,13.0,1
2021-04-22,0.0,0.0,1
2021-04-23,0.0,0.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,25.0,25.0,1
2021-04-27,13.0,13.0,1
2021-04-28,13.0,13.0,1
2021-04-29,12.0,12.0,1
2021-04-30,13.0,13.0,1
2021-05-01,0.0,0.0,1
2021-05-02,0.0,0.0,1
2021-05-03,12.0,12.0,1
2021-05-04,12.0,12.0,1
2021-05-05,0.0,0.0,1
2021-05-06,12.0,12.0,1
2021-05-07,13.0,13.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,0.0,0.0,1
2021-05-11,12.0,12.0,1
2021-05-12,13.0,13.0,1
2021-05-13,0.0,0.0,1
2021-05-14,0.0,0.0,1
