date,/m/08b4sb_0,/m/08b4sb,batch_id
2021-02-01,0.0,0.0,1
2021-02-02,57.0,57.0,1
2021-02-03,0.0,0.0,1
2021-02-04,0.0,0.0,1
2021-02-05,39.0,39.0,1
2021-02-06,0.0,0.0,1
2021-02-07,0.0,0.0,1
2021-02-08,19.0,19.0,1
2021-02-09,39.0,39.0,1
2021-02-10,38.0,38.0,1
2021-02-11,0.0,0.0,1
2021-02-12,20.0,20.0,1
2021-02-13,22.0,22.0,1
2021-02-14,0.0,0.0,1
2021-02-15,38.0,38.0,1
2021-02-16,0.0,0.0,1
2021-02-17,0.0,0.0,1
2021-02-18,19.0,19.0,1
2021-02-19,0.0,0.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,37.0,37.0,1
2021-02-23,40.0,40.0,1
2021-02-24,40.0,40.0,1
2021-02-25,0.0,0.0,1
2021-02-26,0.0,0.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,19.0,19.0,1
2021-03-02,20.0,20.0,1
2021-03-03,20.0,20.0,1
2021-03-04,19.0,19.0,1
2021-03-05,61.0,61.0,1
2021-03-06,0.0,0.0,1
2021-03-07,0.0,0.0,1
2021-03-08,58.0,58.0,1
2021-03-09,19.0,19.0,1
2021-03-10,39.0,39.0,1
2021-03-11,0.0,0.0,1
2021-03-12,20.0,20.0,1
2021-03-13,0.0,0.0,1
2021-03-14,0.0,0.0,1
2021-03-15,15.0,15.0,1
2021-03-16,33.0,33.0,1
2021-03-17,0.0,0.0,1
2021-03-18,19.0,19.0,1
2021-03-19,20.0,20.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,19.0,19.0,1
2021-03-23,0.0,0.0,1
2021-03-24,0.0,0.0,1
2021-03-25,0.0,0.0,1
2021-03-26,20.0,20.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,40.0,40.0,1
2021-03-30,21.0,21.0,1
2021-03-31,22.0,22.0,1
2021-04-01,20.0,20.0,1
2021-04-02,0.0,0.0,1
2021-04-03,22.0,22.0,1
2021-04-04,0.0,0.0,1
2021-04-05,0.0,0.0,1
2021-04-06,18.0,18.0,1
2021-04-07,76.0,76.0,1
2021-04-08,20.0,20.0,1
2021-04-09,20.0,20.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,0.0,0.0,1
2021-04-13,60.0,60.0,1
2021-04-14,19.0,19.0,1
2021-04-15,0.0,0.0,1
2021-04-16,0.0,0.0,1
2021-04-17,0.0,0.0,1
2021-04-18,0.0,0.0,1
2021-04-19,57.0,57.0,1
2021-04-20,20.0,20.0,1
2021-04-21,59.0,59.0,1
2021-04-22,40.0,40.0,1
2021-04-23,42.0,42.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,39.0,39.0,1
2021-04-27,100.0,100.0,1
2021-04-28,40.0,40.0,1
2021-04-29,38.0,38.0,1
2021-04-30,39.0,39.0,1
2021-05-01,0.0,0.0,1
2021-05-02,0.0,0.0,1
2021-05-03,94.0,94.0,1
2021-05-04,90.0,90.0,1
2021-05-05,74.0,74.0,1
2021-05-06,19.0,19.0,1
2021-05-07,0.0,0.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,57.0,57.0,1
2021-05-11,19.0,19.0,1
2021-05-12,58.0,58.0,1
2021-05-13,0.0,0.0,1
2021-05-14,0.0,0.0,1
