date,/m/04hgtk
2020-02-01,46
2020-02-02,59
2020-02-03,69
2020-02-04,39
2020-02-05,55
2020-02-06,15
2020-02-07,32
2020-02-08,58
2020-02-09,28
2020-02-10,56
2020-02-11,53
2020-02-12,48
2020-02-13,50
2020-02-14,52
2020-02-15,81
2020-02-16,43
2020-02-17,43
2020-02-18,67
2020-02-19,48
2020-02-20,55
2020-02-21,42
2020-02-22,58
2020-02-23,60
2020-02-24,43
2020-02-25,38
2020-02-26,48
2020-02-27,42
2020-02-28,50
2020-02-29,40
2020-03-01,48
2020-03-02,83
2020-03-03,48
2020-03-04,43
2020-03-05,44
2020-03-06,34
2020-03-07,53
2020-03-08,58
2020-03-09,51
2020-03-10,46
2020-03-11,69
2020-03-12,82
2020-03-13,29
2020-03-14,65
2020-03-15,65
2020-03-16,35
2020-03-17,80
2020-03-18,55
2020-03-19,49
2020-03-20,59
2020-03-21,62
2020-03-22,63
2020-03-23,56
2020-03-24,57
2020-03-25,35
2020-03-26,77
2020-03-27,57
2020-03-28,84
2020-03-29,62
2020-03-30,48
2020-03-31,56
2020-04-01,58
2020-04-02,36
2020-04-03,33
2020-04-04,58
2020-04-05,51
2020-04-06,42
2020-04-07,56
2020-04-08,44
2020-04-09,53
2020-04-10,54
2020-04-11,68
2020-04-12,39
2020-04-13,42
2020-04-14,57
2020-04-15,30
2020-04-16,44
2020-04-17,53
2020-04-18,35
2020-04-19,44
2020-04-20,57
2020-04-21,72
2020-04-22,56
2020-04-23,55
2020-04-24,63
2020-04-25,52
2020-04-26,44
2020-04-27,38
2020-04-28,67
2020-04-29,32
2020-04-30,58
2020-05-01,33
2020-05-02,51
2020-05-03,58
2020-05-04,46
2020-05-05,34
2020-05-06,67
2020-05-07,53
2020-05-08,62
2020-05-09,34
2020-05-10,31
2020-05-11,39
2020-05-12,50
2020-05-13,33
2020-05-14,46
2020-05-15,59
2020-05-16,44
2020-05-17,51
2020-05-18,34
2020-05-19,52
2020-05-20,27
2020-05-21,48
2020-05-22,50
2020-05-23,49
2020-05-24,66
2020-05-25,37
2020-05-26,26
2020-05-27,34
2020-05-28,47
2020-05-29,90
2020-05-30,39
2020-05-31,80
2020-06-01,62
2020-06-02,41
2020-06-03,22
2020-06-04,43
2020-06-05,22
2020-06-06,34
2020-06-07,44
2020-06-08,44
2020-06-09,64
2020-06-10,20
2020-06-11,53
2020-06-12,42
2020-06-13,58
2020-06-14,42
2020-06-15,30
2020-06-16,31
2020-06-17,41
2020-06-18,79
2020-06-19,61
2020-06-20,56
2020-06-21,58
2020-06-22,25
2020-06-23,36
2020-06-24,41
2020-06-25,37
2020-06-26,34
2020-06-27,44
2020-06-28,49
2020-06-29,51
2020-06-30,43
2020-07-01,33
2020-07-02,17
2020-07-03,55
2020-07-04,50
2020-07-05,56
2020-07-06,35
2020-07-07,46
2020-07-08,35
2020-07-09,75
2020-07-10,43
2020-07-11,45
2020-07-12,44
2020-07-13,33
2020-07-14,36
2020-07-15,56
2020-07-16,45
2020-07-17,45
2020-07-18,41
2020-07-19,45
2020-07-20,34
2020-07-21,54
2020-07-22,81
2020-07-23,49
2020-07-24,44
2020-07-25,71
2020-07-26,31
2020-07-27,68
2020-07-28,37
2020-07-29,22
2020-07-30,45
2020-07-31,25
2020-08-01,51
2020-08-02,66
2020-08-03,26
2020-08-04,41
2020-08-05,37
2020-08-06,38
2020-08-07,24
2020-08-08,45
2020-08-09,30
2020-08-10,53
2020-08-11,31
2020-08-12,45
2020-08-13,35
2020-08-14,49
2020-08-15,51
2020-08-16,71
2020-08-17,26
2020-08-18,56
2020-08-19,61
2020-08-20,49
2020-08-21,63
2020-08-22,30
2020-08-23,36
2020-08-24,32
2020-08-25,48
2020-08-26,46
2020-08-27,69
2020-08-28,27
2020-08-29,40
2020-08-30,47
2020-08-31,39
2020-09-01,68
2020-09-02,41
2020-09-03,42
2020-09-04,43
2020-09-05,53
2020-09-06,86
2020-09-07,32
2020-09-08,54
2020-09-09,50
2020-09-10,57
2020-09-11,64
2020-09-12,31
2020-09-13,61
2020-09-14,51
2020-09-15,51
2020-09-16,55
2020-09-17,42
2020-09-18,43
2020-09-19,87
2020-09-20,64
2020-09-21,58
2020-09-22,32
2020-09-23,76
2020-09-24,59
2020-09-25,43
2020-09-26,59
2020-09-27,100
2020-09-28,18
