date,/g/11bc5d_v6z_0,/g/11bc5d_v6z,batch_id
2021-02-01,21.0,21.0,1
2021-02-02,0.0,0.0,1
2021-02-03,21.0,21.0,1
2021-02-04,0.0,0.0,1
2021-02-05,65.0,65.0,1
2021-02-06,46.0,46.0,1
2021-02-07,0.0,0.0,1
2021-02-08,84.0,84.0,1
2021-02-09,21.0,21.0,1
2021-02-10,0.0,0.0,1
2021-02-11,0.0,0.0,1
2021-02-12,22.0,22.0,1
2021-02-13,0.0,0.0,1
2021-02-14,0.0,0.0,1
2021-02-15,0.0,0.0,1
2021-02-16,44.0,44.0,1
2021-02-17,43.0,43.0,1
2021-02-18,22.0,22.0,1
2021-02-19,23.0,23.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,20.0,20.0,1
2021-02-23,66.0,66.0,1
2021-02-24,22.0,22.0,1
2021-02-25,22.0,22.0,1
2021-02-26,0.0,0.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,43.0,43.0,1
2021-03-02,66.0,66.0,1
2021-03-03,44.0,44.0,1
2021-03-04,0.0,0.0,1
2021-03-05,0.0,0.0,1
2021-03-06,0.0,0.0,1
2021-03-07,0.0,0.0,1
2021-03-08,0.0,0.0,1
2021-03-09,84.0,84.0,1
2021-03-10,0.0,0.0,1
2021-03-11,0.0,0.0,1
2021-03-12,0.0,0.0,1
2021-03-13,0.0,0.0,1
2021-03-14,0.0,0.0,1
2021-03-15,17.0,17.0,1
2021-03-16,18.0,18.0,1
2021-03-17,0.0,0.0,1
2021-03-18,22.0,22.0,1
2021-03-19,23.0,23.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,43.0,43.0,1
2021-03-23,21.0,21.0,1
2021-03-24,21.0,21.0,1
2021-03-25,0.0,0.0,1
2021-03-26,23.0,23.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,22.0,22.0,1
2021-03-30,23.0,23.0,1
2021-03-31,24.0,24.0,1
2021-04-01,46.0,46.0,1
2021-04-02,23.0,23.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,0.0,0.0,1
2021-04-06,21.0,21.0,1
2021-04-07,0.0,0.0,1
2021-04-08,22.0,22.0,1
2021-04-09,45.0,45.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,0.0,0.0,1
2021-04-13,0.0,0.0,1
2021-04-14,22.0,22.0,1
2021-04-15,66.0,66.0,1
2021-04-16,69.0,69.0,1
2021-04-17,25.0,25.0,1
2021-04-18,0.0,0.0,1
2021-04-19,21.0,21.0,1
2021-04-20,65.0,65.0,1
2021-04-21,44.0,44.0,1
2021-04-22,45.0,45.0,1
2021-04-23,0.0,0.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,21.0,21.0,1
2021-04-27,0.0,0.0,1
2021-04-28,0.0,0.0,1
2021-04-29,0.0,0.0,1
2021-04-30,0.0,0.0,1
2021-05-01,0.0,0.0,1
2021-05-02,24.0,24.0,1
2021-05-03,21.0,21.0,1
2021-05-04,100.0,100.0,1
2021-05-05,20.0,20.0,1
2021-05-06,21.0,21.0,1
2021-05-07,0.0,0.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,0.0,0.0,1
2021-05-11,21.0,21.0,1
2021-05-12,0.0,0.0,1
2021-05-13,68.0,68.0,1
2021-05-14,0.0,0.0,1
