date,/m/03gv9_0,/m/03gv9,batch_id
2021-02-01,29.0,29.0,1
2021-02-02,36.0,36.0,1
2021-02-03,36.0,36.0,1
2021-02-04,38.0,38.0,1
2021-02-05,45.0,45.0,1
2021-02-06,40.0,40.0,1
2021-02-07,56.0,56.0,1
2021-02-08,51.0,51.0,1
2021-02-09,22.0,22.0,1
2021-02-10,65.0,65.0,1
2021-02-11,7.0,7.0,1
2021-02-12,23.0,23.0,1
2021-02-13,34.0,34.0,1
2021-02-14,51.0,51.0,1
2021-02-15,36.0,36.0,1
2021-02-16,30.0,30.0,1
2021-02-17,52.0,52.0,1
2021-02-18,7.0,7.0,1
2021-02-19,24.0,24.0,1
2021-02-20,18.0,18.0,1
2021-02-21,0.0,0.0,1
2021-02-22,28.0,28.0,1
2021-02-23,46.0,46.0,1
2021-02-24,46.0,46.0,1
2021-02-25,15.0,15.0,1
2021-02-26,38.0,38.0,1
2021-02-27,26.0,26.0,1
2021-02-28,25.0,25.0,1
2021-03-01,30.0,30.0,1
2021-03-02,23.0,23.0,1
2021-03-03,31.0,31.0,1
2021-03-04,36.0,36.0,1
2021-03-05,47.0,47.0,1
2021-03-06,51.0,51.0,1
2021-03-07,16.0,16.0,1
2021-03-08,44.0,44.0,1
2021-03-09,36.0,36.0,1
2021-03-10,44.0,44.0,1
2021-03-11,74.0,74.0,1
2021-03-12,38.0,38.0,1
2021-03-13,24.0,24.0,1
2021-03-14,39.0,39.0,1
2021-03-15,40.0,40.0,1
2021-03-16,19.0,19.0,1
2021-03-17,51.0,51.0,1
2021-03-18,37.0,37.0,1
2021-03-19,23.0,23.0,1
2021-03-20,43.0,43.0,1
2021-03-21,24.0,24.0,1
2021-03-22,52.0,52.0,1
2021-03-23,22.0,22.0,1
2021-03-24,29.0,29.0,1
2021-03-25,46.0,46.0,1
2021-03-26,23.0,23.0,1
2021-03-27,0.0,0.0,1
2021-03-28,44.0,44.0,1
2021-03-29,0.0,0.0,1
2021-03-30,0.0,0.0,1
2021-03-31,25.0,25.0,1
2021-04-01,8.0,8.0,1
2021-04-02,8.0,8.0,1
2021-04-03,17.0,17.0,1
2021-04-04,26.0,26.0,1
2021-04-05,100.0,100.0,1
2021-04-06,43.0,43.0,1
2021-04-07,29.0,29.0,1
2021-04-08,30.0,30.0,1
2021-04-09,38.0,38.0,1
2021-04-10,23.0,23.0,1
2021-04-11,40.0,40.0,1
2021-04-12,22.0,22.0,1
2021-04-13,15.0,15.0,1
2021-04-14,22.0,22.0,1
2021-04-15,30.0,30.0,1
2021-04-16,39.0,39.0,1
2021-04-17,17.0,17.0,1
2021-04-18,52.0,52.0,1
2021-04-19,44.0,44.0,1
2021-04-20,0.0,0.0,1
2021-04-21,30.0,30.0,1
2021-04-22,69.0,69.0,1
2021-04-23,80.0,80.0,1
2021-04-24,27.0,27.0,1
2021-04-25,26.0,26.0,1
2021-04-26,30.0,30.0,1
2021-04-27,23.0,23.0,1
2021-04-28,46.0,46.0,1
2021-04-29,29.0,29.0,1
2021-04-30,30.0,30.0,1
2021-05-01,16.0,16.0,1
2021-05-02,16.0,16.0,1
2021-05-03,29.0,29.0,1
2021-05-04,41.0,41.0,1
2021-05-05,0.0,0.0,1
2021-05-06,37.0,37.0,1
2021-05-07,38.0,38.0,1
2021-05-08,33.0,33.0,1
2021-05-09,27.0,27.0,1
2021-05-10,37.0,37.0,1
2021-05-11,29.0,29.0,1
2021-05-12,15.0,15.0,1
2021-05-13,31.0,31.0,1
2021-05-14,8.0,8.0,1
