date,/m/0cnxs6x
2020-02-01,79
2020-02-02,78
2020-02-03,95
2020-02-04,84
2020-02-05,100
2020-02-06,94
2020-02-07,86
2020-02-08,74
2020-02-09,74
2020-02-10,87
2020-02-11,79
2020-02-12,54
2020-02-13,81
2020-02-14,68
2020-02-15,84
2020-02-16,83
2020-02-17,62
2020-02-18,89
2020-02-19,58
2020-02-20,66
2020-02-21,90
2020-02-22,77
2020-02-23,70
2020-02-24,59
2020-02-25,69
2020-02-26,69
2020-02-27,73
2020-02-28,46
2020-02-29,82
2020-03-01,78
2020-03-02,58
2020-03-03,83
2020-03-04,93
2020-03-05,83
2020-03-06,75
2020-03-07,56
2020-03-08,70
2020-03-09,90
2020-03-10,62
2020-03-11,70
2020-03-12,58
2020-03-13,50
2020-03-14,63
2020-03-15,67
2020-03-16,36
2020-03-17,52
2020-03-18,42
2020-03-19,70
2020-03-20,63
2020-03-21,61
2020-03-22,61
2020-03-23,48
2020-03-24,46
2020-03-25,68
2020-03-26,50
2020-03-27,56
2020-03-28,69
2020-03-29,56
2020-03-30,60
2020-03-31,58
2020-04-01,54
2020-04-02,60
2020-04-03,57
2020-04-04,56
2020-04-05,80
2020-04-06,74
2020-04-07,38
2020-04-08,85
2020-04-09,55
2020-04-10,62
2020-04-11,57
2020-04-12,69
2020-04-13,68
2020-04-14,70
2020-04-15,46
2020-04-16,53
2020-04-17,56
2020-04-18,38
2020-04-19,55
2020-04-20,70
2020-04-21,49
2020-04-22,68
2020-04-23,76
2020-04-24,54
2020-04-25,63
2020-04-26,64
2020-04-27,87
2020-04-28,51
2020-04-29,58
2020-04-30,64
2020-05-01,65
2020-05-02,88
2020-05-03,83
2020-05-04,52
2020-05-05,53
2020-05-06,61
2020-05-07,67
2020-05-08,67
2020-05-09,42
2020-05-10,66
2020-05-11,83
2020-05-12,46
2020-05-13,88
2020-05-14,82
2020-05-15,79
2020-05-16,72
2020-05-17,83
2020-05-18,66
2020-05-19,76
2020-05-20,66
2020-05-21,72
2020-05-22,61
2020-05-23,51
2020-05-24,70
2020-05-25,82
2020-05-26,64
2020-05-27,54
2020-05-28,55
2020-05-29,87
2020-05-30,70
2020-05-31,65
