date,/m/03pkm
2020-02-01,35
2020-02-02,63
2020-02-03,45
2020-02-04,42
2020-02-05,51
2020-02-06,53
2020-02-07,68
2020-02-08,54
2020-02-09,24
2020-02-10,48
2020-02-11,49
2020-02-12,25
2020-02-13,34
2020-02-14,66
2020-02-15,64
2020-02-16,41
2020-02-17,74
2020-02-18,41
2020-02-19,66
2020-02-20,67
2020-02-21,63
2020-02-22,27
2020-02-23,26
2020-02-24,85
2020-02-25,57
2020-02-26,39
2020-02-27,31
2020-02-28,25
2020-02-29,34
2020-03-01,82
2020-03-02,24
2020-03-03,87
2020-03-04,49
2020-03-05,33
2020-03-06,100
2020-03-07,54
2020-03-08,42
2020-03-09,40
2020-03-10,48
2020-03-11,70
2020-03-12,31
2020-03-13,38
2020-03-14,86
2020-03-15,76
2020-03-16,44
2020-03-17,31
2020-03-18,58
2020-03-19,61
2020-03-20,76
2020-03-21,36
2020-03-22,50
2020-03-23,34
2020-03-24,44
2020-03-25,53
2020-03-26,89
2020-03-27,28
2020-03-28,36
2020-03-29,34
2020-03-30,21
2020-03-31,41
2020-04-01,43
2020-04-02,21
2020-04-03,35
2020-04-04,50
2020-04-05,0
2020-04-06,43
2020-04-07,66
2020-04-08,22
2020-04-09,30
2020-04-10,68
2020-04-11,33
2020-04-12,25
2020-04-13,32
2020-04-14,35
2020-04-15,55
2020-04-16,45
2020-04-17,66
2020-04-18,30
2020-04-19,22
2020-04-20,42
2020-04-21,51
2020-04-22,67
2020-04-23,85
2020-04-24,22
2020-04-25,24
2020-04-26,25
2020-04-27,33
2020-04-28,34
2020-04-29,31
2020-04-30,20
2020-05-01,21
2020-05-02,54
2020-05-03,23
2020-05-04,39
2020-05-05,48
2020-05-06,43
2020-05-07,67
2020-05-08,34
2020-05-09,37
2020-05-10,46
2020-05-11,60
2020-05-12,32
2020-05-13,85
2020-05-14,43
2020-05-15,56
2020-05-16,49
2020-05-17,38
2020-05-18,29
2020-05-19,22
2020-05-20,38
2020-05-21,100
2020-05-22,42
2020-05-23,34
2020-05-24,53
2020-05-25,83
2020-05-26,33
2020-05-27,36
2020-05-28,36
2020-05-29,61
2020-05-30,42
2020-05-31,25
