date,/m/06fbf_0,/m/06fbf,batch_id
2021-02-01,100.0,100.0,1
2021-02-02,37.0,37.0,1
2021-02-03,12.0,12.0,1
2021-02-04,39.0,39.0,1
2021-02-05,26.0,26.0,1
2021-02-06,41.0,41.0,1
2021-02-07,41.0,41.0,1
2021-02-08,37.0,37.0,1
2021-02-09,25.0,25.0,1
2021-02-10,25.0,25.0,1
2021-02-11,64.0,64.0,1
2021-02-12,26.0,26.0,1
2021-02-13,29.0,29.0,1
2021-02-14,15.0,15.0,1
2021-02-15,0.0,0.0,1
2021-02-16,13.0,13.0,1
2021-02-17,39.0,39.0,1
2021-02-18,26.0,26.0,1
2021-02-19,27.0,27.0,1
2021-02-20,0.0,0.0,1
2021-02-21,31.0,31.0,1
2021-02-22,36.0,36.0,1
2021-02-23,13.0,13.0,1
2021-02-24,26.0,26.0,1
2021-02-25,26.0,26.0,1
2021-02-26,26.0,26.0,1
2021-02-27,29.0,29.0,1
2021-02-28,43.0,43.0,1
2021-03-01,25.0,25.0,1
2021-03-02,0.0,0.0,1
2021-03-03,53.0,53.0,1
2021-03-04,50.0,50.0,1
2021-03-05,27.0,27.0,1
2021-03-06,44.0,44.0,1
2021-03-07,0.0,0.0,1
2021-03-08,38.0,38.0,1
2021-03-09,38.0,38.0,1
2021-03-10,51.0,51.0,1
2021-03-11,38.0,38.0,1
2021-03-12,26.0,26.0,1
2021-03-13,27.0,27.0,1
2021-03-14,0.0,0.0,1
2021-03-15,0.0,0.0,1
2021-03-16,33.0,33.0,1
2021-03-17,25.0,25.0,1
2021-03-18,26.0,26.0,1
2021-03-19,13.0,13.0,1
2021-03-20,60.0,60.0,1
2021-03-21,0.0,0.0,1
2021-03-22,13.0,13.0,1
2021-03-23,51.0,51.0,1
2021-03-24,25.0,25.0,1
2021-03-25,79.0,79.0,1
2021-03-26,27.0,27.0,1
2021-03-27,0.0,0.0,1
2021-03-28,0.0,0.0,1
2021-03-29,13.0,13.0,1
2021-03-30,14.0,14.0,1
2021-03-31,0.0,0.0,1
2021-04-01,0.0,0.0,1
2021-04-02,41.0,41.0,1
2021-04-03,45.0,45.0,1
2021-04-04,15.0,15.0,1
2021-04-05,0.0,0.0,1
2021-04-06,24.0,24.0,1
2021-04-07,38.0,38.0,1
2021-04-08,13.0,13.0,1
2021-04-09,80.0,80.0,1
2021-04-10,40.0,40.0,1
2021-04-11,55.0,55.0,1
2021-04-12,12.0,12.0,1
2021-04-13,66.0,66.0,1
2021-04-14,38.0,38.0,1
2021-04-15,52.0,52.0,1
2021-04-16,41.0,41.0,1
2021-04-17,15.0,15.0,1
2021-04-18,0.0,0.0,1
2021-04-19,25.0,25.0,1
2021-04-20,13.0,13.0,1
2021-04-21,13.0,13.0,1
2021-04-22,40.0,40.0,1
2021-04-23,69.0,69.0,1
2021-04-24,0.0,0.0,1
2021-04-25,29.0,29.0,1
2021-04-26,38.0,38.0,1
2021-04-27,13.0,13.0,1
2021-04-28,39.0,39.0,1
2021-04-29,88.0,88.0,1
2021-04-30,0.0,0.0,1
2021-05-01,14.0,14.0,1
2021-05-02,42.0,42.0,1
2021-05-03,12.0,12.0,1
2021-05-04,36.0,36.0,1
2021-05-05,12.0,12.0,1
2021-05-06,63.0,63.0,1
2021-05-07,26.0,26.0,1
2021-05-08,57.0,57.0,1
2021-05-09,0.0,0.0,1
2021-05-10,13.0,13.0,1
2021-05-11,25.0,25.0,1
2021-05-12,39.0,39.0,1
2021-05-13,27.0,27.0,1
2021-05-14,28.0,28.0,1
