date,/m/03fk5c
2020-02-01,37
2020-02-02,32
2020-02-03,64
2020-02-04,45
2020-02-05,71
2020-02-06,70
2020-02-07,53
2020-02-08,27
2020-02-09,33
2020-02-10,62
2020-02-11,67
2020-02-12,58
2020-02-13,65
2020-02-14,63
2020-02-15,30
2020-02-16,29
2020-02-17,100
2020-02-18,58
2020-02-19,68
2020-02-20,63
2020-02-21,45
2020-02-22,49
2020-02-23,26
2020-02-24,46
2020-02-25,62
2020-02-26,66
2020-02-27,54
2020-02-28,57
2020-02-29,31
2020-03-01,29
2020-03-02,61
2020-03-03,85
2020-03-04,65
2020-03-05,56
2020-03-06,49
2020-03-07,29
2020-03-08,42
2020-03-09,54
2020-03-10,54
2020-03-11,55
2020-03-12,61
2020-03-13,77
2020-03-14,36
2020-03-15,23
2020-03-16,67
2020-03-17,43
2020-03-18,27
2020-03-19,32
2020-03-20,19
2020-03-21,22
2020-03-22,15
2020-03-23,36
2020-03-24,24
2020-03-25,16
2020-03-26,37
2020-03-27,24
2020-03-28,14
2020-03-29,18
2020-03-30,24
2020-03-31,10
2020-04-01,13
2020-04-02,19
2020-04-03,39
2020-04-04,22
2020-04-05,26
2020-04-06,32
2020-04-07,26
2020-04-08,31
2020-04-09,20
2020-04-10,14
2020-04-11,30
2020-04-12,33
2020-04-13,26
2020-04-14,37
2020-04-15,20
2020-04-16,46
2020-04-17,26
2020-04-18,22
2020-04-19,22
2020-04-20,35
2020-04-21,47
2020-04-22,37
2020-04-23,28
2020-04-24,26
2020-04-25,14
2020-04-26,20
2020-04-27,43
2020-04-28,42
2020-04-29,47
2020-04-30,31
2020-05-01,12
2020-05-02,26
2020-05-03,31
2020-05-04,47
2020-05-05,27
2020-05-06,30
2020-05-07,47
2020-05-08,49
2020-05-09,24
2020-05-10,25
2020-05-11,47
2020-05-12,46
2020-05-13,50
2020-05-14,34
2020-05-15,47
2020-05-16,15
2020-05-17,28
2020-05-18,65
2020-05-19,31
2020-05-20,40
2020-05-21,27
2020-05-22,40
2020-05-23,22
2020-05-24,22
2020-05-25,48
2020-05-26,48
2020-05-27,47
2020-05-28,71
2020-05-29,50
2020-05-30,30
2020-05-31,18
