date,/m/07gr_
2020-02-01,53
2020-02-02,35
2020-02-03,47
2020-02-04,33
2020-02-05,50
2020-02-06,43
2020-02-07,51
2020-02-08,44
2020-02-09,43
2020-02-10,53
2020-02-11,51
2020-02-12,38
2020-02-13,33
2020-02-14,35
2020-02-15,65
2020-02-16,49
2020-02-17,38
2020-02-18,40
2020-02-19,30
2020-02-20,44
2020-02-21,26
2020-02-22,38
2020-02-23,45
2020-02-24,28
2020-02-25,34
2020-02-26,38
2020-02-27,48
2020-02-28,36
2020-02-29,34
2020-03-01,50
2020-03-02,41
2020-03-03,30
2020-03-04,40
2020-03-05,59
2020-03-06,26
2020-03-07,55
2020-03-08,57
2020-03-09,43
2020-03-10,54
2020-03-11,61
2020-03-12,53
2020-03-13,90
2020-03-14,82
2020-03-15,56
2020-03-16,84
2020-03-17,64
2020-03-18,76
2020-03-19,77
2020-03-20,59
2020-03-21,73
2020-03-22,63
2020-03-23,58
2020-03-24,51
2020-03-25,52
2020-03-26,47
2020-03-27,33
2020-03-28,77
2020-03-29,74
2020-03-30,46
2020-03-31,44
2020-04-01,54
2020-04-02,69
2020-04-03,41
2020-04-04,69
2020-04-05,62
2020-04-06,52
2020-04-07,49
2020-04-08,42
2020-04-09,48
2020-04-10,60
2020-04-11,41
2020-04-12,57
2020-04-13,44
2020-04-14,53
2020-04-15,47
2020-04-16,63
2020-04-17,35
2020-04-18,45
2020-04-19,44
2020-04-20,32
2020-04-21,42
2020-04-22,29
2020-04-23,35
2020-04-24,39
2020-04-25,44
2020-04-26,35
2020-04-27,34
2020-04-28,35
2020-04-29,33
2020-04-30,38
2020-05-01,24
2020-05-02,66
2020-05-03,49
2020-05-04,42
2020-05-05,18
2020-05-06,30
2020-05-07,35
2020-05-08,39
2020-05-09,46
2020-05-10,36
2020-05-11,34
2020-05-12,41
2020-05-13,45
2020-05-14,28
2020-05-15,35
2020-05-16,64
2020-05-17,59
2020-05-18,27
2020-05-19,18
2020-05-20,38
2020-05-21,63
2020-05-22,31
2020-05-23,41
2020-05-24,46
2020-05-25,31
2020-05-26,42
2020-05-27,27
2020-05-28,39
2020-05-29,38
2020-05-30,39
2020-05-31,37
2020-06-01,40
2020-06-02,46
2020-06-03,42
2020-06-04,35
2020-06-05,24
2020-06-06,41
2020-06-07,65
2020-06-08,23
2020-06-09,36
2020-06-10,39
2020-06-11,28
2020-06-12,42
2020-06-13,28
2020-06-14,33
2020-06-15,36
2020-06-16,39
2020-06-17,23
2020-06-18,26
2020-06-19,33
2020-06-20,30
2020-06-21,38
2020-06-22,48
2020-06-23,40
2020-06-24,48
2020-06-25,55
2020-06-26,57
2020-06-27,47
2020-06-28,43
2020-06-29,46
2020-06-30,38
2020-07-01,30
2020-07-02,40
2020-07-03,31
2020-07-04,58
2020-07-05,43
2020-07-06,26
2020-07-07,48
2020-07-08,50
2020-07-09,32
2020-07-10,34
2020-07-11,37
2020-07-12,30
2020-07-13,28
2020-07-14,24
2020-07-15,39
2020-07-16,40
2020-07-17,38
2020-07-18,56
2020-07-19,47
2020-07-20,47
2020-07-21,39
2020-07-22,39
2020-07-23,45
2020-07-24,28
2020-07-25,37
2020-07-26,30
2020-07-27,40
2020-07-28,35
2020-07-29,30
2020-07-30,42
2020-07-31,84
2020-08-01,92
2020-08-02,57
2020-08-03,31
2020-08-04,28
2020-08-05,43
2020-08-06,59
2020-08-07,82
2020-08-08,100
2020-08-09,88
2020-08-10,87
2020-08-11,86
2020-08-12,63
2020-08-13,74
2020-08-14,26
2020-08-15,38
2020-08-16,57
2020-08-17,45
2020-08-18,47
2020-08-19,66
2020-08-20,51
2020-08-21,47
2020-08-22,53
2020-08-23,47
2020-08-24,23
2020-08-25,29
2020-08-26,41
2020-08-27,39
2020-08-28,35
2020-08-29,46
2020-08-30,45
2020-08-31,30
2020-09-01,36
2020-09-02,33
2020-09-03,31
2020-09-04,21
2020-09-05,47
2020-09-06,36
2020-09-07,35
2020-09-08,30
2020-09-09,44
2020-09-10,46
2020-09-11,50
2020-09-12,42
2020-09-13,40
2020-09-14,42
2020-09-15,58
2020-09-16,38
2020-09-17,39
2020-09-18,38
2020-09-19,38
2020-09-20,31
2020-09-21,37
2020-09-22,29
2020-09-23,43
2020-09-24,36
2020-09-25,48
2020-09-26,53
2020-09-27,56
2020-09-28,41
2020-09-29,45
