date,/m/03qmh
2020-02-01,44
2020-02-02,21
2020-02-03,58
2020-02-04,28
2020-02-05,56
2020-02-06,72
2020-02-07,40
2020-02-08,55
2020-02-09,57
2020-02-10,36
2020-02-11,37
2020-02-12,59
2020-02-13,89
2020-02-14,44
2020-02-15,86
2020-02-16,69
2020-02-17,41
2020-02-18,59
2020-02-19,45
2020-02-20,28
2020-02-21,39
2020-02-22,41
2020-02-23,67
2020-02-24,54
2020-02-25,40
2020-02-26,43
2020-02-27,43
2020-02-28,80
2020-02-29,48
2020-03-01,59
2020-03-02,61
2020-03-03,68
2020-03-04,73
2020-03-05,55
2020-03-06,41
2020-03-07,64
2020-03-08,55
2020-03-09,39
2020-03-10,57
2020-03-11,39
2020-03-12,38
2020-03-13,51
2020-03-14,90
2020-03-15,80
2020-03-16,33
2020-03-17,38
2020-03-18,51
2020-03-19,38
2020-03-20,36
2020-03-21,63
2020-03-22,69
2020-03-23,38
2020-03-24,86
2020-03-25,38
2020-03-26,53
2020-03-27,53
2020-03-28,75
2020-03-29,58
2020-03-30,42
2020-03-31,65
2020-04-01,63
2020-04-02,42
2020-04-03,46
2020-04-04,50
2020-04-05,53
2020-04-06,51
2020-04-07,69
2020-04-08,100
2020-04-09,67
2020-04-10,51
2020-04-11,74
2020-04-12,68
2020-04-13,72
2020-04-14,43
2020-04-15,36
2020-04-16,62
2020-04-17,62
2020-04-18,69
2020-04-19,91
2020-04-20,46
2020-04-21,68
2020-04-22,86
2020-04-23,72
2020-04-24,84
2020-04-25,67
2020-04-26,84
2020-04-27,20
2020-04-28,60
2020-04-29,60
2020-04-30,62
2020-05-01,73
2020-05-02,72
2020-05-03,64
2020-05-04,54
2020-05-05,40
2020-05-06,60
2020-05-07,54
2020-05-08,70
2020-05-09,54
2020-05-10,55
2020-05-11,48
2020-05-12,62
2020-05-13,75
2020-05-14,52
2020-05-15,54
2020-05-16,41
2020-05-17,72
2020-05-18,36
2020-05-19,57
2020-05-20,56
2020-05-21,69
2020-05-22,67
2020-05-23,46
2020-05-24,42
2020-05-25,31
2020-05-26,41
2020-05-27,53
2020-05-28,60
2020-05-29,44
2020-05-30,60
2020-05-31,70
2020-06-01,34
2020-06-02,35
2020-06-03,32
2020-06-04,31
2020-06-05,31
2020-06-06,41
2020-06-07,54
2020-06-08,41
2020-06-09,32
2020-06-10,34
2020-06-11,51
2020-06-12,43
2020-06-13,37
2020-06-14,40
2020-06-15,30
2020-06-16,61
2020-06-17,45
2020-06-18,32
2020-06-19,33
2020-06-20,77
2020-06-21,50
2020-06-22,48
2020-06-23,60
2020-06-24,56
2020-06-25,44
2020-06-26,39
2020-06-27,60
2020-06-28,51
2020-06-29,28
2020-06-30,41
2020-07-01,36
2020-07-02,29
2020-07-03,26
2020-07-04,63
2020-07-05,66
2020-07-06,54
2020-07-07,34
2020-07-08,45
2020-07-09,53
2020-07-10,27
2020-07-11,47
2020-07-12,42
2020-07-13,40
2020-07-14,55
2020-07-15,79
2020-07-16,30
2020-07-17,47
2020-07-18,60
2020-07-19,85
2020-07-20,32
2020-07-21,39
2020-07-22,33
2020-07-23,56
2020-07-24,69
2020-07-25,44
2020-07-26,43
2020-07-27,65
2020-07-28,35
2020-07-29,45
2020-07-30,61
2020-07-31,52
2020-08-01,58
2020-08-02,23
2020-08-03,57
2020-08-04,38
2020-08-05,57
2020-08-06,31
2020-08-07,32
2020-08-08,52
2020-08-09,42
2020-08-10,46
2020-08-11,37
2020-08-12,45
2020-08-13,46
2020-08-14,13
2020-08-15,17
2020-08-16,20
2020-08-17,40
2020-08-18,41
2020-08-19,58
2020-08-20,51
2020-08-21,43
2020-08-22,33
2020-08-23,52
2020-08-24,48
2020-08-25,54
2020-08-26,38
2020-08-27,39
2020-08-28,39
2020-08-29,42
2020-08-30,40
2020-08-31,57
2020-09-01,34
2020-09-02,39
2020-09-03,39
2020-09-04,22
2020-09-05,37
2020-09-06,22
2020-09-07,46
2020-09-08,51
2020-09-09,43
2020-09-10,22
2020-09-11,35
2020-09-12,59
2020-09-13,72
2020-09-14,26
2020-09-15,35
2020-09-16,47
2020-09-17,18
2020-09-18,41
2020-09-19,43
2020-09-20,56
2020-09-21,57
2020-09-22,51
2020-09-23,67
2020-09-24,43
2020-09-25,18
2020-09-26,65
2020-09-27,81
2020-09-28,42
2020-09-29,40
