date,/m/0k9qw
2020-02-01,47
2020-02-02,88
2020-02-03,61
2020-02-04,58
2020-02-05,60
2020-02-06,62
2020-02-07,42
2020-02-08,0
2020-02-09,70
2020-02-10,28
2020-02-11,29
2020-02-12,39
2020-02-13,45
2020-02-14,47
2020-02-15,53
2020-02-16,29
2020-02-17,77
2020-02-18,29
2020-02-19,29
2020-02-20,30
2020-02-21,47
2020-02-22,48
2020-02-23,60
2020-02-24,0
2020-02-25,38
2020-02-26,27
2020-02-27,27
2020-02-28,59
2020-02-29,60
2020-03-01,29
2020-03-02,83
2020-03-03,29
2020-03-04,71
2020-03-05,77
2020-03-06,44
2020-03-07,79
2020-03-08,44
2020-03-09,28
2020-03-10,74
2020-03-11,45
2020-03-12,40
2020-03-13,44
2020-03-14,0
2020-03-15,30
2020-03-16,26
2020-03-17,80
2020-03-18,40
2020-03-19,35
2020-03-20,68
2020-03-21,56
2020-03-22,58
2020-03-23,47
2020-03-24,26
2020-03-25,35
2020-03-26,39
2020-03-27,49
2020-03-28,84
2020-03-29,62
2020-03-30,48
2020-03-31,24
2020-04-01,25
2020-04-02,48
2020-04-03,24
2020-04-04,29
2020-04-05,0
2020-04-06,33
2020-04-07,51
2020-04-08,44
2020-04-09,44
2020-04-10,66
2020-04-11,29
2020-04-12,58
2020-04-13,25
2020-04-14,57
2020-04-15,25
2020-04-16,26
2020-04-17,39
2020-04-18,43
2020-04-19,61
2020-04-20,0
2020-04-21,38
2020-04-22,39
2020-04-23,100
2020-04-24,25
2020-04-25,28
2020-04-26,44
2020-04-27,38
2020-04-28,36
2020-04-29,36
2020-04-30,54
2020-05-01,49
2020-05-02,42
2020-05-03,54
2020-05-04,23
2020-05-05,46
2020-05-06,25
2020-05-07,53
2020-05-08,27
2020-05-09,87
2020-05-10,0
2020-05-11,62
2020-05-12,74
2020-05-13,58
2020-05-14,25
2020-05-15,39
2020-05-16,43
2020-05-17,30
2020-05-18,38
2020-05-19,0
2020-05-20,97
2020-05-21,29
2020-05-22,50
2020-05-23,62
2020-05-24,27
2020-05-25,62
2020-05-26,65
2020-05-27,38
2020-05-28,38
2020-05-29,53
2020-05-30,73
2020-05-31,45
