date,/m/03_12v_0,/m/03_12v,batch_id
2021-02-01,0.0,0.0,1
2021-02-02,60.0,60.0,1
2021-02-03,100.0,100.0,1
2021-02-04,42.0,42.0,1
2021-02-05,62.0,62.0,1
2021-02-06,22.0,22.0,1
2021-02-07,22.0,22.0,1
2021-02-08,0.0,0.0,1
2021-02-09,41.0,41.0,1
2021-02-10,40.0,40.0,1
2021-02-11,41.0,41.0,1
2021-02-12,63.0,63.0,1
2021-02-13,23.0,23.0,1
2021-02-14,0.0,0.0,1
2021-02-15,20.0,20.0,1
2021-02-16,42.0,42.0,1
2021-02-17,21.0,21.0,1
2021-02-18,62.0,62.0,1
2021-02-19,66.0,66.0,1
2021-02-20,25.0,25.0,1
2021-02-21,25.0,25.0,1
2021-02-22,39.0,39.0,1
2021-02-23,21.0,21.0,1
2021-02-24,0.0,0.0,1
2021-02-25,64.0,64.0,1
2021-02-26,64.0,64.0,1
2021-02-27,0.0,0.0,1
2021-02-28,23.0,23.0,1
2021-03-01,41.0,41.0,1
2021-03-02,21.0,21.0,1
2021-03-03,43.0,43.0,1
2021-03-04,20.0,20.0,1
2021-03-05,43.0,43.0,1
2021-03-06,95.0,95.0,1
2021-03-07,0.0,0.0,1
2021-03-08,41.0,41.0,1
2021-03-09,20.0,20.0,1
2021-03-10,62.0,62.0,1
2021-03-11,21.0,21.0,1
2021-03-12,0.0,0.0,1
2021-03-13,0.0,0.0,1
2021-03-14,0.0,0.0,1
2021-03-15,16.0,16.0,1
2021-03-16,35.0,35.0,1
2021-03-17,20.0,20.0,1
2021-03-18,0.0,0.0,1
2021-03-19,22.0,22.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,20.0,20.0,1
2021-03-23,41.0,41.0,1
2021-03-24,0.0,0.0,1
2021-03-25,21.0,21.0,1
2021-03-26,43.0,43.0,1
2021-03-27,23.0,23.0,1
2021-03-28,0.0,0.0,1
2021-03-29,21.0,21.0,1
2021-03-30,0.0,0.0,1
2021-03-31,46.0,46.0,1
2021-04-01,0.0,0.0,1
2021-04-02,0.0,0.0,1
2021-04-03,0.0,0.0,1
2021-04-04,0.0,0.0,1
2021-04-05,0.0,0.0,1
2021-04-06,79.0,79.0,1
2021-04-07,20.0,20.0,1
2021-04-08,0.0,0.0,1
2021-04-09,0.0,0.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,40.0,40.0,1
2021-04-13,0.0,0.0,1
2021-04-14,21.0,21.0,1
2021-04-15,0.0,0.0,1
2021-04-16,22.0,22.0,1
2021-04-17,0.0,0.0,1
2021-04-18,0.0,0.0,1
2021-04-19,20.0,20.0,1
2021-04-20,41.0,41.0,1
2021-04-21,42.0,42.0,1
2021-04-22,43.0,43.0,1
2021-04-23,45.0,45.0,1
2021-04-24,0.0,0.0,1
2021-04-25,0.0,0.0,1
2021-04-26,41.0,41.0,1
2021-04-27,0.0,0.0,1
2021-04-28,0.0,0.0,1
2021-04-29,0.0,0.0,1
2021-04-30,0.0,0.0,1
2021-05-01,0.0,0.0,1
2021-05-02,0.0,0.0,1
2021-05-03,0.0,0.0,1
2021-05-04,57.0,57.0,1
2021-05-05,0.0,0.0,1
2021-05-06,41.0,41.0,1
2021-05-07,0.0,0.0,1
2021-05-08,0.0,0.0,1
2021-05-09,25.0,25.0,1
2021-05-10,20.0,20.0,1
2021-05-11,20.0,20.0,1
2021-05-12,62.0,62.0,1
2021-05-13,65.0,65.0,1
2021-05-14,22.0,22.0,1
