date,/m/01fhyk_0,/m/01fhyk,batch_id
2021-02-01,20.0,20.0,1
2021-02-02,0.0,0.0,1
2021-02-03,41.0,41.0,1
2021-02-04,0.0,0.0,1
2021-02-05,0.0,0.0,1
2021-02-06,44.0,44.0,1
2021-02-07,22.0,22.0,1
2021-02-08,20.0,20.0,1
2021-02-09,21.0,21.0,1
2021-02-10,0.0,0.0,1
2021-02-11,21.0,21.0,1
2021-02-12,0.0,0.0,1
2021-02-13,24.0,24.0,1
2021-02-14,48.0,48.0,1
2021-02-15,61.0,61.0,1
2021-02-16,21.0,21.0,1
2021-02-17,84.0,84.0,1
2021-02-18,63.0,63.0,1
2021-02-19,44.0,44.0,1
2021-02-20,0.0,0.0,1
2021-02-21,0.0,0.0,1
2021-02-22,0.0,0.0,1
2021-02-23,43.0,43.0,1
2021-02-24,22.0,22.0,1
2021-02-25,21.0,21.0,1
2021-02-26,43.0,43.0,1
2021-02-27,24.0,24.0,1
2021-02-28,0.0,0.0,1
2021-03-01,21.0,21.0,1
2021-03-02,0.0,0.0,1
2021-03-03,43.0,43.0,1
2021-03-04,41.0,41.0,1
2021-03-05,44.0,44.0,1
2021-03-06,24.0,24.0,1
2021-03-07,92.0,92.0,1
2021-03-08,42.0,42.0,1
2021-03-09,82.0,82.0,1
2021-03-10,21.0,21.0,1
2021-03-11,42.0,42.0,1
2021-03-12,21.0,21.0,1
2021-03-13,0.0,0.0,1
2021-03-14,0.0,0.0,1
2021-03-15,49.0,49.0,1
2021-03-16,18.0,18.0,1
2021-03-17,21.0,21.0,1
2021-03-18,84.0,84.0,1
2021-03-19,0.0,0.0,1
2021-03-20,49.0,49.0,1
2021-03-21,45.0,45.0,1
2021-03-22,21.0,21.0,1
2021-03-23,41.0,41.0,1
2021-03-24,21.0,21.0,1
2021-03-25,21.0,21.0,1
2021-03-26,22.0,22.0,1
2021-03-27,92.0,92.0,1
2021-03-28,49.0,49.0,1
2021-03-29,65.0,65.0,1
2021-03-30,0.0,0.0,1
2021-03-31,93.0,93.0,1
2021-04-01,0.0,0.0,1
2021-04-02,45.0,45.0,1
2021-04-03,48.0,48.0,1
2021-04-04,0.0,0.0,1
2021-04-05,43.0,43.0,1
2021-04-06,20.0,20.0,1
2021-04-07,61.0,61.0,1
2021-04-08,21.0,21.0,1
2021-04-09,0.0,0.0,1
2021-04-10,64.0,64.0,1
2021-04-11,22.0,22.0,1
2021-04-12,40.0,40.0,1
2021-04-13,43.0,43.0,1
2021-04-14,21.0,21.0,1
2021-04-15,21.0,21.0,1
2021-04-16,0.0,0.0,1
2021-04-17,24.0,24.0,1
2021-04-18,48.0,48.0,1
2021-04-19,61.0,61.0,1
2021-04-20,42.0,42.0,1
2021-04-21,21.0,21.0,1
2021-04-22,22.0,22.0,1
2021-04-23,45.0,45.0,1
2021-04-24,100.0,100.0,1
2021-04-25,48.0,48.0,1
2021-04-26,42.0,42.0,1
2021-04-27,43.0,43.0,1
2021-04-28,0.0,0.0,1
2021-04-29,82.0,82.0,1
2021-04-30,21.0,21.0,1
2021-05-01,0.0,0.0,1
2021-05-02,23.0,23.0,1
2021-05-03,20.0,20.0,1
2021-05-04,39.0,39.0,1
2021-05-05,0.0,0.0,1
2021-05-06,62.0,62.0,1
2021-05-07,43.0,43.0,1
2021-05-08,46.0,46.0,1
2021-05-09,25.0,25.0,1
2021-05-10,41.0,41.0,1
2021-05-11,60.0,60.0,1
2021-05-12,42.0,42.0,1
2021-05-13,22.0,22.0,1
2021-05-14,22.0,22.0,1
