date,/m/0ffxt_0,/m/0ffxt,batch_id
2021-02-01,68.0,68.0,1
2021-02-02,41.0,41.0,1
2021-02-03,41.0,41.0,1
2021-02-04,43.0,43.0,1
2021-02-05,14.0,14.0,1
2021-02-06,30.0,30.0,1
2021-02-07,30.0,30.0,1
2021-02-08,14.0,14.0,1
2021-02-09,28.0,28.0,1
2021-02-10,95.0,95.0,1
2021-02-11,28.0,28.0,1
2021-02-12,28.0,28.0,1
2021-02-13,48.0,48.0,1
2021-02-14,32.0,32.0,1
2021-02-15,54.0,54.0,1
2021-02-16,43.0,43.0,1
2021-02-17,14.0,14.0,1
2021-02-18,14.0,14.0,1
2021-02-19,74.0,74.0,1
2021-02-20,17.0,17.0,1
2021-02-21,51.0,51.0,1
2021-02-22,13.0,13.0,1
2021-02-23,29.0,29.0,1
2021-02-24,29.0,29.0,1
2021-02-25,0.0,0.0,1
2021-02-26,58.0,58.0,1
2021-02-27,32.0,32.0,1
2021-02-28,31.0,31.0,1
2021-03-01,14.0,14.0,1
2021-03-02,57.0,57.0,1
2021-03-03,0.0,0.0,1
2021-03-04,41.0,41.0,1
2021-03-05,58.0,58.0,1
2021-03-06,16.0,16.0,1
2021-03-07,15.0,15.0,1
2021-03-08,14.0,14.0,1
2021-03-09,41.0,41.0,1
2021-03-10,0.0,0.0,1
2021-03-11,28.0,28.0,1
2021-03-12,43.0,43.0,1
2021-03-13,30.0,30.0,1
2021-03-14,29.0,29.0,1
2021-03-15,43.0,43.0,1
2021-03-16,48.0,48.0,1
2021-03-17,41.0,41.0,1
2021-03-18,42.0,42.0,1
2021-03-19,15.0,15.0,1
2021-03-20,0.0,0.0,1
2021-03-21,0.0,0.0,1
2021-03-22,14.0,14.0,1
2021-03-23,14.0,14.0,1
2021-03-24,28.0,28.0,1
2021-03-25,14.0,14.0,1
2021-03-26,44.0,44.0,1
2021-03-27,31.0,31.0,1
2021-03-28,33.0,33.0,1
2021-03-29,73.0,73.0,1
2021-03-30,60.0,60.0,1
2021-03-31,16.0,16.0,1
2021-04-01,30.0,30.0,1
2021-04-02,45.0,45.0,1
2021-04-03,32.0,32.0,1
2021-04-04,33.0,33.0,1
2021-04-05,14.0,14.0,1
2021-04-06,53.0,53.0,1
2021-04-07,41.0,41.0,1
2021-04-08,0.0,0.0,1
2021-04-09,14.0,14.0,1
2021-04-10,14.0,14.0,1
2021-04-11,0.0,0.0,1
2021-04-12,54.0,54.0,1
2021-04-13,14.0,14.0,1
2021-04-14,56.0,56.0,1
2021-04-15,14.0,14.0,1
2021-04-16,15.0,15.0,1
2021-04-17,0.0,0.0,1
2021-04-18,97.0,97.0,1
2021-04-19,27.0,27.0,1
2021-04-20,14.0,14.0,1
2021-04-21,29.0,29.0,1
2021-04-22,43.0,43.0,1
2021-04-23,45.0,45.0,1
2021-04-24,17.0,17.0,1
2021-04-25,48.0,48.0,1
2021-04-26,69.0,69.0,1
2021-04-27,58.0,58.0,1
2021-04-28,29.0,29.0,1
2021-04-29,55.0,55.0,1
2021-04-30,70.0,70.0,1
2021-05-01,46.0,46.0,1
2021-05-02,0.0,0.0,1
2021-05-03,68.0,68.0,1
2021-05-04,26.0,26.0,1
2021-05-05,53.0,53.0,1
2021-05-06,28.0,28.0,1
2021-05-07,71.0,71.0,1
2021-05-08,78.0,78.0,1
2021-05-09,100.0,100.0,1
2021-05-10,96.0,96.0,1
2021-05-11,27.0,27.0,1
2021-05-12,14.0,14.0,1
2021-05-13,88.0,88.0,1
2021-05-14,30.0,30.0,1
