date,/m/017q2
2020-02-01,0
2020-02-02,35
2020-02-03,31
2020-02-04,71
2020-02-05,54
2020-02-06,43
2020-02-07,19
2020-02-08,32
2020-02-09,17
2020-02-10,17
2020-02-11,35
2020-02-12,17
2020-02-13,30
2020-02-14,56
2020-02-15,39
2020-02-16,18
2020-02-17,35
2020-02-18,29
2020-02-19,46
2020-02-20,27
2020-02-21,28
2020-02-22,29
2020-02-23,30
2020-02-24,17
2020-02-25,34
2020-02-26,33
2020-02-27,28
2020-02-28,44
2020-02-29,31
2020-03-01,35
2020-03-02,50
2020-03-03,52
2020-03-04,43
2020-03-05,35
2020-03-06,35
2020-03-07,19
2020-03-08,29
2020-03-09,25
2020-03-10,39
2020-03-11,66
2020-03-12,22
2020-03-13,53
2020-03-14,100
2020-03-15,30
2020-03-16,53
2020-03-17,27
2020-03-18,60
2020-03-19,33
2020-03-20,31
2020-03-21,63
2020-03-22,29
2020-03-23,43
2020-03-24,52
2020-03-25,32
2020-03-26,26
2020-03-27,44
2020-03-28,17
2020-03-29,38
2020-03-30,29
2020-03-31,19
2020-04-01,15
2020-04-02,29
2020-04-03,40
2020-04-04,35
2020-04-05,19
2020-04-06,23
2020-04-07,23
2020-04-08,16
2020-04-09,16
2020-04-10,22
2020-04-11,35
2020-04-12,52
2020-04-13,20
2020-04-14,35
2020-04-15,23
2020-04-16,16
2020-04-17,32
2020-04-18,37
2020-04-19,24
2020-04-20,39
2020-04-21,25
2020-04-22,37
2020-04-23,36
2020-04-24,31
2020-04-25,40
2020-04-26,27
2020-04-27,51
2020-04-28,19
2020-04-29,29
2020-04-30,28
2020-05-01,30
2020-05-02,31
2020-05-03,16
2020-05-04,21
2020-05-05,55
2020-05-06,25
2020-05-07,16
2020-05-08,32
2020-05-09,17
2020-05-10,38
2020-05-11,19
2020-05-12,15
2020-05-13,15
2020-05-14,20
2020-05-15,21
2020-05-16,44
2020-05-17,37
2020-05-18,16
2020-05-19,23
2020-05-20,16
2020-05-21,35
2020-05-22,20
2020-05-23,40
2020-05-24,27
2020-05-25,25
2020-05-26,52
2020-05-27,23
2020-05-28,62
2020-05-29,33
2020-05-30,18
2020-05-31,24
