Topic_title,Topic_mid,Best delay,Best correlation
Rhinorrhée,/m/06p_bp,8,0.5372661156938584
Citron,/g/1yxkhgd6l,0,0.6631093661758434
Brûlure,/m/01hwqk,4,0.14230535926865262
Vomissement,/m/012qjw,0,-0.25329161306637116
Virus,/m/0g9pc,16,0.9407653014776111
Maladie périodique,/m/02j0t4,15,0.17628527331785074
Épidémie,"/m/0hn9s
",16,0.9310157710933631
Douleur,/m/062t2,7,-0.1971120423422279
Température,/m/07gr_,13,0.6025165005523077
Antibiotique,/m/0tbr,16,0.5093883188139966
Abdomen,/m/08y7p8,16,-0.5588536482990459
Congestion nasale,/m/05s5v6,11,0.4040955691053516
Hémorragie,/m/012n6x,8,-0.29354880851254217
Agueusie,/m/05sfr2,4,0.8799362284635619
Degré Celsius,/m/02162,2,0.2915855680010015
Thermomètre,/m/07mf1,16,0.9133366505891319
Otite,/m/0743mf,16,0.42410030043864594
Œsophage,/m/016kdb,12,-0.18880317359413887
Mal de gorge,/m/0b76bty,16,0.7997436075456286
remède,/m/0405g08,14,0.7407416518996663
Fatigue,/m/01j6t0,0,-0.35214275973816694
Cou,/m/0dzd8,16,-0.08334597664372685
Diarrhée,/m/0f3kl,14,0.12037630486652492
Olfaction,/m/014y53,5,0.8546758143133013
Contagion,/g/12135ysl,16,0.7847461069275513
Tête,/m/04hgtk,14,0.5918036258341612
Mère,/m/0lbxz,16,-0.09780123164829171
Dent,/m/0cnxs6x,14,-0.5278757493460505
Fièvre,/m/0cjf0,15,0.9335393712924343
Paracétamol,/m/0lbt3,13,0.8875928541285752
Grippe,/m/0cycc,16,0.8865942706195593
Fièvre typhoïde,/m/07s4l,5,-0.26574100641238185
Adulte,/m/016c68,15,0.24272182551455548
Définition,/m/026yf,4,0.5526517071330795
Maladie,/m/027x3,15,0.5123987762898667
Vaccination,/g/121j1nlf,16,0.5161910180245227
Courbature,/m/03dcyh,13,0.5847767140146701
Médecine,/m/04sh3,16,0.38845999323444436
Anosmie,/m/0m7pl,5,0.8838621374131479
Syndrome pseudo-grippal,/m/0n073,16,0.645929672217743
Température corporelle humaine,/g/1213j0cz,15,0.9309345143283229
poussée dentaire,/m/03mpc9,16,0.21311465540470315
Histoire,/m/03g3w,0,0.5560392508178676
Coronavirus,"/m/01cpyy
",15,0.9591313020670886
Dyspnée,/m/01cdt5,16,0.7517799703255316
Respiration,/m/02gy9_,10,0.8370715255690188
Angine,/m/03ng0t,16,0.5452865505894613
Frisson,/m/04fv7w,16,0.6752644285096319
Déglutition,/m/01b_3_,9,-0.29038920696349546
Céphalée,/m/0j5fv,13,0.6928169592751178
Mal,de,15,-0.36228826945844195
Stress,/m/012lyw,16,0.14846232019883598
Otite moyenne,/m/01fhyk,16,0.3445870434405769
Symptôme,/m/01b_06,16,0.9160456127955322
Bras,/g/1222z7xj,16,-0.33927988026100137
Huile essentielle,/m/01ppsd,16,0.8436050736578724
Pharmacie,/m/01rfps,13,0.8369381932844436
Grossesse,/m/05vqh7,11,-0.44464823344972554
Médicament,/m/018l35,16,0.6668773003680759
Froid,/m/04mwwgd,16,-0.18689659454373359
Toux,/m/01b_21,15,0.8634652542339268
Nourrisson,/m/0jnvp,16,-0.495505093862915
Allergie,/m/0fd23,0,0.6316922073432202
Pommade,/g/120n2jkp,15,-0.3509444847167709
Fièvre jaune,/m/087z2,16,0.3332427522129342
Otite externe,/m/04w68t,16,0.36092066122141125
Effet secondaire,/m/0119nml8,11,0.14092665450006495
Miel,/m/03qmh,0,0.49661796910907574
Reflux gastro-œsophagien,/m/01b_5g,16,0.21609963960078768
Bronchite aiguë,/m/01s2xh,16,0.6962828474680013
Espagnols,/m/03ttfc,10,0.8448496128996335
La Fièvre du samedi soir,/m/0f50l,0,0.12518973319767251
Julien Doré,/m/02rrjc4,8,-0.2635618011007893
Oreille,/m/039xj_,16,-0.13503225807453814
Dé,/m/029b3,7,0.8594466636615715
Dysgueusie,/m/01d3gn,0,-0.08610310291381641
Blanc,/m/083jv,16,-0.4228737899309493
