date,/m/0cnq0
2020-02-01,17
2020-02-02,24
2020-02-03,0
2020-02-04,16
2020-02-05,16
2020-02-06,17
2020-02-07,17
2020-02-08,0
2020-02-09,15
2020-02-10,15
2020-02-11,0
2020-02-12,0
2020-02-13,16
2020-02-14,17
2020-02-15,0
2020-02-16,16
2020-02-17,16
2020-02-18,47
2020-02-19,0
2020-02-20,16
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,15
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,16
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,31
2020-03-04,0
2020-03-05,31
2020-03-06,0
2020-03-07,0
2020-03-08,16
2020-03-09,30
2020-03-10,0
2020-03-11,0
2020-03-12,29
2020-03-13,0
2020-03-14,0
2020-03-15,16
2020-03-16,29
2020-03-17,0
2020-03-18,30
2020-03-19,15
2020-03-20,28
2020-03-21,31
2020-03-22,48
2020-03-23,13
2020-03-24,28
2020-03-25,14
2020-03-26,14
2020-03-27,20
2020-03-28,23
2020-03-29,15
2020-03-30,39
2020-03-31,52
2020-04-01,20
2020-04-02,27
2020-04-03,13
2020-04-04,16
2020-04-05,17
2020-04-06,14
2020-04-07,56
2020-04-08,29
2020-04-09,29
2020-04-10,44
2020-04-11,56
2020-04-12,55
2020-04-13,48
2020-04-14,40
2020-04-15,21
2020-04-16,29
2020-04-17,50
2020-04-18,64
2020-04-19,14
2020-04-20,100
2020-04-21,76
2020-04-22,36
2020-04-23,69
2020-04-24,21
2020-04-25,54
2020-04-26,32
2020-04-27,28
2020-04-28,26
2020-04-29,26
2020-04-30,37
2020-05-01,13
2020-05-02,28
2020-05-03,22
2020-05-04,13
2020-05-05,12
2020-05-06,27
2020-05-07,14
2020-05-08,43
2020-05-09,16
2020-05-10,15
2020-05-11,13
2020-05-12,54
2020-05-13,27
2020-05-14,20
2020-05-15,14
2020-05-16,16
2020-05-17,33
2020-05-18,14
2020-05-19,14
2020-05-20,43
2020-05-21,32
2020-05-22,69
2020-05-23,14
2020-05-24,29
2020-05-25,13
2020-05-26,35
2020-05-27,28
2020-05-28,28
2020-05-29,22
2020-05-30,80
2020-05-31,49
