date,/m/0416v7
2020-02-01,0
2020-02-02,0
2020-02-03,69
2020-02-04,58
2020-02-05,0
2020-02-06,40
2020-02-07,42
2020-02-08,42
2020-02-09,0
2020-02-10,37
2020-02-11,39
2020-02-12,0
2020-02-13,39
2020-02-14,0
2020-02-15,0
2020-02-16,38
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,74
2020-02-26,0
2020-02-27,37
2020-02-28,58
2020-02-29,0
2020-03-01,0
2020-03-02,73
2020-03-03,0
2020-03-04,56
2020-03-05,0
2020-03-06,39
2020-03-07,41
2020-03-08,0
2020-03-09,37
2020-03-10,73
2020-03-11,36
2020-03-12,35
2020-03-13,78
2020-03-14,39
2020-03-15,39
2020-03-16,70
2020-03-17,34
2020-03-18,0
2020-03-19,0
2020-03-20,100
2020-03-21,93
2020-03-22,38
2020-03-23,0
2020-03-24,34
2020-03-25,35
2020-03-26,0
2020-03-27,48
2020-03-28,37
2020-03-29,35
2020-03-30,32
2020-03-31,31
2020-04-01,0
2020-04-02,32
2020-04-03,32
2020-04-04,0
2020-04-05,40
2020-04-06,0
2020-04-07,0
2020-04-08,35
2020-04-09,0
2020-04-10,0
2020-04-11,39
2020-04-12,0
2020-04-13,33
2020-04-14,0
2020-04-15,34
2020-04-16,34
2020-04-17,0
2020-04-18,0
2020-04-19,34
2020-04-20,64
2020-04-21,0
2020-04-22,35
2020-04-23,0
2020-04-24,67
2020-04-25,0
2020-04-26,0
2020-04-27,34
2020-04-28,61
2020-04-29,0
2020-04-30,0
2020-05-01,32
2020-05-02,0
2020-05-03,35
2020-05-04,30
2020-05-05,30
2020-05-06,0
2020-05-07,0
2020-05-08,35
2020-05-09,0
2020-05-10,0
2020-05-11,31
2020-05-12,0
2020-05-13,33
2020-05-14,0
2020-05-15,0
2020-05-16,38
2020-05-17,40
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,38
2020-05-22,0
2020-05-23,0
2020-05-24,35
2020-05-25,33
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,38
2020-05-31,39
