date,/m/083jv
2020-02-01,61
2020-02-02,56
2020-02-03,47
2020-02-04,31
2020-02-05,50
2020-02-06,38
2020-02-07,45
2020-02-08,48
2020-02-09,51
2020-02-10,49
2020-02-11,45
2020-02-12,56
2020-02-13,48
2020-02-14,43
2020-02-15,42
2020-02-16,37
2020-02-17,42
2020-02-18,32
2020-02-19,44
2020-02-20,37
2020-02-21,40
2020-02-22,47
2020-02-23,45
2020-02-24,34
2020-02-25,45
2020-02-26,56
2020-02-27,49
2020-02-28,61
2020-02-29,47
2020-03-01,63
2020-03-02,44
2020-03-03,39
2020-03-04,46
2020-03-05,46
2020-03-06,39
2020-03-07,47
2020-03-08,44
2020-03-09,50
2020-03-10,44
2020-03-11,50
2020-03-12,32
2020-03-13,38
2020-03-14,42
2020-03-15,46
2020-03-16,25
2020-03-17,34
2020-03-18,38
2020-03-19,28
2020-03-20,44
2020-03-21,47
2020-03-22,55
2020-03-23,43
2020-03-24,47
2020-03-25,38
2020-03-26,41
2020-03-27,45
2020-03-28,44
2020-03-29,71
2020-03-30,39
2020-03-31,44
2020-04-01,44
2020-04-02,53
2020-04-03,46
2020-04-04,60
2020-04-05,68
2020-04-06,59
2020-04-07,51
2020-04-08,58
2020-04-09,56
2020-04-10,48
2020-04-11,63
2020-04-12,74
2020-04-13,50
2020-04-14,45
2020-04-15,48
2020-04-16,63
2020-04-17,45
2020-04-18,63
2020-04-19,73
2020-04-20,60
2020-04-21,46
2020-04-22,45
2020-04-23,52
2020-04-24,37
2020-04-25,70
2020-04-26,56
2020-04-27,47
2020-04-28,65
2020-04-29,47
2020-04-30,51
2020-05-01,54
2020-05-02,68
2020-05-03,100
2020-05-04,54
2020-05-05,57
2020-05-06,55
2020-05-07,39
2020-05-08,44
2020-05-09,60
2020-05-10,72
2020-05-11,51
2020-05-12,55
2020-05-13,69
2020-05-14,41
2020-05-15,50
2020-05-16,65
2020-05-17,69
2020-05-18,57
2020-05-19,46
2020-05-20,44
2020-05-21,57
2020-05-22,56
2020-05-23,73
2020-05-24,87
2020-05-25,60
2020-05-26,60
2020-05-27,58
2020-05-28,67
2020-05-29,46
2020-05-30,61
2020-05-31,74
2020-06-01,67
2020-06-02,57
2020-06-03,58
2020-06-04,60
2020-06-05,54
2020-06-06,64
2020-06-07,62
2020-06-08,45
2020-06-09,61
2020-06-10,60
2020-06-11,54
2020-06-12,55
2020-06-13,65
2020-06-14,49
2020-06-15,57
2020-06-16,61
2020-06-17,50
2020-06-18,50
2020-06-19,56
2020-06-20,73
2020-06-21,71
2020-06-22,59
2020-06-23,48
2020-06-24,65
2020-06-25,52
2020-06-26,56
2020-06-27,60
2020-06-28,70
2020-06-29,58
2020-06-30,46
2020-07-01,47
2020-07-02,55
2020-07-03,59
2020-07-04,48
2020-07-05,55
2020-07-06,41
2020-07-07,48
2020-07-08,69
2020-07-09,53
2020-07-10,46
2020-07-11,67
2020-07-12,60
2020-07-13,62
2020-07-14,42
2020-07-15,61
2020-07-16,39
2020-07-17,51
2020-07-18,64
2020-07-19,60
2020-07-20,61
2020-07-21,48
2020-07-22,49
2020-07-23,60
2020-07-24,53
2020-07-25,70
2020-07-26,67
2020-07-27,58
2020-07-28,53
2020-07-29,56
2020-07-30,67
2020-07-31,52
2020-08-01,57
2020-08-02,55
2020-08-03,55
2020-08-04,46
2020-08-05,55
2020-08-06,43
2020-08-07,52
2020-08-08,72
2020-08-09,54
2020-08-10,53
2020-08-11,43
2020-08-12,44
2020-08-13,55
2020-08-14,57
2020-08-15,60
2020-08-16,58
2020-08-17,60
2020-08-18,54
2020-08-19,65
2020-08-20,45
2020-08-21,36
2020-08-22,57
2020-08-23,62
2020-08-24,63
2020-08-25,42
2020-08-26,52
2020-08-27,52
2020-08-28,29
2020-08-29,66
2020-08-30,63
2020-08-31,55
2020-09-01,41
2020-09-02,40
2020-09-03,46
2020-09-04,28
2020-09-05,43
2020-09-06,57
2020-09-07,31
2020-09-08,34
2020-09-09,40
2020-09-10,37
2020-09-11,47
2020-09-12,51
2020-09-13,55
2020-09-14,39
2020-09-15,45
2020-09-16,36
2020-09-17,44
2020-09-18,35
2020-09-19,61
2020-09-20,74
2020-09-21,59
2020-09-22,43
2020-09-23,43
2020-09-24,42
2020-09-25,34
2020-09-26,61
2020-09-27,59
2020-09-28,43
2020-09-29,53
